timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,20955942,14.9224,15.6287,14.803,15.0617,0.06,0.4,18.24,320865440.0,,,45.2859,4.7735,2.5245,11.2144,4157468224.0,,,,,,,
1565539200000,16067430,14.4847,14.8528,14.3454,14.7831,-0.2786,-1.85,13.98,235354093.0,,,44.4484,4.6852,2.4778,11.007,4080579776.0,,,,,,,
1565625600000,22883252,14.624,15.4895,14.5941,15.3004,0.5174,3.5,19.91,350423654.0,,,46.0038,4.8492,2.5645,11.3921,4223372608.0,,,,,,,
1565712000000,21220833,14.9224,15.6188,14.6439,15.39,0.0903,0.59,18.47,324842601.0,,,46.273,4.8775,2.5795,11.4588,4248086752.0,,,,,,,
1565798400000,17100714,15.0219,15.7183,14.9025,15.1811,-0.2093,-1.36,14.88,262567418.0,,,45.6449,4.8113,2.5445,11.3032,4190420416.0,,,,,,,
1565884800000,29192394,15.3402,16.0466,15.191,15.8675,0.6862,4.52,25.4,459973431.0,,,47.7088,5.0289,2.6595,11.8143,4379895520.0,,,,,,,
1566144000000,24549022,15.6387,16.1759,15.4497,16.1361,0.2682,1.69,21.36,389165711.0,,,48.5164,5.114,2.7046,12.0143,4454037952.0,,,,,,,
1566230400000,20350342,15.9172,16.2256,15.7282,15.778,-0.3582,-2.22,17.71,325398829.0,,,47.4395,5.0005,2.6445,11.7477,4355181376.0,,,,,,,
1566316800000,17550479,15.6188,15.6188,14.9324,15.0816,-0.6958,-4.41,15.27,268971362.0,,,45.3457,4.7798,2.5278,11.2292,4162960256.0,,,,,,,
1566403200000,9981102,15.002,15.2507,14.8229,15.201,0.1191,0.79,8.69,151039290.0,,,45.7047,4.8176,2.5478,11.3181,4195912448.0,,,,,,,
1566489600000,13707779,15.2507,15.7083,15.0219,15.2905,0.0897,0.59,11.93,212496855.0,,,45.9739,4.846,2.5628,11.3847,4220626592.0,,,,,,,
1566748800000,11230024,15.1711,15.6387,14.9522,14.9821,-0.3089,-2.02,9.77,171721647.0,,,45.0466,4.7483,2.5111,11.1551,4135500096.0,,,,,,,
1566835200000,10693204,14.8528,15.0816,14.6439,15.0119,0.03,0.2,9.3,159621206.0,,,45.1364,4.7577,2.5161,11.1773,4143738144.0,,,,,,,
1566921600000,8044623,14.9224,14.9721,14.6637,14.6737,-0.3378,-2.25,7.0,119377327.0,,,44.1194,4.6505,2.4595,10.9255,4050373600.0,,,,,,,
1567008000000,8497749,14.624,14.7533,14.3554,14.3852,-0.2891,-1.97,7.39,123656365.0,,,43.2519,4.5591,2.4111,10.7107,3970739136.0,,,,,,,
1567094400000,12829761,14.3156,14.614,13.9276,14.4349,0.0503,0.35,11.16,183236085.0,,,43.4015,4.5748,2.4194,10.7477,3984469216.0,,,,,,,
1567353600000,10848980,14.4349,14.813,14.3255,14.7135,0.2786,1.93,9.44,159150587.0,,,44.239,4.6631,2.4661,10.9551,4061357664.0,,,,,,,
1567440000000,8069617,14.5842,14.8528,14.5543,14.6339,-0.0795,-0.54,7.02,119184063.0,,,43.9997,4.6379,2.4528,10.8959,4039389536.0,,,,,,,
1567526400000,9120364,14.6339,14.9622,14.5245,14.7334,0.0995,0.68,7.94,135141009.0,,,44.2988,4.6694,2.4695,10.9699,4066849696.0,,,,,,,
1567612800000,12985116,14.6737,15.0716,14.6737,14.8727,0.14,0.95,11.3,194475414.0,,,44.7176,4.7136,2.4928,11.0736,4105293920.0,,,,,,,
