timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,1764700,5.6097,5.6197,5.4108,5.4705,-0.0997,-1.79,0.65,9768595.0,,,62.7049,2.0609,1.3849,9.6574,1496000000.0,,,,,,,
1565539200000,1064200,5.4804,5.5699,5.4506,5.56,0.0897,1.64,0.39,5904856.0,,,63.7309,2.0946,1.4076,9.8155,1520480000.0,,,,,,,
1565625600000,1300267,5.55,5.55,5.4605,5.4904,-0.0695,-1.25,0.48,7189439.0,,,62.9329,2.0683,1.3899,9.6926,1501440000.0,,,,,,,
1565712000000,1134800,5.5799,5.5998,5.5301,5.5301,0.0395,0.72,0.42,6350014.0,,,63.3889,2.0833,1.4,9.7628,1512320000.0,,,,,,,
1565798400000,1878301,5.4207,5.6296,5.2914,5.5799,0.0498,0.9,0.69,10369885.0,,,63.959,2.1021,1.4126,9.8506,1525920000.0,,,,,,,
1565884800000,1764700,5.5998,5.6197,5.5003,5.6097,0.0296,0.53,0.65,9889025.0,,,64.301,2.1133,1.4202,9.9033,1534080000.0,,,,,,,
1566144000000,2403500,5.6097,5.6992,5.6097,5.6992,0.0898,1.6,0.88,13701800.0,,,65.3271,2.147,1.4428,10.0613,1558560000.0,,,,,,,
1566230400000,1838306,5.6992,5.7291,5.6694,5.6992,0.0,0.0,0.68,10549502.0,,,65.3271,2.147,1.4428,10.0613,1558560000.0,,,,,,,
1566316800000,1287300,5.6992,5.749,5.6694,5.7191,0.0199,0.35,0.47,7405011.0,,,65.5551,2.1545,1.4478,10.0964,1564000000.0,,,,,,,
1566403200000,1527700,5.7092,5.7589,5.6793,5.749,0.0297,0.52,0.56,8777351.0,,,65.8971,2.1658,1.4554,10.1491,1572160000.0,,,,,,,
1566489600000,1053702,5.6893,5.7788,5.6893,5.7191,-0.0299,-0.52,0.39,6071415.0,,,65.5551,2.1545,1.4478,10.0964,1564000000.0,,,,,,,
1566748800000,1267501,5.56,5.6992,5.5301,5.6594,-0.0595,-1.04,0.47,7188979.0,,,64.871,2.132,1.4327,9.9911,1547680000.0,,,,,,,
1566835200000,1661001,5.6694,5.7688,5.6694,5.7291,0.0696,1.23,0.61,9575265.0,,,65.6691,2.1583,1.4504,10.114,1566720000.0,,,,,,,
1566921600000,2643700,5.7092,5.8484,5.6893,5.8186,0.0894,1.56,0.97,15399397.0,,,66.6952,2.192,1.473,10.272,1591200000.0,,,,,,,
1567008000000,1596500,5.7987,5.8584,5.7788,5.7987,-0.0198,-0.34,0.59,9344004.0,,,66.4672,2.1845,1.468,10.2369,1585760000.0,,,,,,,
1567094400000,2096510,5.8186,5.8683,5.6296,5.6694,-0.1293,-2.23,0.77,12109718.0,,,64.985,2.1358,1.4353,10.0086,1550400000.0,,,,,,,
1567353600000,2565350,5.6992,5.8584,5.6694,5.8186,0.1491,2.63,0.94,14945878.0,,,66.6952,2.192,1.473,10.272,1591200000.0,,,,,,,
1567440000000,2013110,5.8285,5.918,5.8186,5.8882,0.0698,1.2,0.74,11865512.0,,,67.4932,2.2182,1.4907,10.3949,1610240000.0,,,,,,,
1567526400000,1909250,5.9379,5.9379,5.8086,5.8783,-0.01,-0.17,0.7,11248493.0,,,67.3792,2.2145,1.4881,10.3774,1607520000.0,,,,,,,
1567612800000,2605100,5.918,5.9578,5.8783,5.9379,0.06,1.02,0.96,15531798.0,,,68.0633,2.237,1.5032,10.4827,1623840000.0,,,,,,,
1567699200000,1895200,5.9479,5.9877,5.8584,5.8981,-0.0398,-0.67,0.7,11267743.0,,,67.6072,2.222,1.4932,10.4125,1612960000.0,,,,,,,
1567958400000,2176500,5.9479,6.0076,5.9081,5.9976,0.0997,1.69,0.8,13041514.0,,,68.7473,2.2594,1.5184,10.5881,1640160000.0,,,,,,,
1568044800000,1856200,6.0076,6.0473,5.9479,6.0374,0.0396,0.66,0.68,11213888.0,,,69.2034,2.2744,1.5284,10.6583,1651040000.0,,,,,,,
1568131200000,1656400,6.0374,6.0573,5.9877,5.9877,-0.0495,-0.82,0.61,10019083.0,,,68.6333,2.2557,1.5158,10.5705,1637440000.0,,,,,,,
1568217600000,1363761,6.0175,6.0573,5.9777,6.0275,0.0395,0.66,0.5,8245381.0,,,69.0894,2.2707,1.5259,10.6408,1648320000.0,,,,,,,
1568563200000,1599599,6.0573,6.0772,6.0175,6.0275,0.0,0.0,0.59,9718216.0,,,69.0894,2.2707,1.5259,10.6408,1648320000.0,,,,,,,
1568649600000,2300604,6.0275,6.0374,5.8584,5.9081,-0.1193,-1.98,0.85,13744038.0,,,67.7213,2.2257,1.4957,10.43,1615680000.0,,,,,,,
1568736000000,1875001,5.9379,6.0374,5.9081,6.0275,0.1193,2.02,0.69,11304463.0,,,69.0894,2.2707,1.5259,10.6408,1648320000.0,,,,,,,
1568822400000,1467500,5.9877,6.0573,5.9877,6.0473,0.0199,0.33,0.54,8909166.0,,,69.3174,2.2782,1.5309,10.6759,1653760000.0,,,,,,,
1568908800000,2125000,6.0473,6.2065,5.9976,6.0573,0.0097,0.16,0.78,13036519.0,,,69.4314,2.2819,1.5335,10.6934,1656480000.0,,,,,,,
1569168000000,1522700,6.0275,6.0672,5.9479,5.9877,-0.0697,-1.15,0.56,9157261.0,,,68.6333,2.2557,1.5158,10.5705,1637440000.0,,,,,,,
1569254400000,1045300,5.9777,6.0772,5.9678,6.0076,0.0198,0.33,0.38,6340745.0,,,68.8613,2.2632,1.5209,10.6056,1642880000.0,,,,,,,
1569340800000,1530760,6.0076,6.0573,5.8186,5.928,-0.0793,-1.32,0.56,9126212.0,,,67.9493,2.2332,1.5007,10.4652,1621120000.0,,,,,,,
1569427200000,2468300,5.8981,6.0275,5.6495,5.6694,-0.2585,-4.36,0.91,14292725.0,,,64.985,2.1358,1.4353,10.0086,1550400000.0,,,,,,,
1569513600000,1197101,5.6594,5.7887,5.6296,5.749,0.0794,1.4,0.44,6905244.0,,,65.8971,2.1658,1.4554,10.1491,1572160000.0,,,,,,,
1569772800000,1000300,5.7788,5.8186,5.5699,5.6992,-0.05,-0.87,0.37,5784095.0,,,105.5675,2.1069,1.4701,27.5138,1558560000.0,,,,,,,
1570464000000,1170902,5.7291,5.8484,5.5898,5.6495,-0.0496,-0.87,0.43,6705243.0,,,104.6463,2.0885,1.4572,27.2737,1544960000.0,,,,,,,
1570550400000,1423028,5.6097,5.7589,5.5401,5.6992,0.0497,0.88,0.52,8106338.0,,,105.5675,2.1069,1.4701,27.5138,1558560000.0,,,,,,,
1570636800000,1080701,5.7191,5.7987,5.6992,5.7887,0.0895,1.57,0.4,6250583.0,,,107.2256,2.14,1.4932,27.9459,1583040000.0,,,,,,,
1570723200000,1279501,5.7788,5.7987,5.7092,5.7887,0.0,0.0,0.47,7419187.0,,,107.2256,2.14,1.4932,27.9459,1583040000.0,,,,,,,
1570982400000,1765960,5.8186,5.928,5.7589,5.9081,0.1193,2.06,0.65,10436835.0,,,109.4364,2.1841,1.5239,28.5222,1615680000.0,,,,,,,
1571068800000,1349002,5.928,5.928,5.7987,5.8186,-0.0898,-1.52,0.5,7926500.0,,,107.7783,2.151,1.5008,28.09,1591200000.0,,,,,,,
1571155200000,2307538,5.8484,5.8981,5.6694,5.7291,-0.0896,-1.54,0.85,13419974.0,,,106.1202,2.1179,1.4778,27.6578,1566720000.0,,,,,,,
1571241600000,1585100,5.7291,5.7688,5.6495,5.6793,-0.0498,-0.87,0.58,9088911.0,,,105.199,2.0995,1.4649,27.4178,1553120000.0,,,,,,,
1571328000000,1810961,5.7092,5.7688,5.5699,5.6197,-0.0596,-1.05,0.67,10321701.0,,,104.0936,2.0774,1.4495,27.1297,1536800000.0,,,,,,,
1571587200000,1696811,5.6296,5.7191,5.5699,5.7092,0.0894,1.59,0.62,9668218.0,,,105.7517,2.1105,1.4726,27.5618,1561280000.0,,,,,,,
1571673600000,1833500,5.6694,5.8484,5.6594,5.8285,0.1193,2.09,0.67,10665018.0,,,107.9625,2.1547,1.5034,28.138,1593920000.0,,,,,,,
1571760000000,1476800,5.7688,5.8981,5.739,5.7987,-0.0297,-0.51,0.54,8626619.0,,,107.4098,2.1436,1.4957,27.994,1585760000.0,,,,,,,
1571846400000,1266230,5.8186,5.8186,5.7191,5.749,-0.0499,-0.86,0.47,7334806.0,,,106.4887,2.1252,1.4829,27.7539,1572160000.0,,,,,,,
1571932800000,1391340,5.739,5.8584,5.7191,5.8484,0.0995,1.73,0.51,8099826.0,,,108.331,2.162,1.5085,28.234,1599360000.0,,,,,,,
1572192000000,1882573,5.8086,5.9479,5.7887,5.9081,0.0597,1.02,0.69,11170038.0,,,109.4364,2.1841,1.5239,28.5222,1615680000.0,,,,,,,
1572278400000,1346702,5.9479,5.9479,5.7987,5.8186,-0.0898,-1.52,0.5,7943636.0,,,107.7783,2.151,1.5008,28.09,1591200000.0,,,,,,,
