timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,21323803,3.45,3.46,3.36,3.37,-0.04,-1.17,0.54,72611880.0,,,6.1084,1.4256,3.5969,404.8205,13209814806.24,1098079594.0,24779269,0.63,-513000,,,
1565539200000,22808551,3.4,3.44,3.38,3.44,0.07,2.08,0.58,77881739.0,,,6.2353,1.4552,3.6716,413.2293,13484202650.88,1095088746.0,28517319,0.72,3738050,,,
1565625600000,18274397,3.41,3.48,3.4,3.44,0.0,0.0,0.47,62915490.0,,,6.2353,1.4552,3.6716,413.2293,13484202650.88,1092448010.0,29585515,0.75,1068196,,,
1565712000000,20844015,3.48,3.52,3.45,3.46,0.02,0.58,0.53,72688905.0,,,6.2716,1.4637,3.6929,415.6318,13562599177.92,1093229586.0,29361754,0.74,-223761,,,
1565798400000,22795671,3.39,3.49,3.35,3.49,0.03,0.87,0.58,78203708.0,,,6.326,1.4764,3.725,419.2355,13680193968.48,1086657671.0,32388171,0.82,3026417,,,
1565884800000,23942384,3.48,3.52,3.46,3.48,-0.01,-0.29,0.61,83613799.0,,,6.3078,1.4722,3.7143,418.0343,13640995704.96,1090594760.0,31566735,0.8,-821436,,,
1566144000000,46059187,3.5,3.63,3.49,3.61,0.13,3.74,1.18,164309727.0,,,6.5435,1.5272,3.853,433.6505,14150573130.72,1080576137.0,36017055,0.91,4450320,,,
1566230400000,77215609,3.67,3.93,3.66,3.72,0.11,3.05,1.97,292432440.0,,,6.7429,1.5737,3.9704,446.8642,14581754029.44,1085303532.0,30372856,0.77,-5644199,,,
1566316800000,28712770,3.72,3.76,3.65,3.67,-0.05,-1.34,0.73,106213974.0,,,6.6522,1.5525,3.9171,440.858,14385762711.84,1085090137.0,31473206,0.8,1100350,,,
1566403200000,23261035,3.7,3.74,3.65,3.71,0.04,1.09,0.59,86020589.0,,,6.7247,1.5695,3.9598,445.663,14542555765.92,1089733101.0,31920541,0.81,447335,,,
1566489600000,20665308,3.68,3.74,3.65,3.67,-0.04,-1.08,0.53,76147474.0,,,6.6522,1.5525,3.9171,440.858,14385762711.84,1085603037.0,30686441,0.78,-1234100,,,
1566748800000,30516584,3.54,3.64,3.51,3.61,-0.06,-1.63,0.78,109466513.0,,,6.5435,1.5272,3.853,433.6505,14150573130.72,1081343473.0,33447941,0.85,2761500,,,
1566835200000,59681708,3.63,3.87,3.63,3.74,0.13,3.6,1.52,223871836.0,,,6.7791,1.5821,3.9918,449.2667,14660150556.48,1077554766.0,33792435,0.86,344494,,,
1566921600000,47238128,3.74,3.84,3.7,3.78,0.04,1.07,1.21,179109861.0,,,6.8516,1.5991,4.0345,454.0717,14816943610.56,1069024391.0,31878246,0.81,-1914189,,,
