timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,6396059,8.8186,8.8186,8.4105,8.4602,-0.2187,-2.52,0.82,54986480.0,,,17.9683,1.451,1.1436,35.5899,6613027200.0,627857089.0,1329316,0.17,-785300,,,
1565539200000,6620063,8.4602,8.5498,8.4204,8.5399,0.0795,0.94,0.85,56390742.0,,,18.1374,1.4647,1.1543,35.9248,6675267456.0,627653241.84,1407116,0.18,77800,,,
1565625600000,6681402,8.4702,8.4901,8.3408,8.4403,-0.0999,-1.17,0.86,56357472.0,,,17.926,1.4476,1.1409,35.5061,6597467136.0,630557964.04,1489616,0.19,82500,,,
1565712000000,6151802,8.52,8.5598,8.4204,8.4801,0.0397,0.47,0.79,52447322.0,,,18.0106,1.4545,1.1463,35.6736,6628587264.0,631563677.96,1596716,0.2,107100,,,
1565798400000,4689080,8.291,8.4702,8.2313,8.4403,-0.0399,-0.47,0.6,39388033.0,,,17.926,1.4476,1.1409,35.5061,6597467136.0,629088445.04,1459017,0.18,-137699,,,
1565884800000,5667661,8.4403,8.5996,8.4105,8.51,0.0701,0.83,0.73,48496351.0,,,18.074,1.4596,1.1503,35.7992,6651927360.0,625769943.9,1518617,0.19,59600,,,
1566144000000,7367709,8.5498,8.8783,8.5399,8.8385,0.3285,3.86,0.95,64659805.0,,,18.7716,1.5159,1.1947,37.1809,6908668416.0,619236525.24,1996857,0.25,478240,,,
1566230400000,6879364,8.8186,9.0475,8.8186,8.8783,0.0398,0.45,0.88,61673529.0,,,18.8562,1.5227,1.2001,37.3484,6939788544.0,614195678.76,2409496,0.3,412639,,,
1566316800000,6320172,8.8982,9.0674,8.8584,8.9977,0.1199,1.35,0.81,57083348.0,,,19.1098,1.5432,1.2162,37.8509,7033148928.0,607168150.12,3032603,0.38,623107,,,
1566403200000,8214931,9.0375,9.2366,8.9778,9.1868,0.189,2.1,1.06,75390224.0,,,19.5115,1.5757,1.2418,38.6464,7180969536.0,603867413.94,3455943,0.44,423340,,,
