timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,1982179,42.0613,42.4393,41.5738,41.7827,-0.248,-0.59,0.22,83582134.0,,,23.6191,2.7289,2.7638,12.5913,38503193946.0,343878782.0,33920681,3.7,-432727,,,
1565539200000,3334620,41.6435,42.688,40.7879,42.4791,0.6977,1.67,0.36,139360843.0,,,24.0128,2.7743,2.8099,12.8012,39144913845.1,342744487.7,33844600,3.69,-76081,,,
1565625600000,1759818,42.2702,43.2849,42.0911,42.7278,0.2506,0.59,0.19,75730043.0,,,24.1534,2.7906,2.8263,12.8761,39374099523.35,340249124.95,33859558,3.69,14958,,,
1565712000000,1603647,43.2352,43.3745,42.4393,42.4592,-0.2692,-0.63,0.17,69118604.0,,,24.0015,2.773,2.8086,12.7952,39126578990.84,340941120.88,33600357,3.66,-259201,,,
1565798400000,3389328,42.3398,43.454,42.0812,43.2252,0.7643,1.8,0.37,146669772.0,,,24.4345,2.8231,2.8592,13.026,39832470879.85,344144727.45,33023083,3.6,-577274,,,
1565884800000,2960329,43.3148,43.6331,42.7975,42.8074,-0.4193,-0.97,0.32,128520165.0,,,24.1983,2.7958,2.8316,12.9001,39447438940.39,340549726.23,32955113,3.59,-67970,,,
1566144000000,2969739,43.1655,43.5535,42.7875,43.4739,0.6678,1.56,0.32,129111411.0,,,24.5751,2.8393,2.8757,13.101,40061656558.1,338338735.7,33222931,3.62,267818,,,
1566230400000,1599709,43.4739,43.6729,43.1854,43.464,-0.0087,-0.02,0.17,69831075.0,,,24.5695,2.8387,2.875,13.098,40052489130.97,337075513.29,33135121,3.61,-87810,,,
1566316800000,1721331,43.464,43.464,42.7975,43.0362,-0.4259,-0.98,0.19,74505474.0,,,24.3277,2.8107,2.8467,12.9691,39658289764.38,339159503.66,33202544,3.62,67423,,,
1566403200000,1192719,43.0163,43.3546,42.9268,43.3247,0.2883,0.67,0.13,51778994.0,,,24.4908,2.8296,2.8658,13.056,39924145151.15,332900124.55,33232801,3.62,30257,,,
1566489600000,1216201,43.3546,43.5137,42.8571,43.2252,-0.0996,-0.23,0.13,52722503.0,,,24.4345,2.8231,2.8592,13.026,39832470879.85,328526696.45,33258346,3.62,25545,,,
1566748800000,1839238,42.4194,42.7477,41.8623,42.1508,-1.0764,-2.49,0.2,77944644.0,,,23.8272,2.7529,2.7882,12.7023,38842388749.81,335394937.17,33255059,3.62,-3287,,,
1566835200000,3360592,42.2006,42.8173,42.0016,42.0513,-0.1012,-0.24,0.37,143476662.0,,,23.7709,2.7464,2.7816,12.6723,38750714478.51,335440277.07,33613803,3.66,358744,,,
1566921600000,2618435,42.1309,42.7477,41.7827,42.688,0.635,1.51,0.29,111208943.0,,,24.1309,2.788,2.8237,12.8641,39337429814.83,328090630.31,33726565,3.68,112762,,,
1567008000000,1659241,42.5288,43.076,42.3,42.5786,-0.111,-0.26,0.18,71074427.0,,,24.069,2.7808,2.8165,12.8312,39236588116.4,334588697.8,33599641,3.66,-126924,,,
1567094400000,6492124,43.2849,44.9264,43.086,44.5483,1.9713,4.63,0.71,288933249.0,,,25.1825,2.9095,2.9468,13.4248,41051738688.14,316626453.98,34053429,3.71,453788,,,
1567353600000,5030147,44.419,45.1552,43.9713,44.5682,0.0178,0.04,0.55,224360616.0,,,25.1937,2.9108,2.9481,13.4308,41070073542.4,317125590.4,33365215,3.64,-688214,,,
1567440000000,2663568,44.3991,44.6478,43.8818,44.1305,-0.4368,-0.98,0.29,118294386.0,,,24.9463,2.8822,2.9191,13.2989,40666706748.68,313026040.28,32860856,3.58,-504359,,,
1567526400000,2450253,44.1206,44.4091,43.7923,44.2797,0.15,0.34,0.27,108681583.0,,,25.0306,2.8919,2.929,13.3438,40804218155.63,307733850.98,32616794,3.55,-244062,,,
1567612800000,3264633,44.419,44.9463,44.1902,44.2101,-0.0708,-0.16,0.36,146148230.0,,,24.9913,2.8874,2.9244,13.3228,40740046165.72,306865202.12,32714366,3.56,97572,,,
1567699200000,2537145,44.2101,44.5185,43.8719,43.9713,-0.2387,-0.54,0.28,112586147.0,,,24.8563,2.8718,2.9086,13.2509,40520027914.6,311415156.6,32846249,3.58,131883,,,
1567958400000,2922837,44.3593,44.3693,43.5237,43.9614,-0.0088,-0.02,0.32,128798883.0,,,24.8507,2.8712,2.9079,13.2479,40510860487.47,315696949.62,32711257,3.56,-134992,,,
1568044800000,3173450,44.0111,44.0211,43.265,43.454,-0.5055,-1.15,0.35,138819591.0,,,24.5639,2.838,2.8744,13.095,40043321703.84,314017721.64,33177249,3.62,465992,,,
1568131200000,3131404,43.7326,43.7525,42.9666,43.3048,-0.1477,-0.34,0.34,135899130.0,,,24.4795,2.8283,2.8645,13.05,39905810296.89,318333172.94,33308655,3.63,131406,,,
1568217600000,2319837,43.4441,43.8719,43.1556,43.8619,0.5586,1.29,0.25,101527378.0,,,24.7944,2.8647,2.9014,13.2179,40419186216.17,325064194.82,33385661,3.64,77006,,,
1568563200000,3187451,43.3645,44.3195,42.7776,44.0708,0.2105,0.48,0.35,139747020.0,,,24.9125,2.8783,2.9152,13.2809,40611702185.9,320977968.4,33301448,3.63,-84213,,,
1568649600000,2501729,43.7724,44.2698,43.4341,43.6828,-0.3878,-0.88,0.27,110066610.0,,,24.6932,2.853,2.8895,13.1639,40254172527.83,313126037.18,33454848,3.65,153400,,,
1568736000000,3766220,43.8918,44.7473,43.6232,44.6279,0.9436,2.16,0.41,167608655.0,,,25.2275,2.9147,2.952,13.4487,41125078105.18,294825119.28,33911771,3.7,456923,,,
1568822400000,2580553,44.9264,44.9562,44.3295,44.7175,0.0893,0.2,0.28,115760662.0,,,25.2781,2.9205,2.958,13.4757,41207584949.35,305391152.1,34022386,3.71,110615,,,
1568908800000,3820317,44.8368,45.3542,44.429,45.2447,0.5277,1.18,0.42,172724722.0,,,25.5761,2.955,2.9928,13.6346,41693458587.24,300263449.04,34739167,3.79,716781,,,
1569168000000,3027522,45.2447,45.2447,43.9713,44.0808,-1.1628,-2.57,0.33,134963384.0,,,24.9182,2.879,2.9158,13.2839,40620869613.03,313284674.38,34941562,3.81,202395,,,
1569254400000,3304025,43.9713,44.5185,43.6928,43.7923,-0.2865,-0.65,0.36,146225281.0,,,24.7551,2.8601,2.8968,13.1969,40355014226.26,322960429.96,35542726,3.87,601164,,,
1569340800000,2116330,43.7923,44.1206,43.4341,43.6431,-0.1489,-0.34,0.23,93099319.0,,,24.6707,2.8504,2.8869,13.152,40217502819.31,320105134.26,35251996,3.84,-290730,,,
1569427200000,2130876,43.6132,44.2101,43.6132,43.8918,0.2488,0.57,0.23,94279536.0,,,24.8113,2.8666,2.9033,13.2269,40446688497.56,314728647.76,35233707,3.84,-18289,,,
1569513600000,3100157,43.8719,44.2698,43.076,43.1755,-0.7154,-1.63,0.34,135494713.0,,,24.4064,2.8198,2.856,13.011,39786633744.2,320756881.2,35357619,3.85,123912,,,
1569772800000,2976941,43.1854,43.2849,42.3299,42.3299,-0.8463,-1.96,0.32,127673201.0,,,21.5594,2.6251,2.6903,10.9835,39007402438.15,321214785.9,35441316,3.86,83697,,,
1570464000000,2245454,42.3299,42.6383,41.9121,42.2304,-0.1016,-0.24,0.25,95263917.0,,,21.5087,2.6189,2.684,10.9577,38915728166.85,323660611.1,35601940,3.88,160624,,,
1570550400000,1655250,42.1807,42.1807,41.6832,42.111,-0.1182,-0.28,0.18,69734461.0,,,21.4479,2.6115,2.6764,10.9267,38805719041.29,326392988.34,35557029,3.87,-44911,,,
1570636800000,2747948,42.111,42.7278,41.7529,42.5189,0.4085,0.97,0.3,116639201.0,,,21.6556,2.6368,2.7023,11.0325,39181583553.62,331878049.26,35520724,3.87,-36305,,,
1570723200000,1792646,42.7776,42.7776,42.0812,42.4294,-0.0893,-0.21,0.2,76376446.0,,,21.61,2.6313,2.6966,11.0093,39099076709.45,333398687.85,35535752,3.87,15028,,,
1570982400000,2816479,42.5786,43.3446,42.509,42.7378,0.3097,0.73,0.31,121327088.0,,,21.7671,2.6504,2.7162,11.0893,39383266950.48,343370193.04,35658477,3.89,122725,,,
1571068800000,3820237,42.9765,44.0808,42.8074,43.9614,1.2223,2.86,0.42,167774842.0,,,22.3903,2.7263,2.794,11.4068,40510860487.47,334380157.31,35802936,3.9,144459,,,
1571155200000,2454573,43.9813,44.24,43.5933,43.6431,-0.3165,-0.72,0.27,108166651.0,,,22.2282,2.7065,2.7738,11.3242,40217502819.31,341295932.63,35819673,3.9,16737,,,
1571241600000,1808741,43.8719,44.2698,43.6828,43.7724,0.1309,0.3,0.2,79907206.0,,,22.2941,2.7145,2.782,11.3578,40336679372.0,333063674.0,35944539,3.92,124866,,,
1571328000000,4532454,44.2201,45.0358,43.7624,44.0211,0.2495,0.57,0.49,202670333.0,,,22.4207,2.73,2.7978,11.4223,40565865050.25,331633112.25,36218697,3.95,274158,,,
1571587200000,3007525,44.2698,44.8667,43.6232,44.6677,0.6471,1.47,0.33,133698530.0,,,22.7501,2.7701,2.8389,11.5901,41161747813.7,335265702.1,35803783,3.9,-414914,,,
1571673600000,3721720,44.9164,45.3741,44.7772,45.2547,0.5852,1.31,0.41,168872663.0,,,23.049,2.8065,2.8762,11.7424,41702626014.37,334178265.21,35583760,3.88,-220023,,,
1571760000000,2989755,45.3641,45.762,45.0458,45.1552,-0.0996,-0.22,0.33,136708514.0,,,22.9984,2.8003,2.8699,11.7166,41610951743.07,329133263.31,35730999,3.89,147239,,,
1571846400000,3627854,45.1751,45.4337,44.4688,44.6578,-0.4967,-1.1,0.4,163645414.0,,,22.745,2.7695,2.8383,11.5875,41152580386.57,325011008.81,36243024,3.95,512025,,,
