timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,108025726,2.79,3.06,2.78,2.95,0.17,6.12,5.69,321561932.0,,,30.1912,3.6036,4.0975,16.6426,14819030070.8,,,,,,,
1565539200000,48612154,2.96,2.96,2.87,2.93,-0.02,-0.68,2.56,141760952.0,,,29.9865,3.5792,4.0697,16.5298,14718562070.32,,,,,,,
1565625600000,26678159,2.88,2.91,2.86,2.89,-0.04,-1.37,1.41,76940150.0,,,29.5771,3.5303,4.0141,16.3041,14517626069.36,,,,,,,
1565712000000,27284014,2.98,2.98,2.9,2.91,0.02,0.69,1.44,79872932.0,,,29.7818,3.5547,4.0419,16.4169,14618094069.84,,,,,,,
1565798400000,32815852,2.82,2.92,2.8,2.91,0.0,0.0,1.73,93995756.0,,,29.7818,3.5547,4.0419,16.4169,14618094069.84,,,,,,,
1565884800000,36210304,2.94,2.98,2.9,2.91,0.0,0.0,1.91,106360418.0,,,29.7818,3.5547,4.0419,16.4169,14618094069.84,,,,,,,
1566144000000,51492146,2.93,2.97,2.89,2.97,0.06,2.06,2.71,151692070.0,,,30.3958,3.628,4.1253,16.7554,14919498071.28,22574178.0,,,,,,
1566230400000,87974955,2.96,3.26,2.95,3.07,0.1,3.37,4.63,274104820.0,,,31.4193,3.7502,4.2642,17.3196,15421838073.68,29381877.0,,,,,,
1566316800000,80078399,3.08,3.2,3.06,3.15,0.08,2.61,4.22,252181189.0,,,32.238,3.8479,4.3753,17.7709,15823710075.6,55019391.0,,,,,,
1566403200000,47789588,3.15,3.19,3.08,3.11,-0.04,-1.27,2.52,148562870.0,,,31.8286,3.799,4.3197,17.5453,15622774074.64,60435700.0,,,,,,
1566489600000,31834177,3.11,3.11,3.06,3.06,-0.05,-1.61,1.68,98036535.0,,,31.3169,3.738,4.2503,17.2632,15371604073.44,60155027.0,,,,,,
1566748800000,38420840,2.93,3.03,2.93,3.01,-0.05,-1.63,2.02,114408877.0,,,30.8052,3.6769,4.1808,16.9811,15120434072.24,60058357.0,,,,,,
1566835200000,34306827,3.03,3.08,3.02,3.04,0.03,1.0,1.81,104375646.0,,,31.1122,3.7135,4.2225,17.1503,15271136072.96,63144571.0,,,,,,
1566921600000,28081028,3.04,3.05,3.0,3.02,-0.02,-0.66,1.48,84702903.0,,,30.9076,3.6891,4.1947,17.0375,15170668072.48,63852005.0,,,,,,
1567008000000,60625997,3.04,3.2,3.01,3.07,0.05,1.66,3.19,188273274.0,,,31.4193,3.7502,4.2642,17.3196,15421838073.68,70830895.0,,,,,,
1567094400000,45069718,3.09,3.12,2.98,3.0,-0.07,-2.28,2.37,136753810.0,,,30.7029,3.6647,4.1669,16.9247,15070200072.0,68605026.0,,,,,,
1567353600000,39343257,2.99,3.06,2.97,3.06,0.06,2.0,2.07,119073928.0,,,31.3169,3.738,4.2503,17.2632,15371604073.44,75487195.0,,,,,,
1567440000000,31134138,3.08,3.08,3.02,3.03,-0.03,-0.98,1.64,94474703.0,,,31.0099,3.7013,4.2086,17.0939,15220902072.72,76439457.0,,,,,,
1567526400000,39649529,3.03,3.09,3.01,3.06,0.03,0.99,2.09,120840507.0,,,31.3169,3.738,4.2503,17.2632,15371604073.44,76115339.0,,,,,,
1567612800000,59591749,3.06,3.14,3.06,3.08,0.02,0.65,3.14,184011295.0,,,31.5216,3.7624,4.278,17.376,15472072073.92,84959568.0,,,,,,
1567699200000,58642731,3.08,3.14,3.07,3.13,0.05,1.62,3.09,182272811.0,,,32.0333,3.8235,4.3475,17.6581,15723242075.12,89683129.0,,,,,,
1567958400000,56474711,3.15,3.16,3.1,3.14,0.01,0.32,2.97,176352878.0,,,32.1357,3.8357,4.3614,17.7145,15773476075.36,99344604.0,,,,,,
1568044800000,69038261,3.14,3.23,3.1,3.17,0.03,0.96,3.64,217464925.0,,,32.4427,3.8723,4.4031,17.8837,15924178076.08,105700373.0,,,,,,
1568131200000,50857817,3.16,3.19,3.13,3.13,-0.04,-1.26,2.68,160328173.0,,,32.0333,3.8235,4.3475,17.6581,15723242075.12,113839871.0,,,,,,
1568217600000,27855168,3.13,3.15,3.11,3.13,0.0,0.0,1.47,87141971.0,,,32.0333,3.8235,4.3475,17.6581,15723242075.12,110535359.0,,,,,,
1568563200000,88725949,3.21,3.34,3.15,3.17,0.04,1.28,4.67,285833946.0,,,32.4427,3.8723,4.4031,17.8837,15924178076.08,116043860.0,,,,,,
1568649600000,62061800,3.2,3.2,3.1,3.12,-0.05,-1.58,3.27,195243563.0,,,31.931,3.8112,4.3336,17.6017,15673008074.88,123440710.0,,,,,,
1568736000000,40365070,3.08,3.11,3.05,3.05,-0.07,-2.24,2.13,124264974.0,,,31.2146,3.7257,4.2364,17.2068,15321370073.2,123698185.0,,,,,,
1568822400000,24781907,3.06,3.07,3.03,3.07,0.02,0.66,1.31,75675294.0,,,31.4193,3.7502,4.2642,17.3196,15421838073.68,129054974.0,,,,,,
1568908800000,23088577,3.08,3.08,3.05,3.07,0.0,0.0,1.22,70791390.0,,,31.4193,3.7502,4.2642,17.3196,15421838073.68,128985053.0,,,,,,
1569168000000,32310925,3.06,3.06,2.99,3.0,-0.07,-2.28,1.7,97378916.0,,,30.7029,3.6647,4.1669,16.9247,15070200072.0,131428422.0,,,,,,
1569254400000,21354354,3.01,3.03,3.0,3.0,0.0,0.0,1.12,64296469.0,,,30.7029,3.6647,4.1669,16.9247,15070200072.0,135008198.0,,,,,,
1569340800000,32808256,2.98,2.99,2.92,2.93,-0.07,-2.33,1.73,96746835.0,,,29.9865,3.5792,4.0697,16.5298,14718562070.32,130308909.0,,,,,,
1569427200000,43719322,2.94,3.04,2.92,2.94,0.01,0.34,2.3,129646589.0,,,30.0888,3.5914,4.0836,16.5862,14768796070.56,128254776.0,,,,,,
1569513600000,25267507,2.93,2.95,2.91,2.92,-0.02,-0.68,1.33,73979328.0,,,29.8841,3.5669,4.0558,16.4734,14668328070.08,126793254.0,,,,,,
1569772800000,19005012,2.93,2.94,2.89,2.89,-0.03,-1.03,1.0,55361939.0,,,21.5953,3.3326,3.7658,15.5925,14517626069.36,124591294.0,,,,,,
1570464000000,22448050,2.93,2.97,2.91,2.92,0.03,1.04,1.18,65665212.0,,,21.8195,3.3672,3.8049,15.7544,14668328070.08,127986454.0,,,,,,
1570550400000,18187226,2.89,2.93,2.88,2.93,0.01,0.34,0.96,52907738.0,,,21.8942,3.3788,3.8179,15.8083,14718562070.32,129123255.0,,,,,,
1570636800000,167381207,2.95,3.22,2.94,3.22,0.29,9.9,8.82,520185419.0,,,24.0612,3.7132,4.1958,17.373,16175348077.28,161766217.0,,,,,,
1570723200000,173057362,3.28,3.31,3.1,3.13,-0.09,-2.8,9.12,553604405.0,,,23.3887,3.6094,4.0785,16.8874,15723242075.12,147469502.0,,,,,,
1570982400000,172805016,3.28,3.38,3.17,3.21,0.08,2.56,9.1,564291405.0,,,23.9865,3.7016,4.1827,17.319,16125114077.04,175120218.0,,,,,,
1571068800000,97331420,3.16,3.19,3.09,3.1,-0.11,-3.43,5.13,304223493.0,,,23.1646,3.5748,4.0394,16.7255,15572540074.4,183066687.0,,,,,,
1571155200000,64613665,3.08,3.13,3.02,3.02,-0.08,-2.58,3.4,198226956.0,,,22.5668,3.4825,3.9352,16.2939,15170668072.48,178729969.0,,,,,,
1571241600000,44079527,3.04,3.05,2.98,2.99,-0.03,-0.99,2.32,132743587.0,,,22.3426,3.4479,3.8961,16.132,15019966071.76,172519738.0,,,,,,
1571328000000,35688100,3.0,3.01,2.96,3.0,0.01,0.33,1.88,106648728.0,,,22.4173,3.4595,3.9091,16.186,15070200072.0,174926357.0,,,,,,
1571587200000,27544207,2.98,2.98,2.95,2.97,-0.03,-1.0,1.45,81528672.0,,,22.1931,3.4249,3.87,16.0241,14919498071.28,173580066.0,,,,,,
1571673600000,20598031,2.97,3.0,2.96,3.0,0.03,1.01,1.08,61531482.0,,,22.4173,3.4595,3.9091,16.186,15070200072.0,171404986.0,,,,,,
1571760000000,37202079,3.03,3.07,3.01,3.02,0.02,0.67,1.96,112933268.0,,,22.5668,3.4825,3.9352,16.2939,15170668072.48,167996888.0,,,,,,
1571846400000,22219562,3.03,3.04,2.98,2.99,-0.03,-0.99,1.17,66726725.0,,,22.3426,3.4479,3.8961,16.132,15019966071.76,168645313.0,,,,,,
1571932800000,27163673,2.98,3.0,2.95,2.99,0.0,0.0,1.43,80721312.0,,,22.3426,3.4479,3.8961,16.132,15019966071.76,166983603.0,,,,,,
1572192000000,33276219,2.99,3.02,2.96,3.01,0.02,0.67,1.75,99526306.0,,,22.492,3.471,3.9221,16.2399,15120434072.24,166168830.0,,,,,,
1572278400000,29107231,3.01,3.02,2.95,2.95,-0.06,-1.99,1.53,86523803.0,,,22.0437,3.4018,3.8439,15.9162,14819030070.8,162143782.0,,,,,,
1572364800000,31634636,2.95,2.95,2.9,2.91,-0.04,-1.36,1.67,92436543.0,,,21.7448,3.3557,3.7918,15.7004,14618094069.84,158598540.0,,,,,,
1572451200000,23798748,2.91,2.92,2.89,2.89,-0.02,-0.69,1.25,69025657.0,,,21.5953,3.3326,3.7658,15.5925,14517626069.36,157021222.0,,,,,,
1572537600000,18552264,2.88,2.92,2.87,2.91,0.02,0.69,0.98,53762029.0,,,21.7448,3.3557,3.7918,15.7004,14618094069.84,157441750.0,,,,,,
1572796800000,19677789,2.92,2.93,2.89,2.9,-0.01,-0.34,1.04,57289942.0,,,21.6701,3.3442,3.7788,15.6464,14567860069.6,152292783.0,,,,,,
1572883200000,18097710,2.9,2.92,2.89,2.91,0.01,0.34,0.95,52622799.0,,,21.7448,3.3557,3.7918,15.7004,14618094069.84,148778625.0,,,,,,
1572969600000,20609648,2.91,2.92,2.87,2.88,-0.03,-1.03,1.09,59559595.0,,,21.5206,3.3211,3.7527,15.5385,14467392069.12,147232183.0,,,,,,
