timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1564588800000,19209516,24.6,25.04,24.17,24.23,-0.84,-3.35,1.39,473628202.0,,,102.326,2.2234,1.7533,13.6817,33391789399.54,,,,,,,
1564675200000,21977800,23.4,23.7,22.92,23.27,-0.96,-3.96,1.59,511288517.0,,,98.2718,2.1353,1.6838,13.1396,32068796505.46,,,,,,,
1564934400000,18407445,23.01,23.68,22.9,22.98,-0.29,-1.25,1.34,428473062.0,,,97.0471,2.1087,1.6628,12.9759,31669142402.04,,,,,,,
1565020800000,29989394,22.0,22.78,21.05,22.17,-0.81,-3.52,2.18,654652380.0,,,93.6264,2.0343,1.6042,12.5185,30552867147.66,,,,,,,
1565107200000,13018256,22.34,22.48,21.73,21.79,-0.38,-1.71,0.94,287324617.0,,,92.0216,1.9995,1.5767,12.3039,30029182460.42,,,,,,,
1565798400000,15852179,23.97,23.97,23.5,23.97,2.18,10.0,1.15,379592726.0,,,101.228,2.1995,1.7345,13.5349,33033478824.06,,,,,,,
1565884800000,48614787,25.0,25.54,23.58,23.66,-0.31,-1.29,3.53,1191738711.0,,,99.9188,2.1711,1.7121,13.3599,32606262368.68,,,,,,,
1566144000000,25218604,23.64,23.97,23.3,23.81,0.15,0.63,1.83,596211347.0,,,100.5523,2.1848,1.7229,13.4446,32812980008.38,,,,,,,
1566230400000,30185290,23.68,24.5,23.45,24.18,0.37,1.55,2.19,723405798.0,,,102.1148,2.2188,1.7497,13.6535,33322883519.64,,,,,,,
1566316800000,14199227,23.96,24.17,23.72,23.77,-0.41,-1.7,1.03,339372533.0,,,100.3833,2.1812,1.72,13.422,32757855304.46,,,,,,,
1566403200000,14251925,23.77,24.18,23.71,23.8,0.03,0.13,1.03,340784657.0,,,100.51,2.1839,1.7222,13.4389,32799198832.4,,,,,,,
1566489600000,21472959,23.5,23.62,22.81,22.98,-0.82,-3.45,1.56,497402927.0,,,97.0471,2.1087,1.6628,12.9759,31669142402.04,,,,,,,
1566748800000,14662577,22.0,23.02,21.9,22.59,-0.39,-1.7,1.06,330445152.0,,,95.4001,2.0729,1.6346,12.7557,31131676538.82,,,,,,,
1566835200000,12178347,22.65,23.13,22.65,22.82,0.23,1.02,0.88,278616800.0,,,96.3714,2.094,1.6513,12.8855,31448643586.36,,,,,,,
