timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565107200000,12667710,3.06,3.1,3.03,3.03,-0.06,-1.94,2.1,38773553.0,,,,,,,,,,,,,,
1565193600000,29896076,3.03,3.33,3.03,3.33,0.3,9.9,4.96,97589917.0,,,-1.6284,4.5581,4.0579,-39.9154,3196853896.05,,,,,,,
1565280000000,51443638,3.33,3.33,3.2,3.25,-0.08,-2.4,8.54,167492942.0,,,-1.5893,4.4486,3.9604,-38.9565,3120052601.25,,,,,,,
1565539200000,19486823,3.2,3.27,3.2,3.26,0.01,0.31,3.23,62896136.0,,,-1.5942,4.4622,3.9726,-39.0763,3129652763.1,,,,,,,
1565625600000,26818972,3.2,3.34,3.12,3.23,-0.03,-0.92,4.45,86738588.0,,,-1.5795,4.4212,3.936,-38.7167,3100852277.55,,,,,,,
1565712000000,45553236,3.27,3.45,3.23,3.39,0.16,4.95,7.56,151064327.0,,,-1.6577,4.6402,4.131,-40.6346,3254454867.15,,,,,,,
1565798400000,49005047,3.28,3.55,3.23,3.37,-0.02,-0.59,8.13,166213200.0,,,-1.648,4.6128,4.1066,-40.3949,3235254543.45,,,,,,,
1565884800000,46765258,3.35,3.5,3.28,3.37,0.0,0.0,7.76,157581636.0,,,-1.648,4.6128,4.1066,-40.3949,3235254543.45,,,,,,,
1566144000000,41026468,3.33,3.47,3.32,3.45,0.08,2.37,6.81,139993524.0,,,-1.6871,4.7223,4.2041,-41.3538,3312055838.25,,,,,,,
1566230400000,47071815,3.41,3.5,3.38,3.48,0.03,0.87,7.81,162098619.0,,,-1.7018,4.7634,4.2407,-41.7134,3340856323.8,,,,,,,
1566316800000,30428293,3.44,3.51,3.42,3.45,-0.03,-0.86,5.05,105211734.0,,,-1.6871,4.7223,4.2041,-41.3538,3312055838.25,,,,,,,
1566403200000,61429017,3.46,3.65,3.42,3.57,0.12,3.48,10.2,217172977.0,,,-1.7458,4.8866,4.3503,-42.7922,3427257780.45,,,,,,,
1566489600000,36642120,3.53,3.58,3.43,3.46,-0.11,-3.08,6.08,128036092.0,,,-1.692,4.736,4.2163,-41.4737,3321656000.1,,,,,,,
1566748800000,36647847,3.36,3.55,3.32,3.51,0.05,1.45,6.08,126707803.0,,,-1.7164,4.8044,4.2772,-42.073,3369656809.35,,,,,,,
1566835200000,62809586,3.5,3.74,3.48,3.66,0.15,4.27,10.43,225991809.0,,,-1.7898,5.0098,4.46,-43.871,3513659237.1,,,,,,,
