timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,594880,14.07,14.29,13.88,13.88,-0.19,-1.35,0.64,8391335.0,,,-38.714,1.564,1.3775,15.3519,1295531440.0,,,,,,,
1565539200000,511060,13.81,14.15,13.7,14.14,0.26,1.87,0.55,7157046.0,,,-39.4392,1.5933,1.4033,15.6395,1319799320.0,,,,,,,
1565625600000,579360,14.07,14.1,13.91,13.95,-0.19,-1.34,0.62,8107439.0,,,-38.9093,1.5719,1.3845,15.4293,1302065100.0,,,,,,,
1565712000000,885468,14.2,14.3,14.1,14.16,0.21,1.51,0.95,12571432.0,,,-39.495,1.5955,1.4053,15.6616,1321666080.0,,,,,,,
1565798400000,902860,13.89,14.26,13.71,14.22,0.06,0.42,0.97,12636568.0,,,-39.6624,1.6023,1.4112,15.728,1327266360.0,,,,,,,
1565884800000,774378,14.15,14.33,14.1,14.15,-0.07,-0.49,0.83,11003417.0,,,-39.4671,1.5944,1.4043,15.6506,1320732700.0,,,,,,,
1566144000000,1008404,14.27,14.52,14.2,14.47,0.32,2.26,1.08,14522313.0,,,-40.3597,1.6304,1.4361,16.0045,1350600860.0,,,,,,,
1566230400000,850094,14.5,14.74,14.45,14.55,0.08,0.55,0.91,12399340.0,,,-40.5828,1.6395,1.444,16.093,1358067900.0,,,,,,,
1566316800000,836320,14.5,14.73,14.41,14.59,0.04,0.27,0.9,12216021.0,,,-40.6944,1.644,1.448,16.1372,1361801420.0,,,,,,,
1566403200000,962897,14.58,14.93,14.58,14.84,0.25,1.71,1.03,14235879.0,,,-41.3917,1.6721,1.4728,16.4137,1385135920.0,,,,,,,
1566489600000,2322588,14.71,15.34,14.71,15.19,0.35,2.36,2.49,34899025.0,,,-42.3679,1.7116,1.5075,16.8008,1417804220.0,,,,,,,
1566748800000,1897180,15.0,15.02,14.56,14.75,-0.44,-2.9,2.03,28037360.0,,,-41.1406,1.662,1.4638,16.3142,1376735500.0,,,,,,,
1566835200000,1797100,14.75,14.96,14.6,14.88,0.13,0.88,1.93,26603640.0,,,-41.5032,1.6766,1.4768,16.458,1388869440.0,,,,,,,
1566921600000,898433,14.79,14.88,14.71,14.76,-0.12,-0.81,0.96,13282347.0,,,-41.1685,1.6631,1.4648,16.3252,1377668880.0,,,,,,,
1567008000000,1292004,14.8,15.18,14.75,14.96,0.2,1.36,1.38,19344054.0,,,-41.7264,1.6857,1.4847,16.5465,1396336480.0,,,,,,,
1567094400000,1335928,15.09,15.09,14.37,14.5,-0.46,-3.07,1.43,19691268.0,,,-40.4434,1.6338,1.439,16.0377,1353401000.0,,,,,,,
1567353600000,2087798,14.5,15.39,14.5,15.19,0.69,4.76,2.24,31475744.0,,,-42.3679,1.7116,1.5075,16.8008,1417804220.0,,,,,,,
