timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,1997549,5.8625,5.9469,5.7781,5.8855,0.0076,0.13,0.47,15262534.0,,,79.8837,3.0286,1.3196,30.5568,3264673411.35,,,,,,,
1565539200000,3425028,5.8548,6.1848,5.8395,6.1464,0.2607,4.43,0.81,26916926.0,,,83.4248,3.1629,1.3781,31.9114,3409391659.05,,,,,,,
1565625600000,5475818,6.0927,6.4687,6.0697,6.3843,0.2379,3.87,1.3,44940229.0,,,86.6535,3.2853,1.4314,33.1464,3541340649.6,,,,,,,
1565712000000,4715078,6.4303,6.5608,6.2769,6.3152,-0.0689,-1.08,1.12,39452920.0,,,85.7161,3.2498,1.4159,32.7878,3503032878.15,,,,,,,
1565798400000,2369096,6.3152,6.3382,6.1618,6.2308,-0.0846,-1.34,0.56,19147879.0,,,84.5705,3.2063,1.397,32.3496,3456212268.6,,,,,,,
1565884800000,1577334,6.2155,6.2999,6.2155,6.2231,-0.0075,-0.12,0.37,12843078.0,,,84.4663,3.2024,1.3953,32.3098,3451955849.55,,,,,,,
1566144000000,8004015,6.2308,6.7986,6.2308,6.7756,0.5526,8.88,1.9,68201966.0,,,91.9652,3.4867,1.5192,35.1782,3758418021.15,,,,,,,
1566230400000,5005242,6.7449,6.8447,6.5378,6.6298,-0.1457,-2.15,1.19,43641997.0,,,89.9863,3.4117,1.4865,34.4213,3677546059.2,,,,,,,
1566316800000,2958916,6.52,6.7,6.41,6.43,-0.2,-3.02,0.7,19211869.0,,,87.0597,3.3283,1.4381,33.3018,3557940680.68,,,,,,,
1566403200000,4288867,6.4,6.44,6.25,6.35,-0.08,-1.24,0.78,27146482.0,,,85.9765,3.2869,1.4202,32.8874,3513673922.6,,,,,,,
1566489600000,1908687,6.38,6.38,6.28,6.31,-0.04,-0.63,0.35,12064502.0,,,85.4349,3.2662,1.4113,32.6803,3491540543.56,,,,,,,
1566748800000,1899945,6.09,6.24,6.06,6.18,-0.13,-2.06,0.35,11718355.0,,,83.6748,3.1989,1.3822,32.007,3419607061.68,,,,,,,
1566835200000,3349359,6.23,6.33,6.23,6.29,0.11,1.78,0.61,21049714.0,,,85.1641,3.2558,1.4068,32.5767,3480473854.04,,,,,,,
1566921600000,4738706,6.29,6.4,6.21,6.35,0.06,0.95,0.87,30025110.0,,,85.9765,3.2869,1.4202,32.8874,3513673922.6,,,,,,,
1567008000000,4965000,6.35,6.45,6.31,6.41,0.06,0.94,0.91,31680104.0,,,86.7889,3.318,1.4336,33.1982,3546873991.16,,,,,,,
1567094400000,9306902,6.43,6.83,6.39,6.53,0.12,1.87,1.7,61590196.0,,,88.4136,3.3801,1.4605,33.8197,3613274128.28,,,,,,,
