timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,25986027,7.9422,7.9521,7.556,7.6055,-0.4461,-5.54,1.99,202633209.0,,,84.6094,0.7151,0.2774,-20.4407,10049135784.96,672655576.76,,,,,,
1565539200000,14507726,7.556,7.6055,7.3678,7.4866,-0.1186,-1.56,1.11,109371973.0,,,83.2874,0.704,0.2731,-20.1213,9892118038.32,673419249.92,,,,,,
1565625600000,7205553,7.4371,7.4569,7.3084,7.3678,-0.119,-1.59,0.55,53655491.0,,,81.9654,0.6928,0.2688,-19.8019,9735100291.68,674920087.08,,,,,,
1565712000000,5405916,7.4569,7.4965,7.4173,7.4173,0.0494,0.67,0.41,40703593.0,,,82.5162,0.6975,0.2706,-19.935,9800524352.78,672661865.18,,,,,,
1565798400000,5114711,7.3084,7.4272,7.2391,7.4173,0.0,0.0,0.39,37829777.0,,,82.5162,0.6975,0.2706,-19.935,9800524352.78,672230455.18,,,,,,
1565884800000,4435618,7.3975,7.4965,7.3777,7.447,0.0297,0.4,0.34,33361342.0,,,82.8468,0.7002,0.2717,-20.0148,9839778789.44,670112053.64,,,,,,
1566144000000,7076649,7.4866,7.655,7.4668,7.6352,0.1884,2.53,0.54,54259782.0,,,84.94,0.7179,0.2785,-20.5205,10088390221.62,667555644.22,,,,,,
1566230400000,6345055,7.655,7.7441,7.6154,7.6352,0.0,0.0,0.48,49232938.0,,,84.94,0.7179,0.2785,-20.5205,10088390221.62,662480408.01,,,,,,
1566316800000,4933149,7.6154,7.6847,7.5956,7.6451,0.0099,0.13,0.38,38074284.0,,,85.0501,0.7189,0.2789,-20.5471,10101475033.84,661429237.32,,,,,,
1566403200000,5896277,7.6847,7.6847,7.5262,7.5758,-0.0696,-0.91,0.45,45110933.0,,,84.2789,0.7124,0.2764,-20.3608,10009881348.3,664272823.15,,,,,,
1566489600000,8000287,7.6055,7.6748,7.5262,7.5758,0.0,0.0,0.61,61355975.0,,,84.2789,0.7124,0.2764,-20.3608,10009881348.3,671163876.15,,,,,,
1566748800000,5803221,7.4272,7.5262,7.3777,7.4767,-0.0992,-1.31,0.44,43639960.0,,,83.1773,0.703,0.2728,-20.0947,9879033226.1,668012205.05,,,,,,
1566835200000,13224934,7.546,7.6946,7.5361,7.5857,0.1092,1.46,1.01,101680350.0,,,84.3891,0.7133,0.2767,-20.3874,10022966160.52,664732725.46,,,,,,
1566921600000,13923812,7.7738,7.8927,7.6748,7.6946,0.1092,1.44,1.06,108976678.0,,,85.601,0.7235,0.2807,-20.6802,10166899094.94,660182682.87,,,,,,
1567008000000,8206512,7.6748,7.7144,7.6154,7.6154,-0.0793,-1.03,0.63,63331273.0,,,84.7196,0.7161,0.2778,-20.4673,10062220597.18,662136323.39,,,,,,
1567094400000,7516003,7.6649,7.7243,7.546,7.5758,-0.0396,-0.52,0.57,57937667.0,,,84.2789,0.7124,0.2764,-20.3608,10009881348.3,660363228.15,,,,,,
1567353600000,8919201,7.5857,7.7738,7.5857,7.7144,0.1386,1.83,0.68,69209927.0,,,85.8213,0.7254,0.2814,-20.7334,10193068719.38,654051238.49,,,,,,
1567440000000,6016195,7.7144,7.7441,7.6649,7.7342,0.0201,0.26,0.46,46782117.0,,,86.0416,0.7273,0.2821,-20.7867,10219238343.82,653444801.11,,,,,,
1567526400000,8529748,7.7045,7.7837,7.6748,7.7738,0.0394,0.51,0.65,66589874.0,,,86.4823,0.731,0.2836,-20.8931,10271577592.7,649774500.35,,,,,,
1567612800000,13514122,7.8035,7.9521,7.8035,7.853,0.0793,1.02,1.03,107594337.0,,,87.3637,0.7384,0.2865,-21.106,10376256090.46,651113466.44,,,,,,
1567699200000,7407154,7.8927,7.9422,7.8431,7.8927,0.0393,0.5,0.57,58955202.0,,,87.8043,0.7422,0.2879,-21.2125,10428595339.34,644048769.76,,,,,,
1567958400000,10463778,7.962,8.061,7.9125,8.0412,0.1484,1.88,0.8,84453296.0,,,89.4569,0.7561,0.2933,-21.6117,10624867522.64,642764659.96,,,,,,
1568044800000,7977800,8.0511,8.0709,7.962,8.0511,0.0096,0.12,0.61,64579845.0,,,89.567,0.7571,0.2937,-21.6383,10637952334.86,632153943.04,,,,,,
1568131200000,16642326,8.061,8.2492,7.9818,7.9917,-0.0596,-0.74,1.27,135663948.0,,,88.906,0.7515,0.2915,-21.4787,10559443461.54,648962980.33,,,,,,
1568217600000,36065681,8.1402,8.4868,8.0808,8.467,0.4755,5.95,2.76,302608727.0,,,94.1941,0.7962,0.3089,-22.7562,11187514448.1,635209751.45,,,,,,
1568563200000,36146035,8.467,8.9424,8.4175,8.7146,0.2472,2.92,2.76,318090020.0,,,96.9483,0.8194,0.3179,-23.4216,11514634753.6,609302594.2,,,,,,
1568649600000,25521635,8.7641,8.8136,8.6156,8.7146,0.0,0.0,1.95,224649283.0,,,96.9483,0.8194,0.3179,-23.4216,11514634753.6,602367938.2,,,,,,
1568736000000,32100929,8.8136,9.1701,8.7641,8.9028,0.1882,2.16,2.45,290489264.0,,,99.0415,0.8371,0.3248,-23.9273,11763246185.78,619398800.81,,,,,,
1568822400000,17088718,8.9028,9.0612,8.8235,8.982,0.0792,0.89,1.31,153793068.0,,,99.9229,0.8446,0.3277,-24.1402,11867924683.54,619923643.33,,,,,,
1568908800000,29272807,8.9919,9.1206,8.6948,8.9028,-0.079,-0.88,2.24,262498041.0,,,99.0415,0.8371,0.3248,-23.9273,11763246185.78,608177070.81,,,,,,
1569168000000,19379660,8.8334,8.8631,8.5561,8.8037,-0.0988,-1.11,1.48,170266916.0,,,97.9398,0.8278,0.3212,-23.6611,11632398063.58,618375350.91,,,,,,
1569254400000,12078987,8.8929,8.8929,8.6948,8.6948,-0.1092,-1.24,0.92,106727826.0,,,96.728,0.8176,0.3172,-23.3684,11488465129.16,613943906.82,,,,,,
1569340800000,13994024,8.6948,8.774,8.4967,8.6354,-0.0591,-0.68,1.07,122029250.0,,,96.067,0.812,0.315,-23.2087,11409956255.84,605681273.76,,,,,,
1569427200000,11578734,8.6948,8.7047,8.3977,8.3977,-0.2375,-2.75,0.88,99592387.0,,,93.4229,0.7896,0.3063,-22.5699,11095920762.56,605052807.84,,,,,,
1569513600000,10043644,8.4175,8.5462,8.3482,8.368,-0.0294,-0.35,0.77,85176458.0,,,93.0924,0.7868,0.3053,-22.49,11056666325.9,600054680.85,,,,,,
1569772800000,13311318,8.2194,8.2393,8.0115,8.0412,-0.3272,-3.91,1.02,109153670.0,,,33.0339,0.7455,0.3087,10.7452,10624867522.64,600431115.96,,,,,,
1570464000000,12718179,8.0907,8.467,8.0511,8.2987,0.2573,3.2,0.97,106413841.0,,,34.0916,0.7694,0.3186,11.0893,10965072640.36,607483454.54,,,,,,
