timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,3939733,7.1592,7.1592,6.8315,6.9904,-0.0792,-1.12,0.38,27660077.0,,,38.497,2.384,2.0983,34.1219,9628421123.2,,,,,,,
1565539200000,5944801,6.9507,7.0003,6.7521,6.9904,0.0,0.0,0.58,41200812.0,,,38.497,2.384,2.0983,34.1219,9628421123.2,,,,,,,
1565625600000,4604900,6.8712,6.9407,6.7521,6.8116,-0.179,-2.56,0.45,31666497.0,,,37.5127,2.3231,2.0446,33.2495,9382239901.3,,,,,,,
1565712000000,5876373,6.9407,7.04,6.8514,6.9308,0.1192,1.75,0.57,41105625.0,,,38.1689,2.3637,2.0804,33.8311,9546360715.9,,,,,,,
1565798400000,5811983,6.7521,6.8811,6.6726,6.8613,-0.0693,-1.0,0.56,39698286.0,,,37.7861,2.34,2.0595,33.4918,9450623574.05,,,,,,,
1565884800000,5430405,6.901,7.0897,6.8613,6.9308,0.0693,1.01,0.53,38104755.0,,,38.1689,2.3637,2.0804,33.8311,9546360715.9,,,,,,,
1566144000000,13002988,6.9507,7.3776,6.9507,7.3081,0.377,5.44,1.26,93684533.0,,,40.2469,2.4924,2.1936,35.6729,10066076628.8,13799610.0,,,,,,
1566230400000,7739223,7.2982,7.4074,7.2287,7.2783,-0.03,-0.41,0.75,57087391.0,,,40.0828,2.4822,2.1847,35.5275,10025046425.15,12752073.0,,,,,,
1566316800000,10134286,7.2982,7.6854,7.2982,7.4173,0.139,1.91,0.98,76640053.0,,,40.8484,2.5296,2.2264,36.2061,10216520708.85,14482016.0,,,,,,
1566403200000,5972680,7.4173,7.5365,7.3578,7.4372,0.02,0.27,0.58,44735891.0,,,40.9577,2.5364,2.2324,36.303,10243874177.95,15262536.0,,,,,,
1566489600000,5871615,7.5762,7.5861,7.3776,7.3975,-0.0394,-0.53,0.57,44002203.0,,,40.739,2.5229,2.2205,36.1091,10189167239.75,20336096.0,,,,,,
1566748800000,5749470,7.1989,7.3875,7.1592,7.3081,-0.0895,-1.21,0.56,42212290.0,,,40.2469,2.4924,2.1936,35.6729,10066076628.8,21366784.0,,,,,,
1566835200000,7571155,7.4273,7.5663,7.3776,7.4968,0.1886,2.58,0.73,57077649.0,,,41.2858,2.5567,2.2503,36.5938,10325934585.25,24946682.0,,,,,,
1566921600000,5917279,7.5166,7.5961,7.4372,7.5365,0.0397,0.53,0.57,44827676.0,,,41.5046,2.5703,2.2622,36.7877,10380641523.45,30515573.0,,,,,,
1567008000000,16751213,7.5464,8.0032,7.5365,7.9734,0.4371,5.8,1.62,132181087.0,,,43.9106,2.7193,2.3933,38.9203,10982417843.65,37906341.0,,,,,,
1567094400000,13644273,7.9734,8.1025,7.7847,7.8145,-0.1587,-1.99,1.32,109143823.0,,,43.0357,2.6651,2.3456,38.1448,10763590090.85,48802709.0,,,,,,
1567353600000,8027121,7.9138,7.9734,7.7847,7.9635,0.1493,1.91,0.78,63824171.0,,,43.856,2.7159,2.3903,38.8718,10968741109.1,52247025.0,,,,,,
1567440000000,7475504,7.9635,7.9635,7.8244,7.9436,-0.0199,-0.25,0.72,59560307.0,,,43.7466,2.7091,2.3844,38.7749,10941387640.0,57492125.0,,,,,,
1567526400000,7435847,7.894,8.0727,7.8542,8.023,0.0794,1.0,0.72,59752513.0,,,44.1841,2.7362,2.4082,39.1627,11050801516.4,57966669.0,,,,,,
1567612800000,12945651,8.0925,8.3606,8.0429,8.1422,0.1195,1.49,1.25,107267515.0,,,44.8403,2.7768,2.444,39.7443,11214922331.0,64363764.0,,,,,,
1567699200000,16495927,8.2216,8.5989,8.2216,8.5592,0.4169,5.12,1.6,139724769.0,,,47.1369,2.9191,2.5692,41.78,11789345182.1,80231945.0,,,,,,
1567958400000,20858239,8.738,8.7677,8.4401,8.6387,0.0796,0.93,2.02,180105056.0,,,47.5744,2.9462,2.593,42.1677,11898759058.5,93730867.0,,,,,,
1568044800000,10666261,8.6387,8.738,8.4301,8.4897,-0.1486,-1.72,1.03,91903151.0,,,46.7542,2.8954,2.5483,41.4407,11693608040.25,92322475.0,,,,,,
1568131200000,11419568,8.5294,8.5791,8.3805,8.4103,-0.0798,-0.94,1.1,97286848.0,,,46.3167,2.8683,2.5245,41.0529,11584194163.85,93597281.0,,,,,,
1568217600000,9932400,8.4599,8.4798,8.3209,8.4202,0.0101,0.12,0.96,84066616.0,,,46.3714,2.8717,2.5274,41.1014,11597870898.4,91193043.0,,,,,,
1568563200000,14029538,8.4401,8.6982,8.3904,8.6188,0.1987,2.36,1.36,121534480.0,,,47.465,2.9394,2.5871,42.0708,11871405589.4,100460377.0,,,,,,
1568649600000,15652984,8.6188,8.6387,8.1422,8.2713,-0.3473,-4.03,1.51,132152188.0,,,45.5511,2.8209,2.4827,40.3744,11392719880.15,95663310.0,,,,,,
1568736000000,24266463,8.3408,8.8571,8.3209,8.589,0.3176,3.84,2.35,210444821.0,,,47.301,2.9292,2.5781,41.9254,11830375385.75,83620974.0,,,,,,
1568822400000,12326810,8.6883,8.7082,8.4997,8.6585,0.0696,0.81,1.19,106795783.0,,,47.6838,2.9529,2.599,42.2646,11926112527.6,85230300.0,,,,,,
1568908800000,11338057,8.6585,8.6982,8.4103,8.5493,-0.1091,-1.26,1.1,97434518.0,,,47.0823,2.9157,2.5662,41.7315,11775668447.55,84206101.0,,,,,,
1569168000000,6448935,8.5195,8.5195,8.3309,8.4004,-0.1488,-1.74,0.62,54503327.0,,,46.262,2.8649,2.5215,41.0045,11570517429.3,81350773.0,,,,,,
1569254400000,6846607,8.3606,8.4897,8.3408,8.3904,-0.0101,-0.12,0.66,58025499.0,,,46.2073,2.8615,2.5185,40.956,11556840694.75,82917352.0,,,,,,
1569340800000,12110475,8.3408,8.3606,7.9436,8.0628,-0.3281,-3.91,1.17,98664085.0,,,44.4028,2.7497,2.4201,39.3565,11105508454.6,74995961.0,,,,,,
1569427200000,9842732,8.0429,8.1422,7.6457,7.6656,-0.3975,-4.93,0.95,77918056.0,,,42.2155,2.6143,2.3009,37.4178,10558439072.6,77038462.0,,,,,,
1569513600000,16797698,7.6755,8.4202,7.6755,8.2911,0.6255,8.16,1.63,138026235.0,,,45.6605,2.8276,2.4887,40.4713,11420073349.25,76460971.0,,,,,,
1569772800000,7476177,8.3209,8.4202,8.1025,8.162,-0.1293,-1.56,0.72,61732407.0,,,40.7712,2.7407,2.3461,73.3617,11242275800.1,75767592.0,,,,,,
1570464000000,8734560,8.1521,8.2216,7.8046,7.884,-0.2783,-3.41,0.85,70211078.0,,,39.3824,2.6473,2.2662,70.8628,10859327232.7,85293197.0,,,,,,
1570550400000,4886833,7.884,7.9932,7.7549,7.9237,0.0394,0.5,0.47,38982170.0,,,39.5808,2.6607,2.2776,71.2197,10914034170.9,91352902.0,,,,,,
1570636800000,4122884,7.9436,8.0429,7.8642,8.023,0.099,1.25,0.4,33175787.0,,,40.0768,2.694,2.3062,72.1122,11050801516.4,93567042.0,,,,,,
1570723200000,10227282,8.033,8.3309,7.9039,8.2415,0.2182,2.72,0.99,83836861.0,,,41.168,2.7674,2.369,74.0757,11351689676.5,93643261.0,,,,,,
1570982400000,9364169,8.2316,8.3507,8.1422,8.2514,0.0099,0.12,0.91,77715491.0,,,41.2176,2.7707,2.3718,74.1649,11365366411.05,100231143.0,,,,,,
1571068800000,5621297,8.2514,8.2514,8.033,8.0528,-0.1989,-2.41,0.54,45843372.0,,,40.2256,2.704,2.3147,72.38,11091831720.05,105461035.0,,,,,,
1571155200000,5516648,8.1124,8.1422,7.9039,7.9138,-0.1393,-1.73,0.53,44473607.0,,,39.5312,2.6573,2.2748,71.1305,10900357436.35,107087413.0,,,,,,
1571241600000,3475461,7.9138,8.0131,7.884,7.9833,0.0696,0.88,0.34,27833678.0,,,39.8784,2.6807,2.2947,71.7552,10996094578.2,108975560.0,,,,,,
1571328000000,6414982,7.9833,8.0032,7.6755,7.7252,-0.2579,-3.23,0.62,50558745.0,,,38.5888,2.594,2.2205,69.4348,10640499479.9,105495817.0,,,,,,
1571587200000,4762624,7.7252,7.894,7.7252,7.8145,0.0896,1.16,0.46,37498070.0,,,39.0352,2.624,2.2462,70.238,10763590090.85,107409250.0,,,,,,
1571673600000,4830851,7.7847,7.9932,7.7847,7.9833,0.1688,2.16,0.47,38625266.0,,,39.8784,2.6807,2.2947,71.7552,10996094578.2,106252307.0,,,,,,
1571760000000,3569355,7.9436,8.0032,7.8344,7.8741,-0.1094,-1.37,0.35,28500881.0,,,39.3328,2.644,2.2633,70.7735,10845650498.15,109203174.0,,,,,,
1571846400000,6656043,7.9635,7.9635,7.6259,7.7549,-0.1189,-1.51,0.64,51907069.0,,,38.7376,2.604,2.2291,69.7025,10681529683.55,102647562.0,,,,,,
1571932800000,4602400,7.7649,7.8244,7.6259,7.7947,0.0396,0.51,0.45,35850385.0,,,38.936,2.6173,2.2405,70.0595,10736236621.75,103408383.0,,,,,,
