timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,75355974,3.5,3.51,3.39,3.4,-0.08,-2.3,1.11,259183342.0,,,-26.9811,2.27,23.8907,12.3708,23175475658.0,2013041279.0,36317125,0.53,1189000,,,
1565539200000,78939543,3.44,3.49,3.42,3.49,0.09,2.65,1.16,273401443.0,,,-27.6953,2.3301,24.5231,12.6982,23788944131.3,2021926257.0,35652075,0.52,-665050,,,
1565625600000,57771070,3.44,3.46,3.4,3.45,-0.04,-1.15,0.85,198344951.0,,,-27.3779,2.3034,24.242,12.5527,23516291476.5,1993905306.0,35745175,0.52,93100,,,
1565712000000,60906023,3.5,3.52,3.45,3.45,0.0,0.0,0.89,211741355.0,,,-27.3779,2.3034,24.242,12.5527,23516291476.5,1986435684.0,36867670,0.54,1122495,,,
1565798400000,69111305,3.37,3.47,3.33,3.46,0.01,0.29,1.01,235678811.0,,,-27.4572,2.31,24.3123,12.5891,23584454640.2,1994894255.0,35765175,0.52,-1102495,,,
1565884800000,69373433,3.45,3.52,3.43,3.47,0.01,0.29,1.02,241637356.0,,,-27.5366,2.3167,24.3825,12.6255,23652617803.9,1984143855.0,36671693,0.53,906518,,,
1566144000000,200946327,3.51,3.66,3.47,3.66,0.19,5.48,2.95,721062576.0,,,-29.0443,2.4436,25.7176,13.3168,24947717914.2,2035546710.0,44386473,0.65,7714780,,,
1566230400000,121202428,3.64,3.68,3.6,3.61,-0.05,-1.37,1.78,440444997.0,,,-28.6476,2.4102,25.3663,13.1349,24606902095.7,2014730641.0,44436983,0.65,50510,,,
1566316800000,81222697,3.62,3.63,3.55,3.57,-0.04,-1.11,1.19,290794659.0,,,-28.3301,2.3835,25.0852,12.9893,24334249440.9,2006690666.0,40787026,0.59,-3649957,,,
1566403200000,54680139,3.59,3.59,3.53,3.57,0.0,0.0,0.8,194562996.0,,,-28.3301,2.3835,25.0852,12.9893,24334249440.9,2009155957.0,40549521,0.59,-237505,,,
1566489600000,58256607,3.55,3.59,3.54,3.55,-0.02,-0.56,0.85,207440259.0,,,-28.1714,2.3701,24.9447,12.9165,24197923113.5,1985459161.0,39122221,0.57,-1427300,,,
1566748800000,73581199,3.48,3.52,3.46,3.48,-0.07,-1.97,1.08,256318122.0,,,-27.6159,2.3234,24.4528,12.6619,23720780967.6,1965875897.0,40076721,0.58,954500,,,
1566835200000,99268082,3.5,3.6,3.49,3.52,0.04,1.15,1.46,351853621.0,,,-27.9333,2.3501,24.7339,12.8074,23993433622.4,1952260969.0,39262811,0.57,-813910,,,
1566921600000,70565073,3.51,3.52,3.45,3.47,-0.05,-1.42,1.04,245499033.0,,,-27.5366,2.3167,24.3825,12.6255,23652617803.9,1920195326.0,38563896,0.56,-698915,,,
1567008000000,44999548,3.48,3.49,3.44,3.46,-0.01,-0.29,0.66,155838764.0,,,-27.4572,2.31,24.3123,12.5891,23584454640.2,1916154104.0,37805486,0.55,-758410,,,
1567094400000,60348082,3.48,3.52,3.42,3.44,-0.02,-0.58,0.89,209211786.0,,,-27.2985,2.2967,24.1717,12.5163,23448128312.8,1892591416.0,36813366,0.54,-992120,,,
1567353600000,79290410,3.45,3.52,3.44,3.5,0.06,1.74,1.16,276431849.0,,,-27.7746,2.3368,24.5933,12.7346,23857107295.0,1888249699.0,39216236,0.57,2402870,,,
1567440000000,69149836,3.5,3.52,3.47,3.51,0.01,0.29,1.01,241474018.0,,,-27.854,2.3434,24.6636,12.771,23925270458.7,1897032946.0,38190426,0.56,-1025810,,,
1567526400000,130112109,3.49,3.59,3.48,3.57,0.06,1.71,1.91,461569391.0,,,-28.3301,2.3835,25.0852,12.9893,24334249440.9,1870020623.0,40933298,0.6,2742872,,,
1567612800000,312604888,3.64,3.82,3.61,3.65,0.08,2.24,4.59,1155918732.0,,,-28.965,2.4369,25.6473,13.2804,24879554750.5,1971469123.0,42616631,0.62,1683333,,,
1567699200000,143428030,3.68,3.7,3.6,3.67,0.02,0.55,2.1,522563059.0,,,-29.1237,2.4503,25.7879,13.3532,25015881077.9,1960322284.0,41237876,0.6,-1378755,,,
1567958400000,191582170,3.73,3.76,3.66,3.72,0.05,1.36,2.81,710117946.0,,,-29.5205,2.4836,26.1392,13.5351,25356696896.4,1969011906.0,39402796,0.57,-1835080,,,
1568044800000,145246976,3.72,3.77,3.65,3.73,0.01,0.27,2.13,538760960.0,,,-29.5998,2.4903,26.2095,13.5715,25424860060.1,1957656110.0,41982096,0.61,2579300,,,
1568131200000,213786801,3.75,3.82,3.71,3.75,0.02,0.54,3.14,804790361.0,,,-29.7585,2.5037,26.35,13.6442,25561186387.5,2010852648.0,47976159,0.7,5994063,,,
1568217600000,188344449,3.76,3.81,3.68,3.8,0.05,1.33,2.76,705480324.0,,,-30.1553,2.537,26.7013,13.8262,25902002206.0,2002669478.0,38239269,0.56,-9736890,,,
1568563200000,154199981,3.77,3.83,3.72,3.74,-0.06,-1.58,2.26,580712693.0,,,-29.6792,2.497,26.2797,13.6079,25493023223.8,1992425818.0,34394710,0.5,-3844559,,,
1568649600000,139034116,3.71,3.72,3.6,3.62,-0.12,-3.21,2.04,508977335.0,,,-28.7269,2.4169,25.4365,13.1712,24675065259.4,1985258981.0,34795371,0.51,400661,,,
1568736000000,65613199,3.62,3.64,3.6,3.62,0.0,0.0,0.96,237687300.0,,,-28.7269,2.4169,25.4365,13.1712,24675065259.4,1973675249.0,33971771,0.49,-823600,,,
1568822400000,81118215,3.63,3.66,3.6,3.65,0.03,0.83,1.19,294332673.0,,,-28.965,2.4369,25.6473,13.2804,24879554750.5,1965446063.0,34731571,0.5,759800,,,
1568908800000,84981199,3.63,3.65,3.58,3.62,-0.03,-0.82,1.25,307261570.0,,,-28.7269,2.4169,25.4365,13.1712,24675065259.4,1958157733.0,40832020,0.59,6100449,,,
1569168000000,74979375,3.58,3.59,3.53,3.56,-0.06,-1.66,1.1,266578984.0,,,-28.2508,2.3768,25.0149,12.9529,24266086277.2,1966939809.0,40920520,0.6,88500,,,
1569254400000,74872942,3.57,3.6,3.53,3.56,0.0,0.0,1.1,267031246.0,,,-28.2508,2.3768,25.0149,12.9529,24266086277.2,1963638809.0,43115420,0.63,2194900,,,
1569340800000,80646557,3.55,3.56,3.48,3.48,-0.08,-2.25,1.18,283256372.0,,,-27.6159,2.3234,24.4528,12.6619,23720780967.6,1946544327.0,41976520,0.61,-1138900,,,
1569427200000,77686242,3.49,3.52,3.41,3.43,-0.05,-1.44,1.14,269402703.0,,,-27.2191,2.29,24.1015,12.4799,23379965149.1,1917528068.0,40300372,0.59,-1676148,,,
1569513600000,49738394,3.43,3.46,3.42,3.45,0.02,0.58,0.73,171416724.0,,,-27.3779,2.3034,24.242,12.5527,23516291476.5,1901911698.0,38300372,0.56,-2000000,,,
1569772800000,52550922,3.45,3.47,3.41,3.42,-0.03,-0.87,0.77,180422916.0,,,-31.3112,2.2773,20.3362,9.6275,23311801985.4,1887574650.0,37436765,0.54,-863607,,,
1570464000000,45515186,3.41,3.45,3.4,3.41,-0.01,-0.29,0.67,155980099.0,,,-31.2196,2.2706,20.2767,9.5993,23243638821.7,1892358765.0,39622733,0.58,2185968,,,
1570550400000,49159558,3.4,3.47,3.38,3.45,0.04,1.17,0.72,168543814.0,,,-31.5858,2.2972,20.5145,9.7119,23516291476.5,1894246269.0,37534430,0.55,-2088303,,,
1570636800000,45793581,3.45,3.48,3.44,3.47,0.02,0.58,0.67,158563605.0,,,-31.769,2.3106,20.6335,9.7682,23652617803.9,1888352970.0,37406684,0.54,-127746,,,
1570723200000,82785227,3.46,3.54,3.44,3.5,0.03,0.86,1.21,289107625.0,,,-32.0436,2.3305,20.8119,9.8527,23857107295.0,1896900599.0,38584087,0.56,1177403,,,
1570982400000,108203614,3.55,3.6,3.51,3.54,0.04,1.14,1.59,384748549.0,,,-32.4098,2.3572,21.0497,9.9653,24129759949.8,1887923601.0,40343587,0.59,1759500,,,
1571068800000,58362944,3.53,3.53,3.49,3.5,-0.04,-1.13,0.86,204727124.0,,,-32.0436,2.3305,20.8119,9.8527,23857107295.0,1896468158.0,39152303,0.57,-1191284,,,
1571155200000,72301158,3.49,3.53,3.43,3.44,-0.06,-1.71,1.06,251444870.0,,,-31.4943,2.2906,20.4551,9.6838,23448128312.8,1882302677.0,39894403,0.58,742100,,,
1571241600000,42272088,3.43,3.46,3.41,3.42,-0.02,-0.58,0.62,145060795.0,,,-31.3112,2.2773,20.3362,9.6275,23311801985.4,1873744622.0,38540303,0.56,-1354100,,,
1571328000000,54014155,3.43,3.44,3.36,3.37,-0.05,-1.46,0.79,183425028.0,,,-30.8534,2.244,20.0388,9.4867,22970986166.9,1856994319.0,37255133,0.54,-1285170,,,
1571587200000,44512177,3.36,3.37,3.32,3.36,-0.01,-0.3,0.65,148841385.0,,,-30.7619,2.2373,19.9794,9.4586,22902823003.2,1846648529.0,39187733,0.57,1932600,,,
1571673600000,33141233,3.36,3.38,3.35,3.38,0.02,0.6,0.49,111576822.0,,,-30.945,2.2506,20.0983,9.5149,23039149330.6,1850607458.0,39545506,0.58,357773,,,
1571760000000,29937640,3.38,3.39,3.35,3.36,-0.02,-0.59,0.44,100732859.0,,,-30.7619,2.2373,19.9794,9.4586,22902823003.2,1844929843.0,39388004,0.57,-157502,,,
1571846400000,41652743,3.36,3.4,3.34,3.38,0.02,0.6,0.61,140377450.0,,,-30.945,2.2506,20.0983,9.5149,23039149330.6,1843212467.0,40538950,0.59,1150946,,,
1571932800000,53153717,3.37,3.42,3.34,3.41,0.03,0.89,0.78,180102768.0,,,-31.2196,2.2706,20.2767,9.5993,23243638821.7,1853254859.0,40189450,0.58,-349500,,,
1572192000000,68147777,3.39,3.46,3.39,3.44,0.03,0.88,1.0,233331045.0,,,-31.4943,2.2906,20.4551,9.6838,23448128312.8,1852931982.0,41000550,0.6,811100,,,
1572278400000,55288238,3.43,3.44,3.36,3.38,-0.06,-1.74,0.81,187562928.0,,,-30.945,2.2506,20.0983,9.5149,23039149330.6,1837230039.0,41275244,0.6,274694,,,
