timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,116227986,5.3937,5.4134,5.2158,5.2257,-0.1583,-2.94,0.55,622731831.0,,,36.3813,1.1612,0.5727,1.908,164206719064.23,3748016852.0,569259355,2.68,3599188,,,
1565539200000,83953931,5.2356,5.3541,5.2257,5.3443,0.1186,2.27,0.4,449285652.0,,,37.2065,1.1875,0.5857,1.9513,167931635186.67,3735191025.0,572239079,2.69,2979724,,,
1565625600000,77701462,5.2949,5.3739,5.2554,5.3443,0.0,0.0,0.37,419089316.0,,,37.2065,1.1875,0.5857,1.9513,167931635186.67,3740350401.0,574729474,2.71,2490395,,,
1565712000000,65414729,5.4035,5.4529,5.3245,5.3541,0.0096,0.18,0.31,356641930.0,,,37.2753,1.1897,0.5868,1.9549,168242044863.54,3746771033.0,568714401,2.68,-6015073,,,
1565798400000,287893244,5.2652,5.6999,5.2356,5.6703,0.3159,5.9,1.36,1608181769.0,,,39.4761,1.26,0.6214,2.0703,178175154523.38,3771276548.0,553980167,2.61,-14734234,,,
1565884800000,155491845,5.611,5.6406,5.5517,5.5616,-0.1089,-1.92,0.73,880770496.0,,,38.7196,1.2358,0.6095,2.0306,174760648077.81,3770414346.0,550903991,2.59,-3076176,,,
1566144000000,171930591,5.532,5.7098,5.532,5.69,0.1285,2.31,0.81,981293889.0,,,39.6136,1.2644,0.6236,2.0775,178795973877.12,3713642691.0,558015428,2.63,7111437,,,
1566230400000,321915038,5.8184,6.0358,5.7888,5.9073,0.2174,3.82,1.52,1935427581.0,,,41.1266,1.3127,0.6474,2.1568,185624986768.26,3749681750.7,559655119,2.64,1639691,,,
1566316800000,311954467,5.8382,6.1543,5.8382,6.0753,0.1678,2.84,1.47,1908248553.0,,,42.2958,1.35,0.6658,2.2182,190901951275.05,3732947229.75,561091351,2.64,1436232,,,
1566403200000,144131831,6.0852,6.1543,5.9864,6.0753,0.0,0.0,0.68,883794091.0,,,42.2958,1.35,0.6658,2.2182,190901951275.05,3753014104.0,568259904,2.68,7168553,,,
1566489600000,114730988,6.0654,6.0753,5.937,5.9765,-0.099,-1.63,0.54,695507036.0,,,41.6081,1.328,0.655,2.1821,187797854506.35,3741286501.0,562476799,2.65,-5783105,,,
1566748800000,139594910,5.8777,5.9666,5.7987,5.8975,-0.0789,-1.32,0.66,829795982.0,,,41.0579,1.3105,0.6463,2.1532,185314577091.39,3794165019.0,562148674,2.65,-328125,,,
1566835200000,172645900,5.9469,6.0061,5.8975,5.9666,0.069,1.17,0.81,1039664893.0,,,41.5393,1.3258,0.6539,2.1785,187487444829.48,3790371719.0,573790154,2.7,11641480,,,
1566921600000,94527345,5.9567,5.9567,5.8283,5.8579,-0.1086,-1.82,0.45,562029852.0,,,40.7828,1.3017,0.642,2.1388,184072938383.91,3777120468.0,579982495,2.73,6192341,,,
1567008000000,71948145,5.8678,5.937,5.8382,5.8777,0.0199,0.34,0.34,428112933.0,,,40.9203,1.3061,0.6441,2.146,184693757737.65,3786251301.0,581631134,2.74,1648639,,,
1567094400000,102659227,5.9172,5.9469,5.7394,5.7789,-0.0987,-1.68,0.48,606580949.0,,,40.2326,1.2841,0.6333,2.1099,181589660968.95,3789552588.0,586270945,2.76,4639811,,,
1567353600000,101391047,5.7789,5.9172,5.769,5.8777,0.0988,1.71,0.48,601207862.0,,,40.9203,1.3061,0.6441,2.146,184693757737.65,3719048281.0,593037967,2.79,6767022,,,
1567440000000,101943901,5.8876,5.9567,5.8678,5.9172,0.0394,0.67,0.48,610356961.0,,,41.1954,1.3149,0.6485,2.1604,185935396445.13,3774764176.0,594161121,2.8,1123154,,,
1567526400000,141029280,5.8876,6.016,5.8579,5.9962,0.0793,1.34,0.67,847913829.0,,,41.7456,1.3324,0.6571,2.1893,188418673860.09,3767929772.0,611827596,2.88,17666475,,,
1567612800000,205836655,6.0456,6.1049,5.937,5.9567,-0.0396,-0.66,0.97,1256662049.0,,,41.4705,1.3236,0.6528,2.1749,187177035152.61,3702362083.0,621393087,2.93,9565491,,,
1567699200000,255282639,5.9962,6.2037,5.9765,6.1148,0.1579,2.65,1.2,1577786487.0,,,42.5609,1.3584,0.67,2.2321,192098638202.53,3692659262.0,643016457,3.03,21623370,,,
1567958400000,255689671,6.1938,6.2531,6.1049,6.2531,0.1382,2.26,1.21,1599952881.0,,,43.5235,1.3892,0.6851,2.2825,196443356998.71,3746070202.0,641290185,3.02,-1726272,,,
