timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,2595517,23.3323,23.5218,22.5346,22.7141,-0.3787,-1.64,4.29,60016054.0,,,77.2467,4.0057,11.149,-242.1244,3903493210.9,,,,,,,
1565539200000,3110180,22.5047,23.5617,22.3452,23.5417,0.8268,3.64,5.14,71958110.0,,,80.0612,4.1516,11.5552,-250.9463,4045718819.55,,,,,,,
1565625600000,2639480,23.2326,23.5318,22.8637,23.113,-0.4285,-1.82,4.36,61210926.0,,,78.6031,4.076,11.3448,-246.3759,3972035672.9,,,,,,,
1565712000000,3302315,23.5118,23.8807,23.1828,23.2426,0.1294,0.56,5.45,78013899.0,,,79.0439,4.0989,11.4084,-247.7577,3994311973.05,,,,,,,
1565798400000,3033478,22.415,23.2326,22.1458,23.2127,-0.0302,-0.13,5.01,68831618.0,,,78.9422,4.0936,11.3937,-247.4388,3989171288.4,,,,,,,
1565884800000,3169848,23.103,23.8508,23.103,23.4919,0.2786,1.2,5.23,74682349.0,,,79.8916,4.1428,11.5307,-250.4149,4037151011.8,,,,,,,
1566144000000,6188814,23.7312,25.5559,23.7212,25.2767,1.7853,7.6,10.22,153922369.0,,,85.9615,4.4576,12.4068,-269.4405,4343878529.25,,,,,,,
1566230400000,6446662,25.5758,26.224,25.4263,26.1043,0.8266,3.27,10.64,166999938.0,,,88.776,4.6035,12.813,-278.2624,4486104137.9,,,,,,,
1566316800000,4360690,25.9248,26.0644,25.4462,25.7254,-0.3785,-1.45,7.2,112513852.0,,,87.4875,4.5367,12.627,-274.2234,4420988799.0,,,,,,,
1566403200000,5803125,25.9248,26.5729,25.506,25.7852,0.0592,0.23,9.58,150873768.0,,,87.6909,4.5473,12.6564,-274.8612,4431270168.3,,,,,,,
1566489600000,4085283,25.8251,25.8251,25.1271,25.2767,-0.508,-1.97,6.75,103963302.0,,,85.9615,4.4576,12.4068,-269.4405,4343878529.25,,,,,,,
1566748800000,3930256,24.5089,25.0174,24.3195,24.5787,-0.6976,-2.76,6.49,97317716.0,,,83.5878,4.3345,12.0642,-262.0003,4223929220.75,,,,,,,
1566835200000,6066175,24.8779,25.9946,24.8779,25.9148,1.337,5.44,10.02,156232774.0,,,88.1317,4.5701,12.72,-276.2429,4453546468.45,,,,,,,
1566921600000,5797155,25.9248,26.2638,25.4861,26.0744,0.1607,0.62,9.57,151014071.0,,,88.6743,4.5983,12.7983,-277.9435,4480963453.25,,,,,,,
1567008000000,4950623,26.1242,26.4234,25.526,25.6456,-0.4276,-1.64,8.17,128586506.0,,,87.2162,4.5226,12.5879,-273.3731,4407280306.6,,,,,,,
1567094400000,7723662,26.214,26.214,24.3394,24.4092,-1.2361,-4.82,12.75,193994287.0,,,83.0114,4.3046,11.981,-260.1934,4194798674.4,,,,,,,
1567353600000,6564280,24.7183,25.2767,24.2397,24.8479,0.4394,1.8,10.84,162985739.0,,,84.5034,4.382,12.1963,-264.8701,4270195382.6,,,,,,,
1567440000000,6815948,24.9975,25.9448,24.818,25.865,1.0163,4.09,11.25,174468694.0,,,87.9622,4.5613,12.6956,-275.7115,4444978660.7,,,,,,,
1567526400000,10387128,25.5758,27.0216,25.3565,26.7624,0.8975,3.47,17.15,272261468.0,,,91.0141,4.7196,13.136,-285.2774,4599199200.2,,,,,,,
1567612800000,8272687,27.251,27.4205,26.3037,26.7524,-0.0107,-0.04,13.66,222561583.0,,,90.9802,4.7178,13.1311,-285.1711,4597485638.65,,,,,,,
1567699200000,7195044,26.7624,27.919,26.7624,27.0615,0.3103,1.16,11.88,197095779.0,,,92.0314,4.7723,13.2829,-288.4661,4650606046.7,,,,,,,
1567958400000,10602357,27.4703,29.7637,27.1513,29.7637,2.7033,9.99,17.51,303783276.0,,,101.221,5.2489,14.6092,-317.2701,5114981226.75,,,,,,,
1568044800000,18330305,30.2922,32.745,30.2423,31.3192,1.5566,5.23,30.27,579486211.0,,,106.5109,5.5232,15.3727,-333.8511,5382296828.55,,,,,,,
1568131200000,10931080,31.8576,32.5556,30.701,31.6382,0.3195,1.02,18.05,346877308.0,,,107.596,5.5795,15.5293,-337.2523,5437130798.15,,,,,,,
1568217600000,8569919,31.2693,31.5086,30.0528,30.4417,-1.1959,-3.78,14.15,262729789.0,,,103.5268,5.3684,14.942,-324.4977,5231503412.15,,,,,,,
1568563200000,9179225,30.8106,32.0869,30.4118,30.6411,0.2009,0.66,15.16,286902939.0,,,104.205,5.4036,15.0399,-326.6235,5265774643.15,,,,,,,
1568649600000,7235640,31.0599,31.0898,29.295,29.9033,-0.7385,-2.41,11.95,218149351.0,,,101.6957,5.2735,14.6777,-318.7582,5138971088.45,,,,,,,
1568736000000,6578577,30.0628,30.0927,28.9261,29.0059,-0.8971,-3.0,10.86,193968718.0,,,98.6438,5.1152,14.2372,-309.1922,4984750548.95,,,,,,,
1568822400000,5557020,29.3648,29.7637,28.976,29.6041,0.5975,2.06,9.18,163878639.0,,,100.6784,5.2207,14.5309,-315.5695,5087564241.95,,,,,,,
1568908800000,5498412,29.305,29.7537,28.7466,28.9261,-0.6779,-2.29,9.08,160777583.0,,,98.3725,5.1012,14.1981,-308.3419,4971042056.55,,,,,,,
1569168000000,3785380,29.0258,29.0258,28.0387,28.7666,-0.1591,-0.55,6.25,108225596.0,,,97.83,5.073,14.1198,-306.6413,4943625071.75,,,,,,,
1569254400000,6406235,28.7466,29.7936,28.7466,29.2452,0.4775,1.66,10.58,189101835.0,,,99.4576,5.1574,14.3547,-311.7432,5025876026.15,,,,,,,
1569340800000,4217917,29.0358,29.2153,27.7196,28.0985,-1.1464,-3.92,6.96,120073259.0,,,95.558,4.9552,13.7919,-299.52,4828816447.9,,,,,,,
1569427200000,6298501,27.9888,28.3578,25.5359,25.9747,-2.1243,-7.56,10.4,168687141.0,,,88.3352,4.5807,12.7494,-276.8806,4463827837.75,,,,,,,
1569513600000,6186160,26.2937,27.7096,26.0245,27.2211,1.2468,4.8,10.21,167958257.0,,,92.5739,4.8005,13.3612,-290.1667,4678023031.5,,,,,,,
1569772800000,3814156,27.6299,27.6498,26.543,26.7026,-0.5172,-1.9,6.3,103597467.0,,,89.2557,4.5079,11.2293,-752.2473,4588917830.9,,,,,,,
1570464000000,3516331,26.9319,27.6698,26.3237,26.563,-0.1388,-0.52,5.81,95214242.0,,,88.7891,4.4843,11.1706,-748.3147,4564927969.2,,,,,,,
1570550400000,3308006,26.4732,27.251,26.0445,27.251,0.688,2.59,5.46,88505340.0,,,91.0888,4.6005,11.4599,-767.6968,4683163716.15,,,,,,,
1570636800000,6311790,27.2211,28.3578,26.9319,28.268,1.0165,3.73,10.42,175392289.0,,,94.4884,4.7721,11.8876,-796.3485,4857946994.25,,,,,,,
1570723200000,4984689,28.0885,28.268,27.5002,28.0686,-0.2007,-0.71,8.23,139325691.0,,,93.8218,4.7385,11.8037,-790.7305,4823675763.25,,,,,,,
1570982400000,5180971,28.4674,28.4974,27.8592,28.4774,0.4098,1.46,8.55,146680009.0,,,95.1883,4.8075,11.9757,-802.2473,4893931786.8,,,,,,,
1571068800000,5965711,27.919,27.919,26.4333,26.7225,-1.7542,-6.16,9.85,160953271.0,,,89.3224,4.5112,11.2377,-752.8091,4592344954.0,,,,,,,
1571155200000,3005665,26.7325,27.1014,26.3237,26.5331,-0.1897,-0.71,4.96,80473778.0,,,88.6891,4.4793,11.158,-747.472,4559787284.55,,,,,,,
1571241600000,2514873,26.4134,26.8621,26.224,26.4333,-0.1008,-0.38,4.15,66909624.0,,,88.3558,4.4624,11.1161,-744.6631,4542651669.05,,,,,,,
1571328000000,3310563,26.6627,26.6826,25.6057,25.6656,-0.7665,-2.9,5.47,86727461.0,,,85.7895,4.3328,10.7932,-723.0338,4410707429.7,,,,,,,
1571587200000,3077492,25.6955,25.6955,24.5189,25.2368,-0.4286,-1.67,5.08,77236358.0,,,84.3563,4.2604,10.6129,-710.9552,4337024283.05,,,,,,,
1571673600000,2322261,25.4761,25.875,25.3266,25.6755,0.4391,1.74,3.83,59666323.0,,,85.8228,4.3345,10.7974,-723.3147,4412420991.25,,,,,,,
1571760000000,3847660,25.7254,26.4333,25.4362,25.845,0.1695,0.66,6.35,100559839.0,,,86.3894,4.3631,10.8687,-728.09,4441551537.6,,,,,,,
1571846400000,2525800,26.0046,26.1342,25.506,25.8052,-0.0388,-0.15,4.17,65400677.0,,,86.2561,4.3564,10.8519,-726.9664,4434697291.4,,,,,,,
1571932800000,2452631,25.9248,26.0245,25.2568,25.9348,0.129,0.5,4.05,63180935.0,,,86.6894,4.3783,10.9064,-730.6181,4456973591.55,,,,,,,
1572192000000,4195040,25.8151,26.8721,25.8151,26.8322,0.8973,3.46,6.93,111235248.0,,,89.689,4.5298,11.2838,-755.899,4611194131.05,,,,,,,
1572278400000,6051752,26.1342,26.3635,24.818,24.828,-2.0044,-7.47,9.99,154550007.0,,,82.9898,4.1914,10.441,-699.4383,4266768259.5,,,,,,,
1572364800000,2523590,24.5089,25.4163,24.4292,24.9676,0.139,0.56,4.17,63199726.0,,,83.4564,4.215,10.4997,-703.3709,4290758121.2,,,,,,,
1572451200000,1871873,24.9177,25.2767,24.6286,24.6685,-0.2996,-1.2,3.09,46758011.0,,,82.4566,4.1645,10.3739,-694.9439,4239351274.7,,,,,,,
1572537600000,1734720,24.4391,25.0374,24.4391,24.9875,0.3182,1.29,2.86,43236264.0,,,83.5231,4.2183,10.508,-703.9327,4294185244.3,,,,,,,
1572796800000,2013900,25.3066,25.3066,24.6984,24.7183,-0.2699,-1.08,3.33,50366461.0,,,82.6232,4.1729,10.3948,-696.3484,4247919082.45,,,,,,,
1572883200000,1722893,24.7183,24.8878,24.4491,24.4591,-0.2595,-1.05,2.84,42521754.0,,,81.7567,4.1291,10.2858,-689.0451,4203366482.15,,,,,,,
1572969600000,2399569,24.489,25.0174,24.2497,24.7881,0.3302,1.35,3.96,59408016.0,,,83.824,4.0532,10.5459,-706.4684,4309653901.3,,,,,,,
1573056000000,3204769,24.7781,25.6157,24.5388,25.3964,0.6073,2.45,5.29,81269023.0,,,85.8808,4.1527,10.8047,-723.8033,4415401643.85,,,,,,,
1573142400000,3124593,25.4163,25.6656,25.187,25.3864,-0.0102,-0.04,5.16,79761012.0,,,85.8471,4.1511,10.8004,-723.5192,4413668074.3,,,,,,,
