timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,3638900,8.3831,8.393,8.1046,8.1842,-0.1297,-1.56,2.89,30010402.0,,,51.0107,3.4579,3.8373,12.1964,4296060000.0,,,,,,,
1565539200000,6709008,8.2438,8.8305,8.1543,8.6516,0.4673,5.71,5.33,57691894.0,,,53.9239,3.6554,4.0564,12.893,4541400000.0,,,,,,,
1565625600000,4196678,8.5819,8.6317,8.4029,8.6118,-0.0398,-0.46,3.33,35980341.0,,,53.6759,3.6386,4.0378,12.8337,4520520000.0,,,,,,,
1565712000000,5668742,8.6615,8.8703,8.4825,8.6018,-0.0103,-0.12,4.5,49565452.0,,,53.614,3.6344,4.0331,12.8189,4515300000.0,,,,,,,
1565798400000,2967200,8.3632,8.572,8.2737,8.5422,-0.0594,-0.69,2.36,25112084.0,,,53.2421,3.6092,4.0051,12.7299,4483980000.0,,,,,,,
1565884800000,2834600,8.5422,8.6814,8.4129,8.4626,-0.0794,-0.93,2.25,24293096.0,,,52.7462,3.5755,3.9678,12.6114,4442220000.0,,,,,,,
1566144000000,5765700,8.4726,8.8305,8.3234,8.6913,0.2285,2.7,4.58,49412037.0,,,54.1718,3.6722,4.0751,12.9522,4562280000.0,,,,,,,
1566230400000,4392948,8.5919,8.5919,8.4228,8.4527,-0.239,-2.75,3.49,37553873.0,,,52.6842,3.5713,3.9632,12.5966,4437000000.0,,,,,,,
1566316800000,2273955,8.4029,8.4427,8.2936,8.3333,-0.1192,-1.41,1.81,19111555.0,,,51.9405,3.5209,3.9072,12.4187,4374360000.0,,,,,,,
1566403200000,1927142,8.3433,8.4427,8.3134,8.4427,0.1092,1.31,1.53,16234912.0,,,52.6223,3.5671,3.9585,12.5818,4431780000.0,,,,,,,
1566489600000,2945855,8.4228,8.6416,8.2041,8.2041,-0.2389,-2.83,2.34,24844413.0,,,51.1347,3.4663,3.8466,12.2261,4306500000.0,,,,,,,
1566748800000,2442342,8.0549,8.0549,7.866,7.9157,-0.2888,-3.52,1.94,19506445.0,,,49.3372,3.3445,3.7114,11.7963,4155120000.0,,,,,,,
1566835200000,2310842,8.0052,8.1842,7.9356,8.0947,0.1789,2.26,1.83,18783180.0,,,50.4529,3.4201,3.7953,12.0631,4249080000.0,,,,,,,
1566921600000,1437342,8.0947,8.1344,8.0151,8.0549,-0.0397,-0.49,1.14,11649657.0,,,50.205,3.4033,3.7767,12.0038,4228200000.0,,,,,,,
1567008000000,1250900,8.035,8.0947,7.9753,7.9753,-0.0797,-0.99,0.99,10091461.0,,,49.7091,3.3697,3.7394,11.8852,4186440000.0,,,,,,,
1567094400000,2173100,8.0052,8.1046,7.7765,7.7864,-0.189,-2.37,1.73,17345479.0,,,48.5315,3.2898,3.6508,11.6037,4087260000.0,,,,,,,
1567353600000,1641100,7.7864,8.0549,7.7864,8.0449,0.2585,3.32,1.3,13160229.0,,,50.143,3.3991,3.772,11.989,4222980000.0,,,,,,,
1567440000000,1248948,7.9952,8.0847,7.9554,8.0052,-0.0394,-0.49,0.99,10051476.0,,,49.8951,3.3823,3.7533,11.9297,4202100000.0,,,,,,,
1567526400000,1377085,8.0847,8.0947,7.9554,8.035,0.0296,0.37,1.09,11093813.0,,,50.081,3.3949,3.7673,11.9742,4217760000.0,,,,,,,
1567612800000,1917878,8.0847,8.1444,8.0251,8.0847,0.0498,0.62,1.52,15587495.0,,,50.3909,3.4159,3.7906,12.0483,4243860000.0,,,,,,,
