timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1564416000000,9985081,8.58,8.58,8.26,8.28,-0.24,-2.82,4.99,83414840.0,,,44.6228,3.8583,7.7099,87.2333,2535603758.64,,,,,,,
1564502400000,5889359,8.1,8.25,8.1,8.15,-0.13,-1.57,2.94,48014633.0,,,43.9222,3.7977,7.5888,85.8637,2495793554.7,,,,,,,
1564588800000,4899320,8.15,8.32,8.11,8.16,0.01,0.12,2.45,40289362.0,,,43.9761,3.8024,7.5981,85.969,2498855878.08,,,,,,,
1564675200000,5659603,7.98,8.22,7.82,8.17,0.01,0.12,2.83,45510857.0,,,44.03,3.807,7.6074,86.0744,2501918201.46,,,,,,,
1564934400000,4071400,8.26,8.28,8.03,8.05,-0.12,-1.47,2.03,33146180.0,,,43.3833,3.7511,7.4957,84.8101,2465170320.9,,,,,,,
1565020800000,7364800,7.75,8.22,7.71,8.19,0.14,1.74,3.68,59027393.0,,,44.1378,3.8163,7.6261,86.2851,2508042848.22,,,,,,,
1565107200000,6541200,8.25,8.29,7.85,7.9,-0.29,-3.54,3.27,52317859.0,,,42.5749,3.6812,7.356,83.2298,2419235470.2,,,,,,,
1565193600000,8243400,8.0,8.28,7.93,8.22,0.32,4.05,4.12,67326993.0,,,44.2995,3.8303,7.654,86.6011,2517229818.36,,,,,,,
1565280000000,6512500,8.21,8.21,7.88,7.95,-0.27,-3.28,3.25,52259338.0,,,42.8444,3.7045,7.4026,83.7566,2434547087.1,,,,,,,
1565539200000,3972821,7.97,8.13,7.82,8.09,0.14,1.76,1.98,31654364.0,,,43.5989,3.7697,7.533,85.2315,2477419614.42,,,,,,,
1565625600000,5529933,8.02,8.25,7.86,8.14,0.05,0.62,2.76,44514268.0,,,43.8683,3.793,7.5795,85.7583,2492731231.32,,,,,,,
1565712000000,11608099,8.18,8.49,8.12,8.43,0.29,3.56,5.8,95924695.0,,,45.4312,3.9282,7.8495,88.8136,2581538609.34,,,,,,,
1565798400000,9937980,8.17,8.5,8.11,8.33,-0.1,-1.19,4.97,83111445.0,,,44.8923,3.8816,7.7564,87.76,2550915375.54,,,,,,,
1565884800000,8009599,8.35,8.43,8.18,8.38,0.05,0.6,4.0,66556999.0,,,45.1618,3.9049,7.803,88.2868,2566226992.44,,,,,,,
1566144000000,13808419,8.41,8.71,8.33,8.7,0.32,3.82,6.9,118131609.0,,,46.8863,4.054,8.1009,91.6581,2664221340.6,,,,,,,
1566230400000,8707424,8.6,8.76,8.53,8.58,-0.12,-1.38,4.35,75153476.0,,,46.2396,3.9981,7.9892,90.3939,2627473460.04,,,,,,,
1566316800000,6635421,8.51,8.58,8.36,8.44,-0.14,-1.63,3.32,55924739.0,,,45.4851,3.9328,7.8589,88.9189,2584600932.72,,,,,,,
