timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565193600000,3200,2.84,3.03,2.84,3.03,0.02,0.66,0.0,9315.0,,,7753.7735,12.5461,35.7253,199.3739,1103223000.0,,,,,,,
1565280000000,41800,3.05,3.05,2.86,2.92,-0.11,-3.63,0.05,123261.0,,,7481.4854,12.1056,34.4707,192.3725,1063172000.0,,,,,,,
1565539200000,182700,2.82,2.97,2.82,2.86,-0.06,-2.05,0.21,525464.0,,,7336.4414,11.8709,33.8024,188.643,1041326000.0,,,,,,,
1565625600000,102600,2.72,2.94,2.72,2.88,0.02,0.7,0.12,295309.0,,,7395.831,11.967,34.076,190.1701,1048608000.0,,,,,,,
1565712000000,6100,2.83,2.88,2.82,2.85,-0.03,-1.04,0.01,17296.0,,,7317.0765,11.8395,33.7132,188.145,1037685000.0,,,,,,,
1565798400000,10600,2.78,2.83,2.77,2.8,-0.05,-1.75,0.01,29759.0,,,7191.9956,11.6371,33.1369,184.9288,1019480000.0,,,,,,,
1565884800000,40300,2.87,2.88,2.82,2.87,0.07,2.5,0.05,114997.0,,,7373.7689,11.9313,33.9744,189.6028,1044967000.0,,,,,,,
1566144000000,130300,2.86,2.98,2.84,2.91,0.04,1.39,0.15,378066.0,,,7479.1236,12.1017,34.4598,192.3118,1059531000.0,,,,,,,
1566230400000,33400,2.93,2.94,2.85,2.92,0.01,0.34,0.04,96659.0,,,7513.1068,12.1567,34.6164,193.1856,1063172000.0,,,,,,,
1566316800000,118000,2.87,2.95,2.87,2.88,-0.04,-1.37,0.13,341416.0,,,7410.0225,11.9899,34.1414,190.535,1048608000.0,,,,,,,
1566403200000,47100,2.84,2.9,2.84,2.9,0.02,0.69,0.05,134989.0,,,7468.0445,12.0838,34.4088,192.0269,1055890000.0,,,,,,,
1566489600000,92400,2.9,2.9,2.84,2.89,-0.01,-0.34,0.1,265861.0,,,7455.2087,12.063,34.3496,191.6969,1052249000.0,,,,,,,
1566748800000,37600,2.81,2.85,2.8,2.82,-0.07,-2.42,0.04,105996.0,,,7269.7045,11.7629,33.4949,186.927,1026762000.0,,,,,,,
1566835200000,64618,2.85,2.88,2.8,2.86,0.04,1.42,0.07,182305.0,,,7395.4351,11.9663,34.0742,190.1599,1041326000.0,,,,,,,
1566921600000,279017,2.81,2.96,2.81,2.93,0.07,2.45,0.32,812322.0,,,7578.289,12.2622,34.9167,194.8616,1066813000.0,,,,,,,
1567008000000,102300,2.93,2.93,2.86,2.9,-0.03,-1.02,0.12,295307.0,,,7505.3481,12.1442,34.5806,192.9861,1055890000.0,,,,,,,
1567094400000,44200,2.9,2.91,2.86,2.89,-0.01,-0.34,0.05,127492.0,,,7479.0537,12.1016,34.4595,192.31,1052249000.0,,,,,,,
1567353600000,77200,2.89,3.0,2.85,2.96,0.07,2.42,0.09,226828.0,,,7666.3129,12.4046,35.3223,197.125,1077736000.0,,,,,,,
1567440000000,11500,2.96,2.97,2.91,2.97,0.01,0.34,0.01,33766.0,,,7689.745,12.4425,35.4302,197.7275,1081377000.0,,,,,,,
1567526400000,22200,2.97,3.0,2.96,3.0,0.03,1.01,0.03,66156.0,,,7765.1846,12.5646,35.7778,199.6673,1092300000.0,,,,,,,
1567612800000,112200,2.97,3.06,2.97,3.0,0.0,0.0,0.13,338815.0,,,7767.9349,12.569,35.7905,199.738,1092300000.0,,,,,,,
1567699200000,63200,2.99,3.02,2.95,2.95,-0.05,-1.67,0.07,187542.0,,,7640.3286,12.3626,35.2026,196.4569,1074095000.0,,,,,,,
1567958400000,97700,2.95,2.98,2.92,2.95,0.0,0.0,0.11,288359.0,,,7636.3565,12.3561,35.1843,196.3547,1074095000.0,,,,,,,
1568044800000,94600,2.95,2.97,2.93,2.93,-0.02,-0.68,0.11,278715.0,,,7586.4313,12.2754,34.9542,195.071,1066813000.0,,,,,,,
1568131200000,149500,2.94,2.98,2.91,2.96,0.03,1.02,0.17,440331.0,,,7661.3096,12.3965,35.2992,196.9964,1077736000.0,,,,,,,
1568217600000,109400,2.98,3.05,2.98,3.01,0.05,1.69,0.11,329273.0,,,7796.7599,12.6157,35.9233,200.4792,1095941000.0,,,,,,,
1568563200000,134100,2.97,3.06,2.96,3.01,0.0,0.0,0.15,402894.0,,,7785.4634,12.5974,35.8713,200.1887,1095941000.0,,,,,,,
1568649600000,33100,2.98,2.98,2.94,2.97,-0.04,-1.33,0.04,98075.0,,,7698.509,12.4567,35.4706,197.9529,1081377000.0,,,,,,,
1568736000000,10200,2.97,2.98,2.94,2.98,0.01,0.34,0.01,30285.0,,,7715.4657,12.4841,35.5487,198.3889,1085018000.0,,,,,,,
1568822400000,33200,2.98,3.01,2.95,3.01,0.03,1.01,0.04,99000.0,,,7789.4301,12.6038,35.8895,200.2907,1095941000.0,,,,,,,
1568908800000,98169,2.96,3.02,2.95,3.01,0.0,0.0,0.11,293047.0,,,7788.5678,12.6024,35.8856,200.2686,1095941000.0,,,,,,,
1569168000000,121700,2.95,2.96,2.81,2.95,-0.06,-1.99,0.14,351012.0,,,7628.0741,12.3427,35.1461,196.1418,1074095000.0,,,,,,,
1569254400000,39700,2.95,3.0,2.93,2.98,0.03,1.02,0.05,118507.0,,,7705.3916,12.4678,35.5023,198.1298,1085018000.0,,,,,,,
1569340800000,21100,2.89,2.95,2.88,2.95,-0.03,-1.01,0.02,61008.0,,,7624.271,12.3366,35.1286,196.044,1074095000.0,,,,,,,
1569427200000,38700,2.96,2.96,2.88,2.91,-0.04,-1.36,0.04,112615.0,,,7523.7255,12.1739,34.6653,193.4586,1059531000.0,,,,,,,
1569513600000,13700,2.91,2.91,2.86,2.91,0.0,0.0,0.02,39538.0,,,7520.8076,12.1692,34.6519,193.3836,1059531000.0,,,,,,,
1569772800000,1500,2.95,2.95,2.89,2.94,0.03,1.03,0.0,4406.0,,,-2833.6949,12.4766,37.9628,308.089,1070454000.0,,,,,,,
1570464000000,43600,2.82,2.96,2.82,2.86,-0.08,-2.72,0.05,125435.0,,,-2755.9764,12.1344,36.9216,299.6392,1041326000.0,,,,,,,
1570550400000,39600,2.87,2.92,2.85,2.87,0.01,0.35,0.04,114184.0,,,-2765.2447,12.1752,37.0458,300.6469,1044967000.0,,,,,,,
1570636800000,10600,2.83,2.9,2.83,2.9,0.03,1.05,0.01,30431.0,,,-2793.8708,12.3012,37.4293,303.7592,1055890000.0,,,,,,,
1570723200000,30900,2.8,2.9,2.8,2.87,-0.03,-1.03,0.04,87548.0,,,-2775.4336,12.2201,37.1823,301.7546,1048608000.0,,,,,,,
1570982400000,2400,2.88,2.92,2.88,2.92,0.04,1.39,0.0,6916.0,,,-2813.3884,12.3872,37.6908,305.8812,1063172000.0,,,,,,,
1571068800000,27000,2.82,2.88,2.81,2.85,-0.07,-2.4,0.03,76328.0,,,-2744.8783,12.0855,36.7729,298.4326,1037685000.0,,,,,,,
1571155200000,11600,2.81,2.86,2.81,2.86,0.01,0.35,0.01,32629.0,,,-2755.7319,12.1333,36.9183,299.6126,1041326000.0,,,,,,,
1571241600000,13100,2.86,2.89,2.79,2.89,0.03,1.05,0.01,37132.0,,,-2786.9543,12.2708,37.3366,303.0072,1052249000.0,,,,,,,
1571328000000,29400,2.8,2.83,2.8,2.83,-0.06,-2.08,0.03,82436.0,,,-2725.7067,12.0011,36.5161,296.3482,1030403000.0,,,,,,,
1571587200000,14600,2.8,2.82,2.78,2.81,-0.02,-0.71,0.02,40951.0,,,-2706.4438,11.9163,36.258,294.2538,1023121000.0,,,,,,,
1571673600000,13000,2.75,2.8,2.75,2.8,-0.01,-0.36,0.01,36001.0,,,-2696.0643,11.8706,36.119,293.1253,1019480000.0,,,,,,,
1571760000000,14000,2.75,2.83,2.75,2.83,0.03,1.07,0.02,39484.0,,,-2718.5763,11.9697,36.4206,295.5729,1026762000.0,,,,,,,
1571846400000,1200,2.82,2.82,2.77,2.82,0.0,0.0,0.0,3339.0,,,-2718.8174,11.9708,36.4238,295.5991,1026762000.0,,,,,,,
1571932800000,22700,2.83,2.85,2.83,2.83,0.01,0.35,0.03,64413.0,,,-2729.8799,12.0195,36.572,296.8019,1030403000.0,,,,,,,
1572192000000,67000,2.87,2.87,2.83,2.85,0.02,0.71,0.07,191103.0,,,-2749.2637,12.1048,36.8317,298.9094,1037685000.0,,,,,,,
1572364800000,4400,2.8,2.8,2.75,2.8,-0.05,-1.75,0.01,12285.0,,,-2693.7905,11.8606,36.0885,292.8781,1019480000.0,,,,,,,
1572451200000,43500,2.73,2.77,2.63,2.76,-0.04,-1.43,0.05,118485.0,,,-2654.305,11.6867,35.5595,288.5851,1004916000.0,,,,,,,
1572537600000,4700,2.76,2.76,2.69,2.76,0.0,0.0,0.01,12891.0,,,-2650.7365,11.671,35.5117,288.1971,1004916000.0,,,,,,,
1572796800000,500,2.77,2.77,2.77,2.77,0.01,0.36,0.0,1385.0,,,-2657.3511,11.7002,35.6003,288.9163,1008557000.0,,,,,,,
1572883200000,75200,2.77,2.84,2.77,2.8,0.03,1.08,0.09,211382.0,,,-2686.5201,11.8286,35.9911,292.0877,1019480000.0,,,,,,,
1572969600000,100,2.81,2.81,2.81,2.81,0.01,0.36,0.0,281.0,,,-2686.5364,11.8287,35.9913,292.0894,1023121000.0,,,,,,,
1573056000000,27099,2.75,2.81,2.73,2.81,0.0,0.0,0.03,74504.0,,,-2686.4764,11.8284,35.9905,292.0829,1023121000.0,,,,,,,
1573142400000,735599,2.75,3.09,2.66,3.02,0.21,7.47,0.84,2230514.0,,,-2885.0184,12.7026,38.6504,313.6691,1099582000.0,,,,,,,
1573401600000,308900,2.98,3.09,2.85,2.95,-0.07,-2.32,0.35,910701.0,,,-2815.783,12.3977,37.7228,306.1416,1074095000.0,,,,,,,
1573488000000,144601,2.94,3.01,2.94,2.99,0.04,1.36,0.16,430596.0,,,-2856.2954,12.5761,38.2656,310.5462,1088659000.0,,,,,,,
1573574400000,59800,2.98,2.98,2.92,2.95,-0.04,-1.34,0.07,176872.0,,,-2819.6917,12.4149,37.7752,306.5665,1074095000.0,,,,,,,
1573660800000,74001,2.95,2.95,2.9,2.93,-0.02,-0.68,0.08,216585.0,,,-2802.3284,12.3385,37.5426,304.6787,1066813000.0,,,,,,,
1573747200000,33000,2.89,2.91,2.88,2.88,-0.05,-1.71,0.04,95712.0,,,-2764.1023,12.1702,37.0305,300.5227,1052249000.0,,,,,,,
1574006400000,29401,2.88,2.97,2.87,2.94,0.05,1.73,0.03,85870.0,,,-2810.3533,12.3738,37.6501,305.5512,1070454000.0,,,,,,,
1574092800000,86500,2.9,2.95,2.86,2.94,0.0,0.0,0.1,249430.0,,,-2810.4476,12.3742,37.6514,305.5615,1070454000.0,,,,,,,
1574179200000,80300,2.88,3.0,2.88,2.96,0.02,0.68,0.09,236956.0,,,-2833.172,12.4743,37.9558,308.0322,1077736000.0,,,,,,,
1574265600000,39000,2.99,3.0,2.92,2.97,0.01,0.34,0.04,114969.0,,,-2847.2818,12.5364,38.1448,309.5662,1081377000.0,,,,,,,
1574352000000,46200,2.9,3.02,2.9,2.96,-0.01,-0.34,0.05,137552.0,,,-2842.3128,12.5145,38.0783,309.026,1077736000.0,,,,,,,
1574611200000,36500,2.99,2.99,2.94,2.96,0.0,0.0,0.03,108330.0,,,-2844.5584,12.5244,38.1083,309.2701,1077736000.0,,,,,,,
1574697600000,177100,2.93,2.98,2.9,2.98,0.02,0.68,0.19,519031.0,,,-2862.0589,12.6015,38.3428,311.1728,1085018000.0,,,,,,,
1574784000000,26300,2.98,2.98,2.95,2.95,-0.03,-1.01,0.03,78217.0,,,-2832.3321,12.4706,37.9445,307.9408,1074095000.0,,,,,,,
1574870400000,52800,2.94,2.96,2.94,2.95,0.0,0.0,0.06,155925.0,,,-2829.5266,12.4582,37.907,307.6358,1074095000.0,,,,,,,
1574956800000,33300,2.97,2.98,2.95,2.95,0.0,0.0,0.04,98391.0,,,-2830.756,12.4636,37.9234,307.7695,1074095000.0,,,,,,,
1575216000000,6800,2.86,2.97,2.86,2.94,-0.01,-0.34,0.01,20089.0,,,-2819.8722,12.4157,37.7776,306.5862,1070454000.0,,,,,,,
1575302400000,71800,2.9,2.9,2.87,2.9,-0.04,-1.36,0.08,207308.0,,,-2779.2135,12.2367,37.2329,302.1656,1055890000.0,,,,,,,
1575388800000,30400,2.86,2.92,2.83,2.91,0.01,0.34,0.03,87711.0,,,-2795.3269,12.3077,37.4488,303.9175,1059531000.0,,,,,,,
1575475200000,31100,2.9,2.93,2.89,2.93,0.02,0.69,0.04,90034.0,,,-2820.0803,12.4166,37.7804,306.6088,1066813000.0,,,,,,,
1575561600000,16100,2.93,2.94,2.89,2.92,-0.01,-0.34,0.02,46951.0,,,-2804.9328,12.3499,37.5775,304.9619,1063172000.0,,,,,,,
1575820800000,57300,2.86,2.88,2.81,2.88,-0.04,-1.37,0.07,162441.0,,,-2766.9707,12.1828,37.0689,300.8345,1048608000.0,,,,,,,
1575907200000,36100,2.78,2.92,2.78,2.89,0.01,0.35,0.04,104094.0,,,-2776.9797,12.2269,37.203,301.9227,1052249000.0,,,,,,,
1575993600000,15200,2.83,2.89,2.83,2.89,0.0,0.0,0.02,43244.0,,,-2777.3194,12.2284,37.2075,301.9597,1052249000.0,,,,,,,
1576080000000,45401,2.89,2.92,2.84,2.91,0.02,0.69,0.05,131298.0,,,-2797.348,12.3166,37.4759,304.1373,1059531000.0,,,,,,,
1576166400000,25500,2.95,2.95,2.86,2.91,0.0,0.0,0.03,73524.0,,,-2794.4251,12.3037,37.4367,303.8195,1059531000.0,,,,,,,
1576425600000,95617,2.95,2.98,2.85,2.93,0.02,0.69,0.11,279421.0,,,-2807.3691,12.3607,37.6101,305.2268,1066813000.0,,,,,,,
1576512000000,55000,2.88,2.95,2.86,2.93,0.0,0.0,0.06,159724.0,,,-2811.7836,12.3801,37.6693,305.7067,1066813000.0,,,,,,,
1576598400000,124700,2.93,2.95,2.91,2.94,0.01,0.34,0.14,365058.0,,,-2822.9195,12.4291,37.8184,306.9175,1070454000.0,,,,,,,
1576684800000,58800,2.91,2.93,2.88,2.93,-0.01,-0.34,0.06,171252.0,,,-2814.7579,12.3932,37.7091,306.0301,1066813000.0,,,,,,,
1576771200000,197300,2.9,3.0,2.86,2.97,0.04,1.37,0.22,587204.0,,,-2849.535,12.5463,38.175,309.8112,1081377000.0,,,,,,,
1577030400000,66600,2.98,2.99,2.92,2.92,-0.05,-1.68,0.06,197666.0,,,-2815.071,12.3946,37.7133,306.0642,1066813000.0,,,,,,,
1577116800000,249000,2.97,3.15,2.97,3.06,0.13,4.44,0.28,763560.0,,,-2944.9745,12.9665,39.4536,320.1877,1114146000.0,,,,,,,
