timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,4374848,15.6365,15.9461,15.337,15.357,-0.2196,-1.41,3.05,68576677.0,,,-131.6985,2.5681,3.8868,66550.6524,6152001538.0,,,,,,,
1565539200000,3264372,15.357,15.5567,15.2471,15.4568,0.0998,0.65,2.28,50302173.0,,,-132.5548,2.5848,3.9121,66983.3615,6192001548.0,,,,,,,
1565625600000,3219113,15.3869,15.4468,15.0674,15.3669,-0.0896,-0.58,2.25,49237029.0,,,-131.7841,2.5698,3.8894,66593.9233,6156001539.0,,,,,,,
1565712000000,5106464,16.016,16.016,15.5667,15.5667,0.1998,1.3,3.56,80553632.0,,,-133.4967,2.6032,3.9399,67459.3414,6236001559.0,,,,,,,
1565798400000,4815272,14.8777,15.5167,14.5881,15.4568,-0.1105,-0.71,3.36,72898510.0,,,-132.5548,2.5848,3.9121,66983.3615,6192001548.0,,,,,,,
1565884800000,3603800,15.3669,15.6266,15.2771,15.307,-0.1499,-0.97,2.51,55825117.0,,,-131.2703,2.5597,3.8742,66334.2979,6132001533.0,,,,,,,
1566144000000,4565211,15.39,15.74,15.25,15.73,0.42,2.74,3.19,70917015.0,,,-134.6955,2.6367,3.9753,68065.1341,6292001573.0,,,,,,,
1566230400000,5314753,15.86,16.04,15.77,15.94,0.21,1.34,3.71,84458934.0,,,-136.4937,2.6719,4.0284,68973.8231,6376001594.0,,,,,,,
1566316800000,3463048,15.8,15.95,15.66,15.73,-0.21,-1.32,2.42,54584771.0,,,-134.6955,2.6367,3.9753,68065.1341,6292001573.0,,,,,,,
1566403200000,7076553,15.77,16.55,15.66,16.05,0.32,2.03,4.94,113516826.0,,,-137.4357,2.6903,4.0562,69449.8031,6420001605.0,,,,,,,
1566489600000,4506040,15.9,16.04,15.65,15.85,-0.2,-1.25,3.14,71148711.0,,,-135.7231,2.6568,4.0056,68584.385,6340001585.0,,,,,,,
1566748800000,7348011,15.96,16.54,15.86,16.17,0.32,2.02,5.13,119264689.0,,,-138.4632,2.7104,4.0865,69969.0539,6468001617.0,,,,,,,
1566835200000,6862000,16.13,16.43,16.08,16.43,0.26,1.61,4.79,111653111.0,,,-140.6896,2.754,4.1522,71094.0975,6572001643.0,,,,,,,
1566921600000,4107760,16.42,16.48,16.19,16.29,-0.14,-0.85,2.87,66983769.0,,,-139.4908,2.7305,4.1168,70488.3048,6516001629.0,,,,,,,
1567008000000,6675900,16.15,16.18,15.69,15.69,-0.6,-3.68,4.66,106363169.0,,,-134.353,2.63,3.9652,67892.0505,6276001569.0,,,,,,,
1567094400000,7787280,15.8,15.88,15.04,15.17,-0.52,-3.31,5.43,119927351.0,,,-129.9003,2.5428,3.8338,65641.9634,6068001517.0,,,,,,,
1567353600000,4446261,15.07,15.51,15.01,15.46,0.29,1.91,3.1,67978067.0,,,-132.3835,2.5914,3.9071,66896.8196,6184001546.0,,,,,,,
1567440000000,4256001,15.41,15.52,15.14,15.39,-0.07,-0.45,2.97,65259684.0,,,-131.7841,2.5797,3.8894,66593.9233,6156001539.0,,,,,,,
1567526400000,4687060,15.4,15.63,15.33,15.57,0.18,1.17,3.27,72531594.0,,,-133.3254,2.6098,3.9349,67372.7996,6228001557.0,,,,,,,
1567612800000,9550000,15.85,16.19,15.65,16.08,0.51,3.28,6.66,152276783.0,,,-137.6926,2.6953,4.0637,69579.6158,6432001608.0,,,,,,,
1567699200000,5942672,16.0,16.2,15.9,16.14,0.06,0.37,4.15,95486913.0,,,-138.2063,2.7054,4.0789,69839.2412,6456001614.0,,,,,,,
1567958400000,9462007,16.19,16.88,16.02,16.7,0.56,3.47,6.6,155418147.0,,,-143.0016,2.7992,4.2204,72262.4119,6680001670.0,,,,,,,
1568044800000,6925843,16.81,16.85,16.46,16.48,-0.22,-1.32,4.83,114990855.0,,,-141.1177,2.7624,4.1648,71310.452,6592001648.0,,,,,,,
1568131200000,5858000,16.4,16.78,16.34,16.41,-0.07,-0.42,4.09,96802892.0,,,-140.5183,2.7506,4.1471,71007.5556,6564001641.0,,,,,,,
1568217600000,5516800,16.4,16.57,16.13,16.42,0.01,0.06,3.85,90260632.0,,,-140.604,2.7523,4.1497,71050.8266,6568001642.0,,,,,,,
1568563200000,24791805,18.06,18.06,17.21,17.63,1.21,7.37,17.3,438975724.0,,,-150.9652,2.9551,4.4555,76286.6061,7052001763.0,,,,,,,
1568649600000,29689858,17.8,19.39,17.47,19.24,1.61,9.13,20.72,539857904.0,,,-164.7515,3.225,4.8623,83253.2219,7696001924.0,,,,,,,
1568736000000,18882980,17.75,18.1,17.48,17.6,-1.64,-8.52,13.18,336245516.0,,,-150.7083,2.9501,4.4479,76156.7934,7040001760.0,,,,,,,
1568822400000,13084204,17.25,17.25,16.58,16.82,-0.78,-4.43,9.13,220100350.0,,,-144.0292,2.8194,4.2508,72781.6628,6728001682.0,,,,,,,
1568908800000,7655359,16.82,16.92,16.64,16.91,0.09,0.54,5.34,128460747.0,,,-144.7998,2.8344,4.2735,73171.1009,6764001691.0,,,,,,,
1569168000000,7107211,16.86,17.07,16.58,16.91,0.0,0.0,4.96,119532253.0,,,-144.7998,2.8344,4.2735,73171.1009,6764001691.0,,,,,,,
1569254400000,8031661,16.8,16.87,16.41,16.45,-0.46,-2.72,5.6,132788879.0,,,-140.8609,2.7573,4.1572,71180.6393,6580001645.0,,,,,,,
1569340800000,7773500,16.16,16.16,15.67,15.7,-0.75,-4.56,5.42,123518736.0,,,-134.4386,2.6316,3.9677,67935.3214,6280001570.0,,,,,,,
1569427200000,6067560,15.65,15.84,15.52,15.58,-0.12,-0.76,4.23,95161213.0,,,-133.4111,2.6115,3.9374,67416.0705,6232001558.0,,,,,,,
1569513600000,4122560,15.58,15.69,15.31,15.69,0.11,0.71,2.88,64061511.0,,,-134.353,2.63,3.9652,67892.0505,6276001569.0,,,,,,,
1569772800000,3973200,15.82,15.89,15.5,15.5,-0.19,-1.21,2.77,62515467.0,,,-696.8636,2.5899,3.1351,41.7452,6200001550.0,,,,,,,
1570464000000,3455200,15.41,15.6,15.27,15.41,-0.09,-0.58,2.41,53363246.0,,,-692.8173,2.5749,3.1169,41.5028,6164001541.0,,,,,,,
1570550400000,2524800,15.31,15.47,15.1,15.46,0.05,0.32,1.76,38665880.0,,,-695.0653,2.5833,3.127,41.6375,6184001546.0,,,,,,,
1570636800000,3621200,15.46,15.75,15.31,15.72,0.26,1.68,2.53,56389036.0,,,-706.7546,2.6267,3.1796,42.3377,6288001572.0,,,,,,,
1570723200000,11610439,15.79,16.88,15.77,16.54,0.82,5.22,8.1,189723279.0,,,-743.6209,2.7637,3.3454,44.5462,6616001654.0,,,,,,,
1570982400000,7513787,16.29,16.48,16.11,16.31,-0.23,-1.39,5.24,122090779.0,,,-733.2804,2.7253,3.2989,43.9267,6524001631.0,,,,,,,
1571068800000,4580800,16.15,16.15,15.82,15.86,-0.45,-2.76,3.2,72994890.0,,,-713.0488,2.6501,3.2079,42.7148,6344001586.0,,,,,,,
1571155200000,2958405,15.9,15.96,15.64,15.67,-0.19,-1.2,2.06,46605910.0,,,-704.5066,2.6183,3.1695,42.2031,6268001567.0,,,,,,,
1571241600000,3112528,15.78,15.89,15.7,15.85,0.18,1.15,2.17,49230533.0,,,-712.5992,2.6484,3.2059,42.6878,6340001585.0,,,,,,,
1571328000000,3499348,15.95,16.01,15.38,15.42,-0.43,-2.71,2.44,54690521.0,,,-693.2669,2.5766,3.1189,41.5297,6168001542.0,,,,,,,
1571587200000,2679100,15.42,15.42,15.04,15.17,-0.25,-1.62,1.87,40616599.0,,,-682.0272,2.5348,3.0683,40.8564,6068001517.0,,,,,,,
1571673600000,1803900,15.2,15.28,15.14,15.28,0.11,0.73,1.26,27431653.0,,,-686.9726,2.5532,3.0906,41.1527,6112001528.0,,,,,,,
1571760000000,2172300,15.32,15.44,15.16,15.24,-0.04,-0.26,1.52,33277113.0,,,-685.1743,2.5465,3.0825,41.045,6096001524.0,,,,,,,
1571846400000,2910710,15.34,15.55,15.34,15.43,0.19,1.25,2.03,44935554.0,,,-693.7165,2.5782,3.1209,41.5567,6172001543.0,,,,,,,
1571932800000,3050748,15.35,15.58,15.15,15.5,0.07,0.45,2.13,47081796.0,,,-696.8636,2.5899,3.1351,41.7452,6200001550.0,,,,,,,
1572192000000,3728350,15.39,15.65,15.36,15.61,0.11,0.71,2.6,57856909.0,,,-701.8091,2.6083,3.1573,42.0415,6244001561.0,,,,,,,
1572278400000,3618100,15.56,15.56,15.2,15.22,-0.39,-2.5,2.52,55683696.0,,,-684.2751,2.5432,3.0784,40.9911,6088001522.0,,,,,,,
1572364800000,6089200,15.01,15.01,14.49,14.6,-0.62,-4.07,4.25,89456624.0,,,-656.4006,2.4396,2.953,39.3213,5840001460.0,,,,,,,
1572451200000,4051100,14.59,14.69,14.27,14.27,-0.33,-2.26,2.83,58365382.0,,,-641.5641,2.3844,2.8863,38.4325,5708001427.0,,,,,,,
1572537600000,2436212,14.05,14.36,14.02,14.31,0.04,0.28,1.7,34701026.0,,,-643.3625,2.3911,2.8944,38.5403,5724001431.0,,,,,,,
1572796800000,2553000,14.42,14.53,14.31,14.34,0.03,0.21,1.78,36832437.0,,,-644.7112,2.3961,2.9004,38.621,5736001434.0,,,,,,,
1572883200000,2950000,14.45,14.52,14.27,14.37,0.03,0.21,2.06,42483085.0,,,-646.06,2.4011,2.9065,38.7018,5748001437.0,,,,,,,
1572969600000,2907900,14.5,14.5,14.01,14.14,-0.23,-1.6,2.03,41453605.0,,,-635.7195,2.3627,2.86,38.0824,5656001414.0,,,,,,,
1573056000000,1900483,14.13,14.25,14.02,14.21,0.07,0.5,1.33,26886431.0,,,-638.8666,2.3744,2.8742,38.2709,5684001421.0,,,,,,,
1573142400000,3994654,14.24,14.77,14.16,14.42,0.21,1.48,2.79,57787142.0,,,-648.308,2.4095,2.9166,38.8365,5768001442.0,,,,,,,
1573401600000,3945228,14.32,14.35,13.65,13.78,-0.64,-4.44,2.75,55010275.0,,,-619.5342,2.3025,2.7872,37.1128,5512001378.0,,,,,,,
1573488000000,2113444,13.69,13.83,13.5,13.75,-0.03,-0.22,1.47,28837601.0,,,-618.1855,2.2975,2.7811,37.032,5500001375.0,,,,,,,
1573574400000,2092500,13.76,13.76,13.43,13.48,-0.27,-1.96,1.46,28282993.0,,,-606.0466,2.2524,2.7265,36.3049,5392001348.0,,,,,,,
1573660800000,2193739,13.55,13.72,13.47,13.66,0.18,1.34,1.53,29889500.0,,,-614.1392,2.2825,2.7629,36.7896,5464001366.0,,,,,,,
1573747200000,2494983,13.66,13.7,13.32,13.41,-0.25,-1.83,1.74,33628184.0,,,-602.8994,2.2407,2.7123,36.1163,5364001341.0,,,,,,,
1574006400000,2595100,13.51,13.73,13.36,13.64,0.23,1.72,1.81,35302692.0,,,-613.24,2.2791,2.7589,36.7358,5456001364.0,,,,,,,
1574092800000,2761900,13.57,13.78,13.49,13.74,0.1,0.73,1.93,37745316.0,,,-617.7359,2.2959,2.7791,37.0051,5496001374.0,,,,,,,
1574179200000,2507300,13.66,13.66,13.47,13.54,-0.2,-1.46,1.75,33990242.0,,,-608.7441,2.2624,2.7386,36.4665,5416001354.0,,,,,,,
1574265600000,5351744,13.66,14.18,13.58,13.92,0.38,2.81,3.73,74415158.0,,,-625.8285,2.3259,2.8155,37.4899,5568001392.0,,,,,,,
1574352000000,4459300,13.98,14.1,13.85,13.92,0.0,0.0,3.11,62282244.0,,,-625.8285,2.3259,2.8155,37.4899,5568001392.0,,,,,,,
1574611200000,5289600,13.88,14.65,13.71,14.23,0.31,2.23,3.69,74971566.0,,,-639.7658,2.3777,2.8782,38.3248,5692001423.0,,,,,,,
1574697600000,3017644,14.16,14.18,13.9,14.03,-0.2,-1.41,2.11,42251158.0,,,-630.774,2.3443,2.8377,37.7861,5612001403.0,,,,,,,
1574784000000,3203544,13.98,14.25,13.9,14.17,0.14,1.0,2.24,44992926.0,,,-637.0682,2.3677,2.8661,38.1632,5668001417.0,,,,,,,
1574870400000,2575500,14.1,14.19,13.96,14.03,-0.14,-0.99,1.8,36261380.0,,,-630.774,2.3443,2.8377,37.7861,5612001403.0,,,,,,,
1574956800000,4317210,14.18,14.35,14.08,14.32,0.29,2.07,3.01,61373738.0,,,-643.8121,2.3928,2.8964,38.5672,5728001432.0,,,,,,,
1575216000000,5934479,13.9,13.99,13.34,13.44,-0.88,-6.15,4.14,80524689.0,,,-604.2482,2.2457,2.7184,36.1971,5376001344.0,,,,,,,
1575302400000,2892783,13.4,13.4,13.14,13.25,-0.19,-1.41,2.02,38263477.0,,,-595.706,2.214,2.68,35.6854,5300001325.0,,,,,,,
1575388800000,2131239,13.18,13.33,13.12,13.32,0.07,0.53,1.49,28234055.0,,,-598.8531,2.2257,2.6941,35.8739,5328001332.0,,,,,,,
