timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1564070400000,4657800,5.53,5.5973,5.5011,5.5588,0.0288,0.52,1.45,26879771.0,,,34.5624,1.5194,1.685,12.8433,2607948479.02,,,,,,,
1564329600000,7058930,5.5781,5.5781,5.4146,5.453,-0.1056,-1.9,2.2,40112365.0,,,33.9046,1.4905,1.653,12.5989,2558316241.53,,,,,,,
1564416000000,5743130,5.4242,5.5107,5.4242,5.4627,0.0098,0.18,1.79,32648445.0,,,33.9644,1.4931,1.6559,12.6211,2562828263.12,,,,,,,
1564502400000,4503430,5.4819,5.5011,5.4242,5.4434,-0.0191,-0.35,1.4,25592625.0,,,33.8448,1.4878,1.6501,12.5767,2553804219.94,,,,,,,
1564588800000,5704800,5.3953,5.4146,5.2895,5.3184,-0.1252,-2.3,1.78,31707740.0,,,33.0675,1.4537,1.6122,12.2878,2495147939.27,,,,,,,
1564675200000,8182104,5.1453,5.1645,5.0587,5.1357,-0.183,-3.44,2.55,43521891.0,,,31.9314,1.4037,1.5568,11.8656,2409419529.06,,,,,,,
1564934400000,4108404,5.1164,5.1741,5.078,5.1164,-0.019,-0.37,1.28,21904955.0,,,31.8118,1.3985,1.5509,11.8212,2400395485.88,,,,,,,
1565020800000,7587600,4.9914,5.0299,4.7798,4.8664,-0.2502,-4.89,2.37,38580743.0,,,30.257,1.3301,1.4751,11.2435,2283082924.54,,,,,,,
1565107200000,5202950,4.8952,5.001,4.876,4.9241,0.0579,1.19,1.62,26705971.0,,,30.6158,1.3459,1.4926,11.3768,2310155054.08,,,,,,,
1565193600000,3604000,4.9048,4.9914,4.9048,4.9433,0.0192,0.39,1.12,18558453.0,,,30.7354,1.3511,1.4985,11.4212,2319179097.26,,,,,,,
1565280000000,4099050,4.9722,5.001,4.8375,4.8568,-0.0865,-1.75,1.28,20962409.0,,,30.1973,1.3275,1.4722,11.2212,2278570902.95,,,,,,,
1565539200000,3790968,4.876,4.9433,4.8375,4.9337,0.0767,1.58,1.18,19302315.0,,,30.6756,1.3485,1.4955,11.399,2314667075.67,,,,,,,
1565625600000,3270300,4.8952,4.9145,4.8375,4.8952,-0.0385,-0.78,1.02,16584337.0,,,30.4364,1.338,1.4839,11.3101,2296618989.31,,,,,,,
1565712000000,5832130,5.0299,5.0395,4.8856,4.9145,0.0191,0.39,1.82,30095305.0,,,30.556,1.3433,1.4897,11.3546,2305643032.49,,,,,,,
1565798400000,5108972,4.7414,4.9145,4.7414,4.9048,-0.0098,-0.2,1.59,25569482.0,,,30.4962,1.3406,1.4868,11.3323,2301131010.9,,,,,,,
1565884800000,4958491,4.8856,4.9529,4.8856,4.8952,-0.0098,-0.2,1.55,25382121.0,,,30.4364,1.338,1.4839,11.3101,2296618989.31,,,,,,,
1566144000000,5701980,4.9241,5.0299,4.9145,5.0203,0.1248,2.55,1.78,29521853.0,,,31.2138,1.3722,1.5218,11.599,2355275269.98,,,,,,,
1566230400000,5646582,5.0203,5.0587,4.9914,5.001,-0.0191,-0.38,1.76,29518150.0,,,31.0942,1.3669,1.516,11.5545,2346251226.8,,,,,,,
1566316800000,4035782,5.001,5.0587,5.001,5.0203,0.019,0.38,1.26,21085762.0,,,31.2138,1.3722,1.5218,11.599,2355275269.98,,,,,,,
1566403200000,6534155,5.0203,5.1164,4.9722,5.0683,0.0482,0.96,2.04,34338987.0,,,31.5128,1.3853,1.5364,11.7101,2377835377.93,,,,,,,
1566489600000,5857648,5.0779,5.0779,4.9799,4.9995,-0.0684,-1.35,1.83,29956060.0,,,30.4962,1.3768,1.4868,11.3323,2301131010.9,,,,,,,
1566748800000,5953914,4.9015,5.0191,4.8231,4.9701,-0.0295,-0.59,1.86,30031063.0,,,30.3168,1.3687,1.4781,11.2657,2287594946.13,,,,,,,
1566835200000,6752090,5.0093,5.0975,4.9897,5.0681,0.0979,1.97,2.11,34878412.0,,,30.9148,1.3957,1.5072,11.4879,2332715162.03,,,,,,,
1566921600000,5952791,5.0975,5.1368,5.0583,5.1073,0.039,0.77,1.86,30960976.0,,,31.154,1.4065,1.5189,11.5768,2350763248.39,,,,,,,
1567008000000,4742700,5.1368,5.1466,5.0877,5.0975,-0.0097,-0.19,1.48,24732228.0,,,31.0942,1.4038,1.516,11.5545,2346251226.8,,,,,,,
1567094400000,5881667,5.1466,5.1662,4.9701,4.9897,-0.1081,-2.12,1.83,30279961.0,,,30.4364,1.3741,1.4839,11.3101,2296618989.31,,,,,,,
1567353600000,6953355,4.9799,5.1466,4.9603,5.1466,0.1567,3.14,2.17,36069340.0,,,31.3932,1.4173,1.5305,11.6656,2368811334.75,,,,,,,
1567440000000,5423605,5.1171,5.1662,5.0877,5.1269,-0.0196,-0.38,1.69,28290049.0,,,31.2736,1.4119,1.5247,11.6212,2359787291.57,,,,,,,
1567526400000,7370347,5.1269,5.2152,5.0877,5.2054,0.0784,1.53,2.3,38704622.0,,,31.752,1.4335,1.548,11.799,2395883464.29,,,,,,,
1567612800000,8665166,5.274,5.2936,5.2152,5.225,0.0198,0.38,2.7,46446775.0,,,31.8716,1.4389,1.5539,11.8434,2404907507.47,,,,,,,
1567699200000,6249420,5.2446,5.2544,5.1858,5.2348,0.0099,0.19,1.95,33276669.0,,,31.9314,1.4416,1.5568,11.8656,2409419529.06,,,,,,,
1567958400000,8551034,5.2544,5.3426,5.225,5.3426,0.1078,2.06,2.67,46121399.0,,,32.5891,1.4713,1.5888,12.1101,2459051766.55,,,,,,,
1568044800000,5643100,5.3622,5.3622,5.2838,5.323,-0.0198,-0.37,1.76,30635330.0,,,32.4695,1.4659,1.583,12.0656,2450027723.37,,,,,,,
1568131200000,5532900,5.3328,5.3524,5.2642,5.274,-0.049,-0.92,1.73,29920351.0,,,32.1705,1.4524,1.5684,11.9545,2427467615.42,,,,,,,
1568217600000,4766000,5.3034,5.3034,5.2446,5.2936,0.0195,0.37,1.49,25663572.0,,,32.2901,1.4578,1.5743,11.999,2436491658.6,,,,,,,
1568563200000,34048948,5.823,5.823,5.7445,5.823,0.5294,10.0,10.62,202111006.0,,,35.5191,1.6036,1.7317,13.1988,2680140824.46,,,,,,,
1568649600000,78614752,5.8818,6.3817,5.8328,6.2053,0.3826,6.57,24.53,485372864.0,,,37.8512,1.7089,1.8454,14.0654,2856109666.47,,,,,,,
1568736000000,46415436,5.6857,5.823,5.5877,5.6759,-0.5293,-8.53,14.48,268772784.0,,,34.6222,1.5631,1.688,12.8655,2612460500.61,,,,,,,
1568822400000,24834864,5.5877,5.5877,5.4014,5.4602,-0.2157,-3.8,7.75,138309786.0,,,33.3067,1.5037,1.6238,12.3767,2513196025.63,,,,,,,
1568908800000,14892706,5.4897,5.4995,5.4014,5.4602,0.0,0.0,4.65,82682147.0,,,33.3067,1.5037,1.6238,12.3767,2513196025.63,,,,,,,
1569168000000,13595753,5.4504,5.5191,5.3622,5.5093,0.0491,0.9,4.24,75636407.0,,,33.6057,1.5172,1.6384,12.4878,2535756133.58,,,,,,,
1569254400000,12960421,5.4602,5.4602,5.372,5.3916,-0.1179,-2.14,4.04,71559031.0,,,32.8881,1.4848,1.6034,12.2212,2481611874.5,,,,,,,
1569340800000,11502600,5.2936,5.3132,5.1858,5.1858,-0.206,-3.82,3.59,61557179.0,,,31.6324,1.4281,1.5422,11.7545,2386859421.11,,,,,,,
1569427200000,8506377,5.1858,5.2152,5.0485,5.0485,-0.1374,-2.65,2.65,44459805.0,,,30.7952,1.3903,1.5014,11.4434,2323691118.85,,,,,,,
1569513600000,6389198,5.0387,5.1073,5.0289,5.0681,0.0197,0.39,1.99,33120251.0,,,30.9148,1.3957,1.5072,11.4879,2332715162.03,,,,,,,
1569772800000,5261100,5.0975,5.1269,5.0485,5.0583,-0.0096,-0.19,1.64,27328124.0,,,28.27,1.3007,1.4905,9.6383,2328203140.44,,,,,,,
1570464000000,4784900,5.0779,5.0877,5.0191,5.0485,-0.0096,-0.19,1.49,24665247.0,,,28.2152,1.2982,1.4876,9.6196,2323691118.85,,,,,,,
1570550400000,5223698,5.0387,5.1171,4.9799,5.1171,0.0687,1.36,1.63,26922249.0,,,28.5987,1.3158,1.5078,9.7504,2355275269.98,,,,,,,
1570636800000,6027107,5.1171,5.1564,5.0779,5.1466,0.0292,0.57,1.88,31474549.0,,,28.7631,1.3234,1.5165,9.8064,2368811334.75,,,,,,,
1570723200000,18939664,5.1564,5.4308,5.1171,5.3524,0.2059,4.0,5.91,102002948.0,,,29.9136,1.3763,1.5771,10.1986,2463563788.14,,,,,,,
1570982400000,13411023,5.2936,5.323,5.2446,5.2936,-0.0589,-1.1,4.18,72271959.0,,,29.5849,1.3612,1.5598,10.0866,2436491658.6,,,,,,,
1571068800000,7976784,5.2544,5.2544,5.1466,5.1662,-0.1276,-2.41,2.49,42168485.0,,,28.8726,1.3284,1.5222,9.8438,2377835377.93,,,,,,,
1571155200000,4409300,5.1466,5.1956,5.1171,5.1564,-0.0098,-0.19,1.38,23189541.0,,,28.8178,1.3259,1.5194,9.8251,2373323356.34,,,,,,,
1571241600000,4468280,5.1466,5.1564,5.0681,5.0877,-0.0686,-1.33,1.39,23307335.0,,,28.4343,1.3082,1.4991,9.6943,2341739205.21,,,,,,,
1571328000000,4679100,5.1368,5.1368,5.0191,5.0289,-0.059,-1.16,1.46,24173023.0,,,28.1056,1.2931,1.4818,9.5822,2314667075.67,,,,,,,
1571587200000,3906200,5.0583,5.0681,4.9505,5.0093,-0.0196,-0.39,1.22,19880614.0,,,27.996,1.2881,1.476,9.5449,2305643032.49,,,,,,,
1571673600000,4181084,4.9799,5.0779,4.9799,5.0779,0.0686,1.37,1.3,21446801.0,,,28.3795,1.3057,1.4963,9.6756,2337227183.62,,,,,,,
1571760000000,3751184,5.0583,5.1073,5.0289,5.0485,-0.0295,-0.58,1.17,19411063.0,,,28.2152,1.2982,1.4876,9.6196,2323691118.85,,,,,,,
1571846400000,4026875,5.0975,5.1269,5.0485,5.0877,0.0394,0.78,1.26,20900628.0,,,28.4343,1.3082,1.4991,9.6943,2341739205.21,,,,,,,
1571932800000,3600875,5.0779,5.1073,5.0289,5.1073,0.0198,0.39,1.12,18645323.0,,,28.5439,1.3133,1.5049,9.7317,2350763248.39,,,,,,,
1572192000000,6347237,5.0975,5.176,5.0681,5.1662,0.0587,1.15,1.98,33266799.0,,,28.8726,1.3284,1.5222,9.8438,2377835377.93,,,,,,,
1572278400000,6021901,5.1564,5.176,5.0289,5.0387,-0.1276,-2.47,1.88,31292984.0,,,28.1604,1.2956,1.4847,9.6009,2319179097.26,,,,,,,
1572364800000,3915400,5.0289,5.0583,4.9701,4.9701,-0.0685,-1.36,1.22,20001200.0,,,27.7769,1.278,1.4645,9.4702,2287594946.13,,,,,,,
1572451200000,3805560,4.9701,5.0093,4.9407,4.9603,-0.0099,-0.2,1.19,19303398.0,,,27.7221,1.2755,1.4616,9.4515,2283082924.54,,,,,,,
1572537600000,3082400,4.9407,5.0289,4.9309,5.0191,0.059,1.19,0.96,15681153.0,,,28.0508,1.2906,1.4789,9.5636,2310155054.08,,,,,,,
1572796800000,3074700,5.0779,5.0779,5.0093,5.0191,0.0,0.0,0.96,15822020.0,,,28.0508,1.2906,1.4789,9.5636,2310155054.08,,,,,,,
1572883200000,3588435,5.0387,5.0681,5.0093,5.0387,0.0196,0.39,1.12,18454679.0,,,28.1604,1.2956,1.4847,9.6009,2319179097.26,,,,,,,
1572969600000,2863800,5.0485,5.0681,4.9799,4.9897,-0.0489,-0.97,0.89,14689907.0,,,27.8865,1.283,1.4703,9.5075,2296618989.31,,,,,,,
1573056000000,3215729,4.9701,4.9995,4.9407,4.9701,-0.0195,-0.39,1.0,16298065.0,,,27.7769,1.278,1.4645,9.4702,2287594946.13,,,,,,,
1573142400000,5697524,5.0093,5.0975,4.9701,5.0387,0.0686,1.38,1.78,29296948.0,,,28.1604,1.2956,1.4847,9.6009,2319179097.26,,,,,,,
1573401600000,5414834,4.9995,4.9995,4.8525,4.8623,-0.1764,-3.5,1.69,27139470.0,,,27.1742,1.2503,1.4327,9.2647,2237962708.64,,,,,,,
1573488000000,2826400,4.8623,4.9015,4.8133,4.8819,0.0194,0.4,0.88,13986733.0,,,27.2838,1.2553,1.4385,9.3021,2246986751.82,,,,,,,
1573574400000,2952600,4.8819,4.8819,4.8035,4.8035,-0.0786,-1.61,0.92,14529290.0,,,26.8455,1.2351,1.4154,9.1526,2210890579.1,,,,,,,
1573660800000,2428200,4.8231,4.8329,4.7838,4.8035,0.0,0.0,0.76,11914311.0,,,26.8455,1.2351,1.4154,9.1526,2210890579.1,,,,,,,
1573747200000,4183100,4.8035,4.8133,4.6564,4.6564,-0.147,-3.06,1.31,20165883.0,,,26.0237,1.1973,1.372,8.8725,2143210255.25,,,,,,,
1574006400000,2876833,4.676,4.7348,4.6368,4.7054,0.0489,1.05,0.9,13772236.0,,,26.2977,1.2099,1.3865,8.9658,2165770363.2,,,,,,,
1574092800000,2654960,4.7054,4.7838,4.6858,4.7838,0.0786,1.67,0.83,12879216.0,,,26.7359,1.2301,1.4096,9.1153,2201866535.92,,,,,,,
1574179200000,2569100,4.7838,4.7936,4.725,4.7348,-0.0488,-1.02,0.79,12450832.0,,,26.462,1.2175,1.3952,9.0219,2179306427.97,,,,,,,
1574265600000,3434500,4.7348,4.8231,4.7348,4.774,0.0393,0.83,1.07,16730925.0,,,26.6812,1.2276,1.4067,9.0966,2197354514.33,,,,,,,
1574352000000,4548506,4.8133,4.8623,4.7544,4.774,0.0,0.0,1.42,22322057.0,,,26.6812,1.2276,1.4067,9.0966,2197354514.33,,,,,,,
1574611200000,4174334,4.7642,4.8721,4.7642,4.8329,0.0587,1.23,1.3,20572490.0,,,27.0099,1.2427,1.424,9.2087,2224426643.87,,,,,,,
1574697600000,2584124,4.8427,4.8427,4.7642,4.7838,-0.0488,-1.01,0.81,12636604.0,,,26.7359,1.2301,1.4096,9.1153,2201866535.92,,,,,,,
1574784000000,2698900,4.7838,4.8231,4.7544,4.7838,0.0,0.0,0.84,13183267.0,,,26.7359,1.2301,1.4096,9.1153,2201866535.92,,,,,,,
1574870400000,2940700,4.7838,4.8133,4.7348,4.7446,-0.0392,-0.82,0.91,14274787.0,,,26.5168,1.22,1.398,9.0406,2183818449.56,,,,,,,
1574956800000,2543518,4.7348,4.7838,4.7152,4.7642,0.0195,0.41,0.79,12340993.0,,,26.6264,1.2251,1.4038,9.0779,2192842492.74,,,,,,,
1575216000000,2319020,4.7348,4.7642,4.7054,4.7348,-0.0295,-0.62,0.72,11218408.0,,,26.462,1.2175,1.3952,9.0219,2179306427.97,,,,,,,
1575302400000,2180400,4.7544,4.774,4.6956,4.7642,0.0294,0.62,0.67,10522440.0,,,26.6264,1.2251,1.4038,9.0779,2192842492.74,,,,,,,
1575388800000,3431000,4.7446,4.8035,4.7348,4.7936,0.0295,0.62,1.06,16689836.0,,,26.7907,1.2326,1.4125,9.134,2206378557.51,,,,,,,
1575475200000,7608398,4.8819,4.9897,4.8329,4.8525,0.059,1.23,2.37,38026558.0,,,27.1195,1.2477,1.4298,9.246,2233450687.05,,,,,,,
1575561600000,5034002,4.8035,4.8721,4.8035,4.8623,0.0097,0.2,1.55,24815422.0,,,27.1742,1.2503,1.4327,9.2647,2237962708.64,,,,,,,
1575820800000,3327700,4.8819,4.9505,4.8525,4.8819,0.0194,0.4,1.04,16551642.0,,,27.2838,1.2553,1.4385,9.3021,2246986751.82,,,,,,,
1575907200000,2886000,4.8721,4.9113,4.8525,4.8917,0.0098,0.2,0.89,14374495.0,,,27.3386,1.2578,1.4414,9.3207,2251498773.41,,,,,,,
1575993600000,3245700,4.9015,4.9309,4.8525,4.8623,-0.0293,-0.6,1.01,16137733.0,,,27.1742,1.2503,1.4327,9.2647,2237962708.64,,,,,,,
1576080000000,2797868,4.8623,4.8623,4.7936,4.7936,-0.0686,-1.41,0.87,13787627.0,,,26.7907,1.2326,1.4125,9.134,2206378557.51,,,,,,,
1576166400000,5847877,4.8721,4.8917,4.8231,4.8819,0.0882,1.84,1.81,28987219.0,,,27.2838,1.2553,1.4385,9.3021,2246986751.82,,,,,,,
1576425600000,7568577,4.8917,5.0779,4.8721,4.9701,0.0884,1.81,2.25,38365821.0,,,27.7769,1.278,1.4645,9.4702,2287594946.13,,,,,,,
1576512000000,7668205,4.9505,5.0485,4.9505,5.0289,0.0586,1.18,2.34,39196394.0,,,28.1056,1.2931,1.4818,9.5822,2314667075.67,,,,,,,
1576598400000,8802400,5.0485,5.0975,4.9995,5.0779,0.0488,0.97,2.72,45404473.0,,,28.3795,1.3057,1.4963,9.6756,2337227183.62,,,,,,,
1576684800000,7765210,5.0877,5.1269,5.0289,5.0681,-0.0096,-0.19,2.41,40158083.0,,,28.3248,1.3032,1.4934,9.657,2332715162.03,,,,,,,
1576771200000,6753310,5.0877,5.1073,5.0093,5.0191,-0.0492,-0.97,2.07,34819573.0,,,28.0508,1.2906,1.4789,9.5636,2310155054.08,,,,,,,
1577030400000,5637210,5.0387,5.0681,4.9309,4.9309,-0.0883,-1.76,1.75,28728423.0,,,27.5577,1.2679,1.4529,9.3955,2269546859.77,,,,,,,
1577116800000,3425000,4.9407,5.0093,4.9015,4.9897,0.0587,1.19,1.05,17349271.0,,,27.8865,1.283,1.4703,9.5075,2296618989.31,,,,,,,
1577203200000,4343400,5.0191,5.0583,4.9995,5.0485,0.0589,1.18,1.35,22297221.0,,,28.2152,1.2982,1.4876,9.6196,2323691118.85,,,,,,,
1577289600000,3953100,5.0681,5.0779,5.0191,5.0681,0.0197,0.39,1.22,20366249.0,,,28.3248,1.3032,1.4934,9.657,2332715162.03,,,,,,,
1577376000000,4676200,5.1073,5.1269,5.0387,5.0681,0.0,0.0,1.44,24225543.0,,,28.3248,1.3032,1.4934,9.657,2332715162.03,,,,,,,
1577635200000,4246100,5.0681,5.0779,4.9701,5.0583,-0.0096,-0.19,1.31,21791783.0,,,28.27,1.3007,1.4905,9.6383,2328203140.44,,,,,,,
1577721600000,4511783,5.0583,5.0975,5.0387,5.0975,0.0395,0.78,1.36,23364563.0,,,51.9827,1.3489,1.5081,13.801,2346251226.8,,,,,,,
1577894400000,8244711,5.1171,5.1662,5.0877,5.1662,0.0688,1.35,2.54,43179164.0,,,52.6825,1.367,1.5284,13.9868,2377835377.93,,,,,,,
1577980800000,26407492,5.1662,5.4308,5.1564,5.3328,0.1669,3.23,8.15,143472823.0,,,54.3819,1.4111,1.5777,14.438,2454539744.96,,,,,,,
1578240000000,45497938,5.4897,5.8622,5.4504,5.8622,0.5295,9.93,14.15,263471188.0,,,59.7801,1.5512,1.7343,15.8712,2698188910.82,,,,,,,
1578326400000,29574086,5.6661,5.7249,5.5681,5.6465,-0.2157,-3.68,9.1,170001491.0,,,57.5808,1.4941,1.6705,15.2873,2598924435.84,,,,,,,
1578412800000,51102281,5.921,6.0582,5.7151,5.9504,0.3038,5.38,15.77,307717692.0,,,60.6798,1.5746,1.7604,16.11,2738797105.13,,,,,,,
1578499200000,34746367,5.4406,5.7053,5.4308,5.6269,-0.3237,-5.44,10.67,196566659.0,,,57.3809,1.489,1.6647,15.2342,2589900392.66,,,,,,,
1578585600000,18169375,5.5681,5.5681,5.4308,5.4602,-0.1666,-2.96,5.59,101670925.0,,,55.6815,1.4449,1.6154,14.783,2513196025.63,,,,,,,
1578844800000,13966063,5.4701,5.5485,5.3916,5.5387,0.0786,1.44,4.33,78334325.0,,,56.4812,1.4656,1.6386,14.9953,2549292198.35,,,,,,,
1578931200000,22654952,5.5191,5.9504,5.4799,5.7543,0.2155,3.89,7.02,131614304.0,,,58.6805,1.5227,1.7024,15.5792,2648556673.33,,,,,,,
1579017600000,13083867,5.7249,5.8622,5.6367,5.7445,-0.0098,-0.17,4.04,76551265.0,,,58.5805,1.5201,1.6995,15.5527,2644044651.74,,,,,,,
1579104000000,11674173,5.6857,5.7347,5.5289,5.5387,-0.2056,-3.58,3.58,66926231.0,,,56.4812,1.4656,1.6386,14.9953,2549292198.35,,,,,,,
1579190400000,7169229,5.5681,5.6269,5.4799,5.5289,-0.01,-0.18,2.15,40641109.0,,,56.3812,1.463,1.6357,14.9688,2544780176.76,,,,,,,
1579449600000,7792244,5.5387,5.6171,5.4308,5.6171,0.0885,1.6,2.37,44241806.0,,,57.2809,1.4864,1.6618,15.2077,2585388371.07,,,,,,,
1579536000000,12891661,5.6465,5.7935,5.5975,5.6563,0.0393,0.7,3.72,74768588.0,,,57.6808,1.4967,1.6734,15.3138,2603436457.43,,,,,,,
1579622400000,19962055,5.6465,6.019,5.5093,6.019,0.3626,6.41,5.69,118768833.0,,,61.3796,1.5927,1.7807,16.2958,2770381256.26,,,,,,,
1579708800000,14237400,5.9308,6.019,5.6759,5.7053,-0.3136,-5.21,4.08,84286846.0,,,58.1806,1.5097,1.6879,15.4465,2625996565.38,,,,,,,
1580659200000,836100,5.1368,5.1368,5.1368,5.1368,-0.5689,-9.97,0.24,4381164.0,,,59.6325,1.3228,1.73,15.832,2691527514.36,,,,,,,
1580745600000,19240890,4.6368,4.9799,4.627,4.9015,-0.2353,-4.58,5.55,94508213.0,,,56.9013,1.2623,1.6508,15.1069,2568251445.0,,,,,,,
1580832000000,12422902,4.9113,5.0583,4.8231,4.9309,0.0294,0.6,3.58,62661237.0,,,57.2427,1.2698,1.6607,15.1975,2583660953.67,,,,,,,
1580918400000,12112300,5.0093,5.0485,4.9015,5.0191,0.0883,1.79,3.37,61553180.0,,,58.2669,1.2925,1.6904,15.4694,2629889479.68,,,,,,,
1581004800000,11617510,4.9701,4.9701,4.7936,4.9407,-0.0783,-1.56,3.36,58204914.0,,,57.3565,1.2724,1.664,15.2277,2588797456.56,,,,,,,
1581264000000,11705312,4.8819,5.1662,4.8721,5.1073,0.1665,3.37,3.36,59709906.0,,,59.2911,1.3153,1.7201,15.7413,2676118005.69,,,,,,,
1581350400000,12470903,5.0485,5.2054,5.0093,5.1564,0.049,0.96,3.55,64913396.0,,,59.8601,1.3279,1.7366,15.8924,2701800520.14,,,,,,,
1581436800000,9257532,5.1073,5.225,5.1073,5.2054,0.049,0.95,2.66,48805850.0,,,60.4291,1.3405,1.7531,16.0435,2727483034.59,,,,,,,
1581523200000,10413514,5.2544,5.323,5.0877,5.0877,-0.1176,-2.26,3.0,54993562.0,,,59.0635,1.3102,1.7135,15.6809,2665844999.91,,,,,,,
