timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,2896667,3.9148,3.974,3.8852,3.8951,-0.0196,-0.5,0.34,11539171.0,,,17.8052,1.9225,1.3171,8.6196,3321950000.0,,,,,,,
1565539200000,2647958,3.8951,3.9345,3.8852,3.9247,0.0296,0.76,0.31,10508887.0,,,17.9404,1.9371,1.3271,8.6851,3347180000.0,,,,,,,
1565625600000,2110094,3.9148,3.9247,3.8556,3.8852,-0.0396,-1.01,0.25,8300111.0,,,17.7601,1.9176,1.3137,8.5978,3313540000.0,,,,,,,
1565712000000,2356169,3.9049,3.9444,3.8754,3.8951,0.0097,0.25,0.28,9339948.0,,,17.8052,1.9225,1.3171,8.6196,3321950000.0,,,,,,,
1565798400000,3299463,3.8063,3.8754,3.7472,3.8655,-0.0296,-0.76,0.39,12774759.0,,,17.67,1.9079,1.3071,8.5541,3296720000.0,,,,,,,
1565884800000,3323317,3.8556,3.9444,3.8556,3.9049,0.0394,1.02,0.4,13171510.0,,,17.8503,1.9273,1.3204,8.6414,3330360000.0,,,,,,,
1566144000000,4729776,3.9444,4.0035,3.9345,3.9937,0.0886,2.27,0.56,19038064.0,,,18.256,1.9711,1.3504,8.8378,3406050000.0,,,,,,,
1566230400000,3932741,4.0035,4.0331,3.9838,4.0134,0.0196,0.49,0.47,15987587.0,,,18.3461,1.9809,1.3571,8.8814,3422870000.0,,,,,,,
1566316800000,3582249,3.9838,4.0233,3.974,4.0134,0.0,0.0,0.43,14531741.0,,,18.3461,1.9809,1.3571,8.8814,3422870000.0,,,,,,,
1566403200000,2965079,4.0134,4.0233,3.9641,3.9937,-0.0197,-0.49,0.35,11986383.0,,,18.256,1.9711,1.3504,8.8378,3406050000.0,,,,,,,
1566489600000,5411040,3.9937,4.0923,3.974,4.0331,0.0395,0.99,0.64,22215578.0,,,18.4363,1.9906,1.3638,8.9251,3439690000.0,,,,,,,
1566748800000,3236219,3.9345,3.9838,3.8951,3.9345,-0.0984,-2.44,0.38,12947495.0,,,17.9855,1.9419,1.3304,8.7069,3355590000.0,,,,,,,
1566835200000,3440823,3.9937,4.0331,3.9641,4.0134,0.0791,2.01,0.41,13971020.0,,,18.3461,1.9809,1.3571,8.8814,3422870000.0,,,,,,,
1566921600000,3411629,3.9937,4.0529,3.9937,4.043,0.0297,0.74,0.41,13936171.0,,,18.4814,1.9955,1.3671,8.9469,3448100000.0,,,,,,,
1567008000000,6663719,4.043,4.1515,4.0134,4.0923,0.0493,1.22,0.79,27597468.0,,,18.7067,2.0198,1.3838,9.056,3490150000.0,,,,,,,
1567094400000,6468048,4.1219,4.181,4.0134,4.0331,-0.0593,-1.45,0.77,26858353.0,,,18.4363,1.9906,1.3638,8.9251,3439690000.0,,,,,,,
1567353600000,5529570,4.0134,4.1515,4.0134,4.1317,0.0984,2.44,0.66,23033824.0,,,18.887,2.0393,1.3971,9.1433,3523790000.0,,,,,,,
1567440000000,4625807,4.112,4.2008,4.0726,4.112,-0.0198,-0.48,0.55,19268870.0,,,18.7969,2.0295,1.3904,9.0997,3506970000.0,,,,,,,
1567526400000,5285966,4.0726,4.2008,4.0726,4.1515,0.0395,0.96,0.63,22183454.0,,,18.9772,2.049,1.4038,9.187,3540610000.0,,,,,,,
1567612800000,7830892,4.1613,4.2205,4.1515,4.1712,0.0199,0.48,0.93,33277307.0,,,19.0673,2.0587,1.4104,9.2306,3557430000.0,,,,,,,
1567699200000,4108518,4.1712,4.1909,4.1515,4.181,0.01,0.24,0.49,17364205.0,,,19.1124,2.0636,1.4138,9.2524,3565840000.0,,,,,,,
