timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,2748282,10.477,10.5368,10.2081,10.2281,-0.1589,-1.53,1.54,28556215.0,,,38.8165,1.4248,1.0107,-24.7412,3460855052.2,,,,,,,
1565539200000,2640695,10.1185,10.4671,10.1185,10.4173,0.1892,1.85,1.48,27409185.0,,,39.5347,1.4512,1.0294,-25.1989,3524882555.6,,,,,,,
1565625600000,1791980,10.1683,10.4571,10.1683,10.4571,0.0396,0.38,1.0,18603315.0,,,39.6858,1.4568,1.0334,-25.2953,3538362030.0,,,,,,,
1565712000000,2544492,10.5567,10.6563,10.4472,10.5069,0.0502,0.48,1.42,26958231.0,,,39.8748,1.4637,1.0383,-25.4157,3555211373.0,,,,,,,
1565798400000,2273390,10.248,10.4472,10.1384,10.4372,-0.0693,-0.66,1.27,23495036.0,,,39.6102,1.454,1.0314,-25.2471,3531622292.8,,,,,,,
1565884800000,2874946,10.4073,10.6264,10.3775,10.4472,0.0104,0.1,1.61,30347361.0,,,39.648,1.4554,1.0324,-25.2712,3534992161.4,,,,,,,
1566144000000,5126130,10.487,10.7459,10.3177,10.7459,0.2988,2.86,2.87,54445315.0,,,40.7819,1.497,1.0619,-25.9939,3636088219.4,,,,,,,
1566230400000,10337849,10.736,11.5228,10.6862,11.2539,0.5083,4.73,5.78,116000508.0,,,42.7095,1.5677,1.1121,-27.2225,3807951518.0,,,,,,,
1566316800000,5383457,11.1443,11.3535,11.0049,11.0248,-0.2296,-2.04,3.01,60113337.0,,,41.8402,1.5358,1.0895,-26.6684,3730444540.2,,,,,,,
1566403200000,3372569,11.0547,11.0746,10.8555,10.985,-0.0397,-0.36,1.89,37081749.0,,,41.689,1.5303,1.0855,-26.5721,3716965065.8,,,,,,,
1566489600000,2813940,10.965,11.1244,10.8555,10.9053,-0.0802,-0.73,1.57,30985695.0,,,41.3867,1.5192,1.0776,-26.3793,3690006117.0,,,,,,,
1566748800000,2713820,10.5766,10.9252,10.4671,10.7161,-0.1898,-1.74,1.52,29209422.0,,,40.6685,1.4928,1.0589,-25.9216,3625978613.6,,,,,,,
1566835200000,2926653,10.7659,10.975,10.7659,10.9252,0.209,1.95,1.64,32026314.0,,,41.4623,1.522,1.0796,-26.4275,3696745854.2,,,,,,,
1566921600000,3022344,10.9252,11.0348,10.7858,10.8157,-0.1092,-1.0,1.69,33034612.0,,,41.0465,1.5067,1.0688,-26.1625,3659677299.6,,,,,,,
1567008000000,2270900,10.8455,10.9352,10.7559,10.7858,-0.0303,-0.28,1.27,24697008.0,,,40.9331,1.5025,1.0658,-26.0903,3649567693.8,,,,,,,
1567094400000,3754829,10.8157,10.8754,10.4472,10.5766,-0.2092,-1.94,2.1,40100070.0,,,40.1394,1.4734,1.0452,-25.5844,3578800453.2,,,,,,,
1567353600000,3080471,10.6264,10.9152,10.5766,10.8555,0.2792,2.64,1.72,33418538.0,,,41.1977,1.5122,1.0727,-26.2589,3673156774.0,,,,,,,
1567440000000,3056520,10.975,11.0646,10.8655,10.965,0.1096,1.01,1.71,33591148.0,,,41.6134,1.5275,1.0835,-26.5239,3710225328.6,,,,,,,
1567526400000,6419023,10.9551,11.3136,10.8555,11.1941,0.2292,2.09,3.59,71843452.0,,,42.4827,1.5594,1.1062,-27.078,3787732306.4,,,,,,,
1567612800000,6811805,11.214,11.5028,11.214,11.2439,0.0493,0.44,3.81,77785204.0,,,42.6717,1.5664,1.1111,-27.1984,3804581649.4,,,,,,,
1567699200000,4208143,11.3933,11.5327,11.2439,11.3236,0.0798,0.71,2.35,48063563.0,,,42.9741,1.5775,1.119,-27.3912,3831540598.2,,,,,,,
1567958400000,4200065,11.3933,11.5028,11.3037,11.453,0.1291,1.14,2.35,48086128.0,,,43.4654,1.5955,1.1318,-27.7043,3875348890.0,,,,,,,
1568044800000,4285265,11.4431,11.6223,11.3435,11.5327,0.0802,0.7,2.4,49518948.0,,,43.7678,1.6066,1.1396,-27.8971,3902307838.8,,,,,,,
1568131200000,3419369,11.5726,11.6821,11.4032,11.4331,-0.0992,-0.86,1.91,39548739.0,,,43.3899,1.5927,1.1298,-27.6562,3868609152.8,,,,,,,
1568217600000,3165000,11.4929,11.6024,11.3535,11.4331,0.0,0.0,1.77,36403293.0,,,43.3899,1.5927,1.1298,-27.6562,3868609152.8,,,,,,,
