timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,7804316,2.3476,2.3574,2.2987,2.3085,-0.0295,-1.26,0.33,18593776.0,,,6.2143,0.6864,0.2099,3.2496,6778914470.96,,,,,,,
1565539200000,7192301,2.3085,2.3476,2.289,2.3476,0.039,1.69,0.3,17055016.0,,,6.3196,0.698,0.2134,3.3047,6893811326.4,,,,,,,
1565625600000,10020000,2.3281,2.3379,2.289,2.3085,-0.0392,-1.67,0.42,23628818.0,,,6.2143,0.6864,0.2099,3.2496,6778914470.96,,,,,,,
1565712000000,8885036,2.3183,2.3379,2.3085,2.3281,0.0196,0.85,0.37,21119720.0,,,6.267,0.6922,0.2117,3.2771,6836362898.68,,,,,,,
1565798400000,19599471,2.289,2.3966,2.2596,2.3672,0.0391,1.68,0.82,46954012.0,,,6.3723,0.7038,0.2152,3.3322,6951259754.12,,,,,,,
1565884800000,9529600,2.3574,2.3672,2.3281,2.3379,-0.0294,-1.24,0.4,22849359.0,,,6.2933,0.6951,0.2126,3.2909,6865087112.54,,,,,,,
1566144000000,11555502,2.3574,2.3966,2.3476,2.3966,0.0587,2.51,0.48,28011085.0,,,6.4513,0.7126,0.2179,3.3735,7037432395.7,4082336.0,,,,,,
1566230400000,10813661,2.3966,2.4259,2.3868,2.3966,0.0,0.0,0.45,26604382.0,,,6.4513,0.7126,0.2179,3.3735,7037432395.7,6586083.0,,,,,,
1566316800000,6628635,2.3868,2.4063,2.3672,2.377,-0.0197,-0.82,0.28,16176998.0,,,6.3986,0.7067,0.2161,3.346,6979983967.98,7476315.0,,,,,,
1566403200000,5970235,2.3868,2.3966,2.377,2.3868,0.0097,0.41,0.25,14568480.0,,,6.4249,0.7097,0.217,3.3598,7008708181.84,6753622.0,,,,,,
1566489600000,5898276,2.3868,2.3966,2.3672,2.377,-0.0098,-0.41,0.25,14328897.0,,,6.3986,0.7067,0.2161,3.346,6979983967.98,7053311.0,,,,,,
1566748800000,6740161,2.3379,2.3379,2.3085,2.3281,-0.049,-2.06,0.28,16016378.0,,,6.267,0.6922,0.2117,3.2771,6836362898.68,7647035.0,,,,,,
