timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,5841650,5.8224,5.891,5.793,5.8126,0.0099,0.17,0.45,34788316.0,,,15.6087,1.3388,0.4919,19.7694,7741744712.82,599260002.49,34857501,2.67,-164400,,,
1565539200000,5216428,5.8126,5.891,5.8126,5.891,0.0785,1.35,0.4,31090277.0,,,15.8192,1.3569,0.4986,20.0361,7846186462.74,598600147.93,35176058,2.69,318557,,,
1565625600000,3758819,5.842,5.842,5.793,5.8224,-0.0683,-1.16,0.29,22301375.0,,,15.635,1.3411,0.4928,19.8027,7754799931.56,596924992.42,35082974,2.68,-93084,,,
1565712000000,5249810,5.891,5.9008,5.8126,5.8126,-0.0099,-0.17,0.4,31343163.0,,,15.6087,1.3388,0.4919,19.7694,7741744712.82,593415140.49,35286462,2.7,203488,,,
1565798400000,7288657,5.6852,5.793,5.6656,5.7734,-0.0389,-0.67,0.56,42559263.0,,,15.5034,1.3298,0.4886,19.6361,7689523837.86,590343581.77,35465602,2.71,179140,,,
1565884800000,5083632,5.7636,5.8224,5.744,5.7832,0.0098,0.17,0.39,30029796.0,,,15.5297,1.3321,0.4894,19.6694,7702579056.6,588084630.7,35289050,2.7,-176552,,,
1566144000000,10422704,5.8028,5.94,5.793,5.9204,0.1371,2.37,0.8,62520732.0,,,15.8982,1.3637,0.5011,20.1361,7885352118.96,588936386.76,35899347,2.74,610297,,,
1566230400000,8021462,5.9106,5.9596,5.8812,5.891,-0.0296,-0.5,0.61,48452880.0,,,15.8192,1.3569,0.4986,20.0361,7846186462.74,588329563.94,36189582,2.77,290235,,,
1566316800000,7901869,5.9106,5.9498,5.8812,5.9302,0.0395,0.67,0.61,47668297.0,,,15.9245,1.3659,0.5019,20.1695,7898407337.7,588623079.7,36520242,2.79,330660,,,
1566403200000,5444728,5.9106,5.94,5.8812,5.9302,0.0,0.0,0.42,32815162.0,,,15.9245,1.3659,0.5019,20.1695,7898407337.7,586035480.7,36627588,2.8,107346,,,
1566489600000,7756782,5.9204,5.9498,5.8714,5.8812,-0.0492,-0.83,0.59,46747733.0,,,15.7929,1.3546,0.4977,20.0028,7833131244.0,583153004.0,36633088,2.8,5500,,,
1566748800000,8659599,5.7734,5.842,5.7342,5.8028,-0.0782,-1.33,0.66,51123315.0,,,15.5823,1.3366,0.4911,19.7361,7728689494.08,584410852.48,36757309,2.81,124221,,,
1566835200000,8670009,5.8028,5.94,5.8028,5.9008,0.0981,1.69,0.66,52122015.0,,,15.8456,1.3592,0.4994,20.0694,7859241681.48,585159168.88,37202683,2.84,445374,,,
1566921600000,8817040,5.9204,5.9792,5.891,5.9498,0.049,0.83,0.68,53384769.0,,,15.9772,1.3704,0.5035,20.2361,7924517775.18,587167300.58,37934922,2.9,732239,,,
