timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,7006275,3.23,3.25,3.16,3.19,0.0,0.0,1.2,22547919.0,,,28.5437,0.9314,5.931,16.2578,4652215404.65,,,,,,,
1565539200000,4288425,3.21,3.25,3.19,3.22,0.03,0.94,0.73,13800558.0,,,28.8122,0.9401,5.9868,16.4106,4695966646.7,,,,,,,
1565625600000,4198620,3.2,3.22,3.17,3.19,-0.03,-0.93,0.72,13384498.0,,,28.5437,0.9314,5.931,16.2578,4652215404.65,,,,,,,
1565712000000,4767578,3.25,3.25,3.19,3.21,0.02,0.63,0.81,15340115.0,,,28.7227,0.9372,5.9682,16.3597,4681382899.35,,,,,,,
1565798400000,7761936,3.11,3.37,3.08,3.24,0.03,0.93,1.33,25005742.0,,,28.9911,0.9459,6.0239,16.5126,4725134141.4,,,,,,,
1565884800000,7437357,3.24,3.3,3.22,3.26,0.02,0.62,1.27,24311075.0,,,29.1701,0.9518,6.0611,16.6145,4754301636.1,,,,,,,
1566144000000,7364646,3.26,3.35,3.26,3.33,0.07,2.15,1.26,24407632.0,,,29.7964,0.9722,6.1913,16.9713,4856387867.55,,,,,,,
1566230400000,6362020,3.35,3.38,3.31,3.33,0.0,0.0,1.09,21260715.0,,,29.7964,0.9722,6.1913,16.9713,4856387867.55,,,,,,,
1566316800000,4452200,3.34,3.34,3.3,3.3,-0.03,-0.9,0.76,14776159.0,,,29.528,0.9635,6.1355,16.8184,4812636625.5,,,,,,,
1566403200000,5722134,3.31,3.36,3.3,3.35,0.05,1.52,0.98,19054205.0,,,29.9754,0.9781,6.2285,17.0732,4885555362.25,,,,,,,
1566489600000,5537454,3.35,3.36,3.31,3.35,0.0,0.0,0.95,18451923.0,,,29.9754,0.9781,6.2285,17.0732,4885555362.25,,,,,,,
1566748800000,5014900,3.3,3.32,3.25,3.29,-0.06,-1.79,0.86,16453371.0,,,29.4385,0.9605,6.1169,16.7674,4798052878.15,,,,,,,
1566835200000,5967300,3.31,3.36,3.3,3.35,0.06,1.82,1.02,19900041.0,,,29.9754,0.9781,6.2285,17.0732,4885555362.25,,,,,,,
1566921600000,6384076,3.34,3.38,3.32,3.37,0.02,0.6,1.09,21396840.0,,,30.1544,0.9839,6.2656,17.1751,4914722856.95,,,,,,,
1567008000000,4967500,3.4,3.42,3.34,3.37,0.0,0.0,0.85,16735893.0,,,30.1544,0.9839,6.2656,17.1751,4914722856.95,,,,,,,
1567094400000,6197000,3.36,3.38,3.26,3.29,-0.08,-2.37,1.06,20562253.0,,,29.4385,0.9605,6.1169,16.7674,4798052878.15,,,,,,,
1567353600000,5355727,3.28,3.37,3.26,3.36,0.07,2.13,0.92,17904217.0,,,30.0649,0.981,6.247,17.1242,4900139109.6,,,,,,,
1567440000000,6780733,3.37,3.42,3.35,3.4,0.04,1.19,1.16,22941580.0,,,30.4228,0.9927,6.3214,17.328,4958474099.0,,,,,,,
1567526400000,24792592,3.37,3.74,3.36,3.74,0.34,10.0,4.24,91011318.0,,,33.4651,1.0919,6.9536,19.0608,5454321508.9,,,,,,,
1567612800000,43094841,3.77,3.85,3.61,3.64,-0.1,-2.67,7.36,159528548.0,,,32.5703,1.0627,6.7676,18.5512,5308484035.4,,,,,,,
1567699200000,19606754,3.57,3.63,3.54,3.58,-0.06,-1.65,3.35,70045100.0,,,32.0334,1.0452,6.6561,18.2454,5220981551.3,,,,,,,
1567958400000,12915992,3.59,3.61,3.54,3.6,0.02,0.56,2.21,46160745.0,,,32.2124,1.0511,6.6933,18.3473,5250149046.0,,,,,,,
1568044800000,9241111,3.6,3.6,3.54,3.58,-0.02,-0.56,1.58,32995871.0,,,32.0334,1.0452,6.6561,18.2454,5220981551.3,,,,,,,
1568131200000,12812270,3.57,3.68,3.56,3.58,0.0,0.0,2.19,46371095.0,,,32.0334,1.0452,6.6561,18.2454,5220981551.3,,,,,,,
1568217600000,13089957,3.59,3.74,3.59,3.65,0.07,1.96,2.24,47923532.0,,,32.6598,1.0657,6.7862,18.6021,5323067782.75,,,,,,,
1568563200000,8356043,3.64,3.65,3.58,3.62,-0.03,-0.82,1.43,30160781.0,,,32.3913,1.0569,6.7305,18.4492,5279316540.7,,,,,,,
1568649600000,7321944,3.59,3.61,3.51,3.52,-0.1,-2.76,1.25,25948965.0,,,31.4965,1.0277,6.5445,17.9396,5133479067.2,,,,,,,
1568736000000,9130210,3.52,3.63,3.51,3.62,0.1,2.84,1.56,32614842.0,,,32.3913,1.0569,6.7305,18.4492,5279316540.7,,,,,,,
1568822400000,6268120,3.62,3.63,3.53,3.59,-0.03,-0.83,1.07,22379346.0,,,32.1229,1.0481,6.6747,18.2963,5235565298.65,,,,,,,
1568908800000,12931820,3.75,3.83,3.59,3.59,0.0,0.0,2.21,47508800.0,,,32.1229,1.0481,6.6747,18.2963,5235565298.65,,,,,,,
1569168000000,8329172,3.52,3.55,3.45,3.49,-0.1,-2.79,1.42,29094858.0,,,31.2281,1.0189,6.4887,17.7867,5089727825.15,,,,,,,
1569254400000,5470579,3.47,3.51,3.45,3.48,-0.01,-0.29,0.93,19043296.0,,,31.1386,1.016,6.4702,17.7357,5075144077.8,,,,,,,
1569340800000,5324000,3.46,3.47,3.39,3.39,-0.09,-2.59,0.91,18234945.0,,,30.3333,0.9897,6.3028,17.277,4943890351.65,,,,,,,
1569427200000,5063837,3.41,3.42,3.3,3.32,-0.07,-2.06,0.87,16950538.0,,,29.707,0.9693,6.1727,16.9203,4841804120.2,,,,,,,
1569513600000,3248984,3.31,3.38,3.3,3.37,0.05,1.51,0.56,10905082.0,,,30.1544,0.9839,6.2656,17.1751,4914722856.95,,,,,,,
1569772800000,2503500,3.39,3.39,3.34,3.34,-0.03,-0.89,0.43,8402608.0,,,64.2438,0.9861,5.9209,27.2757,4870971614.9,,,,,,,
1570464000000,3264464,3.34,3.39,3.34,3.35,0.01,0.3,0.56,10981290.0,,,64.4361,0.989,5.9386,27.3573,4885555362.25,,,,,,,
1570550400000,2861800,3.35,3.38,3.31,3.38,0.03,0.9,0.49,9604221.0,,,65.0132,0.9979,5.9918,27.6023,4929306604.3,,,,,,,
1570636800000,4281940,3.38,3.43,3.37,3.42,0.04,1.18,0.73,14590130.0,,,65.7826,1.0097,6.0627,27.929,4987641593.7,,,,,,,
1570723200000,3949432,3.42,3.44,3.38,3.44,0.02,0.58,0.67,13497604.0,,,66.1673,1.0156,6.0982,28.0923,5016809088.4,,,,,,,
1570982400000,5499173,3.46,3.52,3.43,3.49,0.05,1.45,0.94,19173177.0,,,67.129,1.0303,6.1868,28.5006,5089727825.15,,,,,,,
1571068800000,6142732,3.36,3.46,3.36,3.44,-0.05,-1.43,1.05,20989372.0,,,66.1673,1.0156,6.0982,28.0923,5016809088.4,,,,,,,
1571155200000,35555238,3.44,3.78,3.43,3.78,0.34,9.88,6.08,134180839.0,,,72.707,1.116,6.7009,30.8689,5512656498.3,,,,,,,
1571241600000,41678037,3.79,3.82,3.55,3.59,-0.19,-5.03,7.12,151728022.0,,,69.0525,1.0599,6.3641,29.3173,5235565298.65,,,,,,,
1571328000000,20150130,3.53,3.55,3.47,3.48,-0.11,-3.06,3.44,70718564.0,,,66.9366,1.0274,6.1691,28.419,5075144077.8,,,,,,,
1571587200000,11933116,3.47,3.47,3.38,3.4,-0.08,-2.3,2.04,40640233.0,,,65.3979,1.0038,6.0273,27.7657,4958474099.0,,,,,,,
1571673600000,7734675,3.4,3.42,3.38,3.41,0.01,0.29,1.32,26327408.0,,,65.5902,1.0067,6.045,27.8473,4973057846.35,,,,,,,
1571760000000,8388200,3.41,3.41,3.36,3.37,-0.04,-1.17,1.43,28355116.0,,,64.8208,0.9949,5.9741,27.5207,4914722856.95,,,,,,,
1571846400000,5185799,3.36,3.42,3.36,3.41,0.04,1.19,0.89,17565385.0,,,65.5902,1.0067,6.045,27.8473,4973057846.35,,,,,,,
1571932800000,5421675,3.4,3.44,3.38,3.42,0.01,0.29,0.93,18501719.0,,,65.7826,1.0097,6.0627,27.929,4987641593.7,,,,,,,
1572192000000,10619266,3.44,3.62,3.41,3.5,0.08,2.34,1.81,37108394.0,,,67.3213,1.0333,6.2046,28.5823,5104311572.5,,,,,,,
1572278400000,6902982,3.49,3.51,3.44,3.47,-0.03,-0.86,1.18,23939867.0,,,66.7443,1.0244,6.1514,28.3373,5060560330.45,,,,,,,
1572364800000,7322804,3.47,3.47,3.38,3.39,-0.08,-2.31,1.25,24869487.0,,,65.2055,1.0008,6.0095,27.684,4943890351.65,,,,,,,
1572451200000,4587500,3.38,3.4,3.33,3.33,-0.06,-1.77,0.78,15404169.0,,,64.0514,0.9831,5.9032,27.194,4856387867.55,,,,,,,
1572537600000,3878015,3.32,3.39,3.31,3.39,0.06,1.8,0.66,13042469.0,,,65.2055,1.0008,6.0095,27.684,4943890351.65,,,,,,,
1572796800000,3833480,3.39,3.4,3.35,3.35,-0.04,-1.18,0.66,12935063.0,,,64.4361,0.989,5.9386,27.3573,4885555362.25,,,,,,,
1572883200000,6091420,3.36,3.44,3.35,3.43,0.08,2.39,1.04,20788387.0,,,65.9749,1.0126,6.0805,28.0106,5002225341.05,,,,,,,
1572969600000,3971813,3.41,3.45,3.36,3.39,-0.04,-1.17,0.68,13524213.0,,,65.2055,1.0008,6.0095,27.684,4943890351.65,,,,,,,
