timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,9880602,3.2354,3.2454,3.116,3.1458,-0.0499,-1.56,1.59,31549460.0,,,37.5841,0.8589,0.5129,7.6007,2358611059.8,,,,,,,
1565539200000,9431633,3.1458,3.2255,3.1359,3.2255,0.0796,2.53,1.52,30193517.0,,,38.5356,0.8806,0.5259,7.7932,2418322732.2,,,,,,,
1565625600000,8945952,3.1857,3.2155,3.1359,3.1558,-0.0697,-2.16,1.44,28468650.0,,,37.703,0.8616,0.5145,7.6248,2366075018.85,,,,,,,
1565712000000,10816158,3.2056,3.2255,3.1259,3.1558,0.0,0.0,1.71,34437464.0,,,37.703,0.8616,0.5145,7.6248,2366075018.85,,,,,,,
1565798400000,11891000,3.0762,3.1757,3.0164,3.1658,0.0101,0.32,1.88,36958680.0,,,37.8219,0.8643,0.5161,7.6488,2373538977.9,,,,,,,
1565884800000,9891200,3.1558,3.1956,3.1359,3.1458,-0.0199,-0.63,1.57,31396529.0,,,37.5841,0.8589,0.5129,7.6007,2358611059.8,,,,,,,
1566144000000,17684613,3.1757,3.2454,3.1259,3.2454,0.0994,3.16,2.8,56759560.0,,,38.7734,0.8861,0.5291,7.8413,2433250650.3,,,,,,,
1566230400000,15576538,3.2454,3.2852,3.1857,3.2056,-0.0399,-1.23,2.47,50519430.0,,,38.2977,0.8752,0.5226,7.7451,2403394814.1,,,,,,,
1566316800000,11159631,3.2155,3.2454,3.1558,3.1658,-0.0397,-1.24,1.79,35669746.0,,,37.8219,0.8643,0.5161,7.6488,2373538977.9,,,,,,,
1566403200000,10936831,3.1757,3.1857,3.1359,3.1857,0.0199,0.63,1.75,34697047.0,,,38.0598,0.8697,0.5194,7.697,2388466896.0,,,,,,,
1566489600000,8768000,3.1757,3.1857,3.1558,3.1857,0.0,0.0,1.4,27921893.0,,,38.0598,0.8697,0.5194,7.697,2388466896.0,,,,,,,
1566748800000,10938862,3.106,3.1359,3.0961,3.116,-0.0698,-2.19,1.75,34248829.0,,,37.2273,0.8507,0.508,7.5286,2336219182.65,,,,,,,
1566835200000,19512729,3.1458,3.2255,3.116,3.2255,0.1094,3.51,3.13,62559369.0,,,38.5356,0.8806,0.5259,7.7932,2418322732.2,,,,,,,
1566921600000,29323594,3.2653,3.3947,3.2454,3.3051,0.0797,2.47,4.7,97151347.0,,,39.4871,0.9024,0.5389,7.9856,2478034404.6,,,,,,,
1567008000000,30495229,3.3151,3.4744,3.3051,3.3848,0.0797,2.41,4.89,103916527.0,,,40.4386,0.9241,0.5519,8.178,2537746077.0,,,,,,,
1567094400000,55081623,3.4345,3.7232,3.3151,3.7232,0.3385,10.0,8.82,201765045.0,,,44.4824,1.0165,0.607,8.9958,2791520684.7,,,,,,,
1567353600000,88385436,3.7232,3.9622,3.554,3.7432,0.0197,0.53,14.16,328531787.0,,,44.7203,1.0219,0.6103,9.0439,2806448602.8,,,,,,,
1567440000000,45891636,3.6436,3.6934,3.5739,3.6237,-0.1194,-3.19,7.35,167085667.0,,,43.293,0.9893,0.5908,8.7553,2716881094.2,,,,,,,
1567526400000,32571089,3.5739,3.6038,3.4943,3.5441,-0.0797,-2.2,5.22,115826527.0,,,42.3415,0.9676,0.5778,8.5629,2657169421.8,,,,,,,
1567612800000,36968882,3.554,3.7033,3.5241,3.6038,0.0599,1.69,5.92,133475082.0,,,43.0552,0.9839,0.5876,8.7072,2701953176.1,,,,,,,
1567699200000,18343006,3.5839,3.5938,3.5142,3.5441,-0.0598,-1.66,2.94,65443187.0,,,42.3415,0.9676,0.5778,8.5629,2657169421.8,,,,,,,
1567958400000,19796044,3.564,3.5938,3.5341,3.564,0.0198,0.56,3.17,70744934.0,,,42.5794,0.973,0.5811,8.611,2672097339.9,,,,,,,
1568044800000,30279332,3.5839,3.6834,3.5441,3.6635,0.0994,2.79,4.85,109920764.0,,,43.7688,1.0002,0.5973,8.8515,2746736930.4,,,,,,,
1568131200000,19608136,3.6635,3.6635,3.5938,3.6237,-0.0399,-1.09,3.14,71383141.0,,,43.293,0.9893,0.5908,8.7553,2716881094.2,,,,,,,
1568217600000,15222192,3.6336,3.6436,3.564,3.5938,-0.0297,-0.82,2.44,54958743.0,,,42.9362,0.9812,0.5859,8.6831,2694489217.05,,,,,,,
1568563200000,13763519,3.6038,3.6137,3.554,3.564,-0.0298,-0.83,2.2,49498008.0,,,42.5794,0.973,0.5811,8.611,2672097339.9,,,,,,,
1568649600000,18158357,3.5441,3.554,3.4146,3.4445,-0.1194,-3.35,2.91,63448078.0,,,41.1522,0.9404,0.5616,8.3223,2582529831.3,,,,,,,
1568736000000,12451986,3.4644,3.5142,3.4445,3.4644,0.02,0.58,1.99,43579553.0,,,41.3901,0.9458,0.5648,8.3704,2597457749.4,,,,,,,
1568822400000,13687883,3.4843,3.4943,3.3947,3.4943,0.0298,0.86,2.19,47352793.0,,,41.7469,0.954,0.5697,8.4426,2619849626.55,,,,,,,
1568908800000,10601683,3.4744,3.5042,3.4445,3.4644,-0.0297,-0.85,1.7,37008891.0,,,41.3901,0.9458,0.5648,8.3704,2597457749.4,,,,,,,
1569168000000,11962100,3.4445,3.4545,3.3449,3.3549,-0.1095,-3.16,1.92,40463966.0,,,40.0817,0.9159,0.547,8.1059,2515354199.85,,,,,,,
1569254400000,9188915,3.3848,3.4246,3.3449,3.3649,0.0101,0.3,1.47,31195915.0,,,40.2007,0.9187,0.5486,8.1299,2522818158.9,,,,,,,
1569340800000,9252300,3.3449,3.3449,3.2952,3.2952,-0.0697,-2.07,1.48,30864320.0,,,39.3681,0.8996,0.5372,7.9615,2470570445.55,,,,,,,
1569427200000,9184002,3.325,3.3549,3.2155,3.2155,-0.0797,-2.42,1.47,30168593.0,,,38.4166,0.8779,0.5243,7.7691,2410858773.15,,,,,,,
1569513600000,6828386,3.2155,3.2653,3.1857,3.2255,0.01,0.31,1.09,22152391.0,,,38.5356,0.8806,0.5259,7.7932,2418322732.2,,,,,,,
1569772800000,5696700,3.2255,3.2354,3.1857,3.1857,-0.0397,-1.23,0.91,18363507.0,,,59.9358,0.8685,0.5106,7.3743,2388466896.0,,,,,,,
1570464000000,6342100,3.1857,3.2454,3.1757,3.1956,0.0099,0.31,1.02,20485364.0,,,60.1231,0.8712,0.5122,7.3974,2395930855.05,,,,,,,
1570550400000,7842102,3.1956,3.2753,3.1757,3.2653,0.0697,2.18,1.26,25515448.0,,,61.4342,0.8902,0.5234,7.5587,2448178568.4,,,,,,,
1570636800000,9274183,3.2454,3.3151,3.2454,3.3051,0.0398,1.22,1.49,30652874.0,,,62.1834,0.9011,0.5297,7.6509,2478034404.6,,,,,,,
1570723200000,31779983,3.3151,3.6336,3.3151,3.4644,0.1593,4.82,5.09,111000533.0,,,65.1802,0.9445,0.5553,8.0196,2597457749.4,,,,,,,
