timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1594828800000,339246,24.05,24.05,24.05,24.05,7.35,44.01,0.68,8158866.0,,,29.0499,2.7342,3.8815,30.8163,4810000000.0,,,,,,,
1594915200000,134379,26.46,26.46,26.46,26.46,2.41,10.02,0.27,3555668.0,,,31.9609,3.0082,4.2704,33.9044,5292000000.0,,,,,,,
1595174400000,587393,29.11,29.11,29.11,29.11,2.65,10.02,1.17,17099010.0,,,35.1619,3.3095,4.6981,37.2999,5822000000.0,,,,,,,
1595260800000,24299516,32.02,32.02,29.66,32.02,2.91,10.0,48.6,755346094.0,,,38.6768,3.6403,5.1678,41.0286,6404000000.0,,,,,,,
1595347200000,29880003,31.94,35.11,30.26,33.06,1.04,3.25,59.76,965468473.0,,,39.9331,3.7585,5.3356,42.3612,6612000000.0,,,,,,,
1595433600000,18490057,31.71,32.18,30.58,30.8,-2.26,-6.84,36.98,578493353.0,,,37.2032,3.5016,4.9709,39.4654,6160000000.0,,,,,,,
1595520000000,18838778,30.0,31.93,29.51,30.83,0.03,0.1,37.68,579425951.0,,,37.2395,3.505,4.9757,39.5038,6166000000.0,,,,,,,
1595779200000,13197996,30.09,30.45,28.51,29.1,-1.73,-5.61,26.4,387317049.0,,,35.1498,3.3083,4.6965,37.2871,5820000000.0,,,,,,,
1595865600000,11078028,29.0,30.3,28.66,29.5,0.4,1.37,22.16,326283771.0,,,35.6329,3.3538,4.7611,37.7997,5900000000.0,,,,,,,
1595952000000,10562611,29.12,30.16,28.89,29.78,0.28,0.95,21.13,312339535.0,,,35.9712,3.3856,4.8063,38.1584,5956000000.0,,,,,,,
1596038400000,12615872,29.55,30.83,29.21,30.42,0.64,2.15,25.23,380020834.0,,,36.7442,3.4584,4.9095,38.9785,6084000000.0,,,,,,,
1596124800000,11142024,30.04,30.4,29.27,29.54,-0.88,-2.89,22.28,331684921.0,,,35.6813,3.3584,4.7675,37.8509,5908000000.0,,,,,,,
1596384000000,9824987,29.6,29.92,29.25,29.76,0.22,0.74,19.65,290676537.0,,,35.947,3.3834,4.803,38.1328,5952000000.0,,,,,,,
1596470400000,17966238,29.78,31.54,29.35,31.22,1.46,4.91,35.93,549407552.0,,,37.7105,3.5494,5.0387,40.0036,6244000000.0,,,,,,,
1596556800000,11213556,30.57,30.7,29.55,29.91,-1.31,-4.2,22.43,336189384.0,,,36.1282,3.4004,4.8272,38.325,5982000000.0,,,,,,,
1596643200000,9350300,29.8,30.2,28.92,29.21,-0.7,-2.34,18.7,274925352.0,,,35.2827,3.3208,4.7143,37.4281,5842000000.0,,,,,,,
1596729600000,9297995,29.4,30.45,29.22,29.58,0.37,1.27,18.6,276808063.0,,,35.7296,3.3629,4.774,37.9022,5916000000.0,,,,,,,
1596988800000,8910471,29.01,29.13,28.04,28.45,-1.13,-3.82,17.82,253025714.0,,,34.3647,3.2344,4.5916,36.4542,5690000000.0,,,,,,,
1597075200000,6047663,28.4,28.98,28.22,28.34,-0.11,-0.39,12.1,172681221.0,,,34.2318,3.2219,4.5738,36.3133,5668000000.0,,,,,,,
1597161600000,6522997,28.1,28.29,26.9,27.4,-0.94,-3.32,13.05,178863691.0,,,33.0964,3.1151,4.4221,35.1088,5480000000.0,,,,,,,
1597248000000,4131247,27.39,27.54,27.02,27.21,-0.19,-0.69,8.26,112568368.0,,,32.7947,3.022,4.5459,23.2434,5442000000.0,,,,,,,
1597334400000,4168530,27.2,27.31,26.62,26.93,-0.28,-1.03,8.34,112296452.0,,,32.4572,2.9909,4.4991,23.0042,5386000000.0,,,,,,,
1597593600000,4297639,26.95,27.34,26.88,27.3,0.37,1.37,8.6,116700290.0,,,32.9032,3.032,4.5609,23.3203,5460000000.0,,,,,,,
1597680000000,3839367,27.31,27.6,27.21,27.47,0.17,0.62,7.68,105215506.0,,,33.1081,3.0509,4.5893,23.4655,5494000000.0,,,,,,,
1597766400000,6353434,27.46,28.68,27.35,27.76,0.29,1.06,12.71,178755674.0,,,33.4576,3.0831,4.6378,23.7132,5552000000.0,,,,,,,
1597852800000,4931956,27.61,28.46,26.82,27.77,0.01,0.04,9.86,135963996.0,,,33.4696,3.0842,4.6394,23.7218,5554000000.0,,,,,,,
1597939200000,5184155,27.8,28.56,27.8,28.2,0.43,1.55,10.37,146490359.0,,,33.9879,3.132,4.7113,24.0891,5640000000.0,,,,,,,
1598198400000,4044435,28.19,28.34,27.38,27.8,-0.4,-1.42,8.09,112536663.0,,,33.5058,3.0875,4.6445,23.7474,5560000000.0,,,,,,,
1598284800000,3467241,27.95,28.25,27.65,27.86,0.06,0.22,6.93,96634214.0,,,33.5781,3.0942,4.6545,23.7987,5572000000.0,,,,,,,
1598371200000,4064461,27.86,27.9,26.88,26.93,-0.93,-3.34,8.13,110728892.0,,,32.4572,2.9909,4.4991,23.0042,5386000000.0,,,,,,,
1598457600000,2187766,26.95,27.14,26.56,27.1,0.17,0.63,4.38,58822554.0,,,32.6621,3.0098,4.5275,23.1494,5420000000.0,,,,,,,
1598544000000,6163968,27.1,28.44,27.0,28.31,1.21,4.46,12.33,171893947.0,,,34.1205,3.1442,4.7297,24.1831,5662000000.0,,,,,,,
1598803200000,3794677,28.39,28.59,28.09,28.24,-0.07,-0.25,7.59,107541620.0,,,34.0361,3.1364,4.718,24.1233,5648000000.0,,,,,,,
1598889600000,2866300,28.3,28.78,27.87,28.04,-0.2,-0.71,5.73,80673429.0,,,33.7951,3.1142,4.6845,23.9524,5608000000.0,,,,,,,
1598976000000,3021470,28.03,28.46,27.77,28.3,0.26,0.93,6.04,84963741.0,,,34.1084,3.1431,4.728,24.1745,5660000000.0,,,,,,,
1599062400000,2927357,28.31,28.66,28.08,28.31,0.01,0.04,5.85,83035758.0,,,34.1205,3.1442,4.7297,24.1831,5662000000.0,,,,,,,
1599148800000,2771468,27.8,27.98,27.5,27.76,-0.55,-1.94,5.54,76828397.0,,,33.4576,3.0831,4.6378,23.7132,5552000000.0,,,,,,,
1599408000000,5196451,27.96,28.8,27.66,28.43,0.67,2.41,10.39,147317655.0,,,34.2651,3.1575,4.7497,24.2856,5686000000.0,,,,,,,
1599494400000,5354023,28.45,29.45,28.39,28.39,-0.04,-0.14,10.71,154378867.0,,,34.2169,3.1531,4.743,24.2514,5678000000.0,,,,,,,
1599580800000,5329129,27.81,27.99,26.57,26.77,-1.62,-5.71,10.66,144824530.0,,,32.2644,2.9731,4.4724,22.8675,5354000000.0,,,,,,,
1599667200000,4525825,26.91,27.07,24.5,24.97,-1.8,-6.72,9.05,117330804.0,,,30.095,2.7732,4.1717,21.3299,4994000000.0,,,,,,,
1599753600000,2432071,24.72,25.49,24.64,25.3,0.33,1.32,4.86,61130712.0,,,30.4927,2.8099,4.2268,21.6118,5060000000.0,,,,,,,
1600012800000,1926538,25.39,25.68,25.2,25.44,0.14,0.55,3.85,48988906.0,,,30.6614,2.8254,4.2502,21.7314,5088000000.0,,,,,,,
1600099200000,1947277,25.4,25.73,25.2,25.67,0.23,0.9,3.89,49643756.0,,,30.9386,2.851,4.2886,21.9279,5134000000.0,,,,,,,
1600185600000,1738544,25.6,25.72,25.27,25.4,-0.27,-1.05,3.48,44142912.0,,,30.6132,2.821,4.2435,21.6973,5080000000.0,,,,,,,
1600272000000,2279483,25.28,25.93,25.2,25.58,0.18,0.71,4.56,58471157.0,,,30.8302,2.841,4.2736,21.851,5116000000.0,,,,,,,
