timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,5188533,103.9588,103.9782,101.0797,101.4785,-1.4304,-1.39,0.42,545990273.0,,,18.0886,4.5295,6.1378,22.8261,157224058040.0,1105588159.0,112207207,7.44,10623,,,
1565539200000,5459438,102.811,103.56,101.6438,103.346,1.8672,1.84,0.44,578012978.0,,,18.4215,4.6129,6.2507,23.2461,160117475000.0,1102794437.0,112168406,7.44,-38801,,,
1565625600000,4425360,102.6554,103.0736,101.3034,101.6438,-1.7053,-1.65,0.35,463899982.0,,,18.118,4.5369,6.1478,22.8633,157480246000.0,1091639081.0,112390734,7.45,222328,,,
1565712000000,7303422,103.0055,104.4743,102.8888,103.0931,1.4534,1.43,0.58,776837965.0,,,18.3764,4.6016,6.2354,23.1892,159725658120.0,1103211150.0,111264181,7.38,-1126553,,,
1565798400000,6658752,101.3326,101.7897,99.5039,101.6633,-1.433,-1.39,0.53,691608339.0,,,18.1215,4.5378,6.149,22.8676,157510385760.0,1104062499.0,110651079,7.34,-613102,,,
1565884800000,7419691,101.7994,103.2584,100.9046,102.5192,0.854,0.84,0.59,780722644.0,,,18.2741,4.576,6.2007,23.0602,158836535200.0,1120412019.0,109570416,7.27,-1080663,,,
1566144000000,10734052,102.5192,104.8244,101.9453,104.8244,2.3066,2.25,0.86,1140415475.0,,,18.685,4.6789,6.3402,23.5787,162408096760.0,1152878581.0,108280134,7.18,-1290282,,,
1566230400000,9737792,104.9509,105.729,103.9782,104.4645,-0.3564,-0.34,0.78,1049046168.0,,,18.6208,4.6628,6.3184,23.4977,161850511200.0,1191284316.0,108397451,7.19,117317,,,
1566316800000,7861480,104.0949,104.7466,103.0055,103.0931,-1.3684,-1.31,0.63,837775887.0,,,18.3764,4.6016,6.2354,23.1892,159725658120.0,1181631654.0,109073713,7.23,676262,,,
1566403200000,11337131,103.6864,105.2135,103.2973,104.9995,1.9072,1.85,0.91,1212609397.0,,,18.7162,4.6867,6.3507,23.6181,162679354600.0,1252518028.0,110000289,7.29,926576,,,
1566489600000,8243922,105.0481,105.6804,104.1241,104.4937,-0.504,-0.48,0.66,887923138.0,,,18.626,4.6641,6.3201,23.5043,161895720840.0,1237798337.0,110168222,7.31,167933,,,
1566748800000,7464011,102.1301,102.9666,101.6438,102.0426,-2.4557,-2.35,0.6,784358967.0,,,18.1891,4.5547,6.1719,22.953,158098111080.0,1264808165.0,109502616,7.26,-665606,,,
1566835200000,10729763,102.6262,104.8731,102.6262,103.6378,1.5919,1.56,0.86,1147114409.0,,,18.4735,4.6259,6.2684,23.3118,160569571400.0,1241976134.0,109999630,7.29,497014,,,
