timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,6550457,2.6386,2.6482,2.5711,2.5808,-0.0481,-1.83,0.34,17700026.0,,,15.2127,1.5699,0.4404,6.0114,5149365911.88,,6238472,0.32,18943,,,
1565539200000,4871249,2.6,2.6193,2.5904,2.6193,0.0385,1.49,0.25,13167663.0,,,15.4397,1.5933,0.447,6.1011,5226222119.52,,6342672,0.33,104200,,,
1565625600000,5765271,2.6,2.6386,2.5904,2.6289,0.0097,0.37,0.3,15705131.0,,,15.4965,1.5992,0.4486,6.1236,5245436171.43,,6097772,0.31,-244900,,,
1565712000000,6334169,2.6578,2.6674,2.6289,2.6482,0.0192,0.73,0.33,17402888.0,,,15.61,1.6109,0.4519,6.1684,5283864275.25,,5834081,0.3,-263691,,,
1565798400000,6985600,2.5904,2.6289,2.5423,2.6289,-0.0193,-0.73,0.36,18808821.0,,,15.4965,1.5992,0.4486,6.1236,5245436171.43,,6016081,0.31,182000,,,
1565884800000,6813700,2.6193,2.6386,2.6,2.6097,-0.0192,-0.73,0.35,18530142.0,,,15.3829,1.5875,0.4453,6.0787,5207008067.61,,4791981,0.24,-1224100,,,
1566144000000,11040344,2.6193,2.6867,2.6097,2.6867,0.077,2.95,0.57,30466072.0,,,15.8371,1.6343,0.4585,6.2581,5360720482.89,2657388.0,5466091,0.28,674110,,,
1566230400000,8587256,2.6771,2.7156,2.6674,2.6867,0.0,0.0,0.45,24078979.0,,,15.8371,1.6343,0.4585,6.2581,5360720482.89,2912625.0,5684291,0.29,218200,,,
1566316800000,7672665,2.6771,2.7252,2.6674,2.706,0.0193,0.72,0.4,21545751.0,,,15.9506,1.6461,0.4618,6.303,5399148586.71,4529644.0,6043821,0.31,359530,,,
1566403200000,5431250,2.7252,2.7252,2.6867,2.706,0.0,0.0,0.28,15228964.0,,,15.9506,1.6461,0.4618,6.303,5399148586.71,5551046.0,6212995,0.32,169174,,,
1566489600000,5411550,2.706,2.7156,2.6771,2.6867,-0.0192,-0.71,0.28,15156407.0,,,15.8371,1.6343,0.4585,6.2581,5360720482.89,6652225.0,6226845,0.32,13850,,,
1566748800000,13994899,2.6386,2.6578,2.5904,2.6097,-0.0771,-2.87,0.73,38161087.0,,,15.3829,1.5875,0.4453,6.0787,5207008067.61,6997924.0,8759645,0.45,2532800,,,
1566835200000,16336103,2.6289,2.6867,2.6193,2.6578,0.0483,1.85,0.85,45091094.0,,,15.6668,1.6168,0.4535,6.1908,5303078327.16,7185974.0,9473845,0.49,714200,,,
1566921600000,27659633,2.6578,2.8215,2.6386,2.7156,0.0577,2.17,1.44,77628682.0,,,16.0073,1.6519,0.4634,6.3254,5418362638.62,12018193.0,6254383,0.32,-3219462,,,
1567008000000,14951200,2.706,2.7252,2.6674,2.6963,-0.0193,-0.71,0.78,41786907.0,,,15.8938,1.6402,0.4601,6.2806,5379934534.8,11263384.0,6293383,0.32,39000,,,
1567094400000,13842000,2.6867,2.7156,2.6289,2.6578,-0.0386,-1.43,0.72,38322450.0,,,15.6668,1.6168,0.4535,6.1908,5303078327.16,11854039.0,5877375,0.3,-416008,,,
1567353600000,20235011,2.6482,2.7252,2.6386,2.706,0.0481,1.81,1.05,56522866.0,,,15.9506,1.6461,0.4618,6.303,5399148586.71,23686567.0,7405075,0.38,1527700,,,
1567440000000,15957600,2.6963,2.706,2.6578,2.6867,-0.0192,-0.71,0.83,44455858.0,,,15.8371,1.6343,0.4585,6.2581,5360720482.89,27831831.0,8020075,0.41,615000,,,
1567526400000,22653475,2.6867,2.7541,2.6674,2.7156,0.029,1.08,1.18,63548990.0,,,16.0073,1.6519,0.4634,6.3254,5418362638.62,33439243.0,8033583,0.41,13508,,,
1567612800000,27168648,2.7252,2.7734,2.7156,2.7445,0.0288,1.06,1.41,77522633.0,,,16.1776,1.6695,0.4683,6.3927,5476004794.35,33153475.0,9331001,0.48,1297418,,,
1567699200000,40742176,2.6963,2.7156,2.6097,2.6578,-0.0867,-3.16,2.12,112586896.0,,,15.6668,1.6168,0.4535,6.1908,5303078327.16,31594646.0,8010258,0.41,-1320743,,,
1567958400000,40128286,2.6771,2.7637,2.6674,2.7637,0.106,3.99,2.09,113060091.0,,,16.2912,1.6812,0.4716,6.4376,5514432898.17,31187560.0,14834758,0.77,6824500,,,
1568044800000,19787000,2.7734,2.783,2.706,2.7541,-0.0097,-0.35,1.03,56302149.0,,,16.2344,1.6753,0.47,6.4152,5495218846.26,29660906.0,14246458,0.74,-588300,,,
1568131200000,23506761,2.7637,2.7637,2.7252,2.7349,-0.0193,-0.7,1.22,66953271.0,,,16.1209,1.6636,0.4667,6.3703,5456790742.44,35829799.0,16358008,0.85,2111550,,,
1568217600000,20513400,2.7445,2.7637,2.7252,2.7445,0.0096,0.35,1.07,58439758.0,,,16.1776,1.6695,0.4683,6.3927,5476004794.35,33841266.0,15294808,0.79,-1063200,,,
1568563200000,17633057,2.7541,2.7734,2.7445,2.7445,0.0,0.0,0.92,50491941.0,,,16.1776,1.6695,0.4683,6.3927,5476004794.35,31245400.0,16050278,0.83,755470,,,
1568649600000,20672966,2.7541,2.7541,2.6578,2.6674,-0.0771,-2.81,1.08,57698802.0,,,15.7235,1.6226,0.4552,6.2133,5322292379.07,30679732.0,12857178,0.66,-3193100,,,
1568736000000,10555630,2.6771,2.6867,2.6482,2.6578,-0.0096,-0.36,0.55,29188351.0,,,15.6668,1.6168,0.4535,6.1908,5303078327.16,32320220.0,12169013,0.63,-688165,,,
1568822400000,11269817,2.6674,2.6674,2.6289,2.6674,0.0096,0.36,0.59,30942845.0,,,15.7235,1.6226,0.4552,6.2133,5322292379.07,34479881.0,10536767,0.54,-1632246,,,
1568908800000,10077500,2.6578,2.6674,2.6386,2.6578,-0.0096,-0.36,0.52,27752109.0,,,15.6668,1.6168,0.4535,6.1908,5303078327.16,34935645.0,9766367,0.5,-770400,,,
1569168000000,10225338,2.6482,2.6482,2.6,2.6193,-0.0385,-1.45,0.53,27777646.0,,,15.4397,1.5933,0.447,6.1011,5226222119.52,36734464.0,9083829,0.47,-682538,,,
1569254400000,7979573,2.6097,2.6386,2.6,2.6097,-0.0097,-0.37,0.42,21709396.0,,,15.3829,1.5875,0.4453,6.0787,5207008067.61,36552557.0,9149313,0.47,65484,,,
1569340800000,10663913,2.6,2.6,2.5711,2.5808,-0.029,-1.11,0.56,28595886.0,,,15.2127,1.5699,0.4404,6.0114,5149365911.88,33763232.0,8578413,0.44,-570900,,,
1569427200000,13338520,2.5808,2.6,2.523,2.5326,-0.0483,-1.87,0.69,35324835.0,,,14.9288,1.5406,0.4322,5.8993,5053295652.33,35737458.0,6852513,0.35,-1725900,,,
