timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,13750962,4.5646,4.6136,4.5352,4.545,0.01,0.22,1.22,64088694.0,,,5.6011,1.2459,2.5887,4.1872,5222932795.52,,,,,,,
1565539200000,10921246,4.545,4.6038,4.5254,4.6038,0.0586,1.29,0.97,51031014.0,,,5.6735,1.262,2.6221,4.2413,5290470719.6,,,,,,,
1565625600000,9245585,4.5646,4.5842,4.5352,4.545,-0.0589,-1.28,0.82,42980369.0,,,5.6011,1.2459,2.5887,4.1872,5222932795.52,,,,,,,
1565712000000,11757756,4.594,4.6136,4.545,4.5548,0.01,0.22,1.04,54952640.0,,,5.6132,1.2486,2.5942,4.1962,5234189116.2,,,,,,,
1565798400000,12107043,4.4569,4.5352,4.4177,4.5156,-0.0392,-0.86,1.08,55365797.0,,,5.5649,1.2379,2.5719,4.1601,5189163833.48,,,,,,,
1565884800000,11345082,4.5548,4.5548,4.5254,4.5352,0.0194,0.43,1.01,52604314.0,,,5.589,1.2432,2.5831,4.1782,5211676474.84,,,,,,,
1566144000000,22290573,4.5548,4.6723,4.5352,4.6723,0.137,3.02,1.98,104744829.0,,,5.758,1.2808,2.6612,4.3045,5369264964.36,7612183.0,,,,,,
1566230400000,26214348,4.6821,4.7997,4.643,4.7507,0.0785,1.68,2.33,126892147.0,,,5.8546,1.3023,2.7058,4.3767,5459315529.8,22669377.0,,,,,,
1566316800000,17376585,4.7213,4.7703,4.6821,4.6919,-0.0589,-1.24,1.54,83819892.0,,,5.7822,1.2862,2.6723,4.3226,5391777605.72,26833420.0,,,,,,
1566403200000,13267993,4.7115,4.7409,4.643,4.6919,0.0,0.0,1.18,63429299.0,,,5.7822,1.2862,2.6723,4.3226,5391777605.72,29123712.0,,,,,,
1566489600000,13587560,4.6821,4.7213,4.6234,4.6919,0.0,0.0,1.21,64754716.0,,,5.7822,1.2862,2.6723,4.3226,5391777605.72,36681091.0,,,,,,
1566748800000,30605242,4.5646,4.7997,4.545,4.7605,0.0685,1.46,2.72,147135271.0,,,5.8667,1.305,2.7114,4.3857,5470571850.48,28099280.0,,,,,,
1566835200000,27960467,4.8291,4.8585,4.7605,4.7997,0.039,0.82,2.48,137048720.0,,,5.9149,1.3157,2.7337,4.4218,5515597133.2,33501587.0,,,,,,
1566921600000,15737694,4.7899,4.7899,4.7115,4.7213,-0.0782,-1.63,1.4,76115654.0,,,5.8184,1.2942,2.6891,4.3496,5425546567.76,29824232.0,,,,,,
1567008000000,13965823,4.7115,4.7507,4.6626,4.6723,-0.0491,-1.04,1.24,67054955.0,,,5.758,1.2808,2.6612,4.3045,5369264964.36,26468614.0,,,,,,
1567094400000,20167808,4.7017,4.7507,4.643,4.6723,0.0,0.0,1.79,96721964.0,,,5.758,1.2808,2.6612,4.3045,5369264964.36,28718823.0,,,,,,
1567353600000,19758902,4.6528,4.7311,4.6234,4.7017,0.0294,0.63,1.76,94576668.0,,,5.7942,1.2889,2.6779,4.3316,5403033926.4,32129886.0,,,,,,
1567440000000,16610853,4.6723,4.7409,4.6626,4.7017,0.0,0.0,1.48,79599103.0,,,5.7942,1.2889,2.6779,4.3316,5403033926.4,28472762.0,,,,,,
1567526400000,20980886,4.6919,4.7409,4.6626,4.7311,0.0296,0.63,1.86,100760509.0,,,5.8304,1.2969,2.6947,4.3587,5436802888.44,29224854.0,,,,,,
1567612800000,33289802,4.7507,4.8193,4.7409,4.7801,0.0492,1.04,2.96,162447695.0,,,5.8908,1.3104,2.7225,4.4038,5493084491.84,39271415.0,,,,,,
1567699200000,17668755,4.7801,4.7801,4.7213,4.7605,-0.0196,-0.41,1.57,85657545.0,,,5.8667,1.305,2.7114,4.3857,5470571850.48,36232972.0,,,,,,
1567958400000,41342379,4.7703,4.9564,4.7703,4.9564,0.1961,4.12,3.67,206484168.0,,,6.1081,1.3587,2.823,4.5662,5695698264.08,51223698.0,,,,,,
1568044800000,31438693,4.9368,5.0152,4.8683,5.0152,0.059,1.19,2.79,158061947.0,,,6.1805,1.3748,2.8564,4.6204,5763236188.16,52506627.0,,,,,,
1568131200000,41093322,5.0152,5.1719,4.9466,5.0446,0.0296,0.59,3.65,211303122.0,,,6.2167,1.3828,2.8732,4.6474,5797005150.2,54296262.0,,,,,,
1568217600000,19871813,5.0054,5.0446,4.9662,4.9956,-0.0489,-0.97,1.77,101389918.0,,,6.1564,1.3694,2.8453,4.6023,5740723546.8,58024638.0,,,,,,
1568563200000,26850220,4.9956,4.9956,4.878,4.8976,-0.0979,-1.96,2.39,134913501.0,,,6.0357,1.3426,2.7895,4.5121,5628160340.0,62885398.0,,,,,,
1568649600000,22652548,4.8878,4.8878,4.7605,4.7703,-0.1273,-2.6,2.01,111317184.0,,,5.8787,1.3077,2.717,4.3948,5481828171.16,61965260.0,,,,,,
1568736000000,13958427,4.7899,4.8291,4.7801,4.7997,0.0296,0.62,1.24,68422610.0,,,5.9149,1.3157,2.7337,4.4218,5515597133.2,66941631.0,,,,,,
1568822400000,9333179,4.8193,4.8291,4.7703,4.8193,0.0197,0.41,0.83,45722580.0,,,5.9391,1.3211,2.7449,4.4399,5538109774.56,65343605.0,,,,,,
