timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post,pe,pb,ps,pcf,market_capital,balance,hold_volume_cn,hold_ratio_cn,net_volume_cn,hold_volume_hk,hold_ratio_hk,net_volume_hk
1565280000000,1436100,7.2655,7.2938,7.2278,7.2655,0.0,0.0,0.11,11035080.0,,,9.8495,1.7513,5.0842,7.4984,16099207170.2,,10064477,0.57,-94516,,,
1565539200000,1190433,7.2655,7.2844,7.2278,7.2844,0.0189,0.26,0.09,9159988.0,,,9.8751,1.7559,5.0974,7.5179,16141023292.72,,9842175,0.56,-222302,,,
1565625600000,1317042,7.2844,7.2844,7.2183,7.275,-0.0095,-0.13,0.1,10118019.0,,,9.8623,1.7536,5.0908,7.5081,16120115231.46,,9859475,0.56,17300,,,
1565712000000,1468531,7.2938,7.3221,7.2655,7.2655,-0.0095,-0.13,0.11,11347719.0,,,9.8495,1.7513,5.0842,7.4984,16099207170.2,,9823697,0.56,-35778,,,
1565798400000,2865939,7.2372,7.2561,7.19,7.2561,-0.0094,-0.13,0.22,21903940.0,,,9.8368,1.749,5.0776,7.4887,16078299108.94,,9625537,0.55,-198160,,,
1565884800000,2881591,7.2183,7.2561,7.19,7.2467,-0.0094,-0.13,0.22,22006443.0,,,9.824,1.7468,5.071,7.4789,16057391047.68,,9603240,0.55,-22297,,,
1566144000000,3046082,7.3127,7.4731,7.3033,7.341,0.0942,1.3,0.23,23733537.0,,,9.9519,1.7695,5.137,7.5763,16266471660.28,,9633717,0.55,30477,,,
1566230400000,2081281,7.341,7.3693,7.2938,7.3221,-0.0191,-0.26,0.16,16167264.0,,,9.9263,1.765,5.1238,7.5568,16224655537.76,,9599085,0.55,-34632,,,
1566316800000,2171696,7.3221,7.3221,7.2372,7.275,-0.0469,-0.64,0.17,16732769.0,,,9.8623,1.7536,5.0908,7.5081,16120115231.46,,9609085,0.55,10000,,,
1566403200000,3549264,7.275,7.3788,7.2561,7.3693,0.0946,1.3,0.27,27578265.0,,,9.9903,1.7763,5.1569,7.6055,16329195844.06,,9687285,0.55,78200,,,
1566489600000,5399296,7.3599,7.4071,7.2467,7.3033,-0.0663,-0.9,0.41,41727355.0,,,9.9007,1.7604,5.1106,7.5374,16182839415.24,,9780085,0.56,92800,,,
1566748800000,2239888,7.2372,7.2561,7.2089,7.2561,-0.0475,-0.65,0.17,17148648.0,,,9.8368,1.749,5.0776,7.4887,16078299108.94,,9694330,0.55,-85755,,,
1566835200000,2269926,7.2561,7.2938,7.2278,7.275,0.0189,0.26,0.17,17470525.0,,,9.8623,1.7536,5.0908,7.5081,16120115231.46,,9844416,0.56,150086,,,
1566921600000,1336905,7.2467,7.2844,7.2183,7.2655,-0.0095,-0.13,0.1,10263083.0,,,9.8495,1.7513,5.0842,7.4984,16099207170.2,,9892516,0.56,48100,,,
1567008000000,4531842,7.2183,7.2278,7.124,7.1617,-0.1039,-1.43,0.35,34343829.0,,,9.7088,1.7263,5.0116,7.3913,15869218496.34,,9722416,0.55,-170100,,,
1567094400000,4547710,7.1806,7.1806,7.0391,7.0674,-0.0945,-1.32,0.35,34192368.0,,,9.5809,1.7036,4.9456,7.2939,15660137883.74,,9762016,0.56,39600,,,
1567353600000,2613243,7.0579,7.1051,7.0485,7.0674,0.0,0.0,0.2,19613898.0,,,9.5809,1.7036,4.9456,7.2939,15660137883.74,,9649416,0.55,-112600,,,
1567440000000,3781718,7.0579,7.1334,7.0391,7.0768,0.0092,0.13,0.29,28383183.0,,,9.5937,1.7058,4.9522,7.3036,15681045945.0,,8513175,0.48,-1136241,,,
1567526400000,3760246,7.0957,7.1429,7.0674,7.124,0.0474,0.67,0.29,28321285.0,,,9.6577,1.7172,4.9852,7.3523,15785586251.3,,8446894,0.48,-66281,,,
1567612800000,4373116,7.1429,7.1712,7.124,7.1523,0.0285,0.4,0.34,33133342.0,,,9.696,1.724,5.005,7.3815,15848310435.08,,8386294,0.48,-60600,,,
1567699200000,2478355,7.1523,7.19,7.1523,7.1617,0.0093,0.13,0.19,18820295.0,,,9.7088,1.7263,5.0116,7.3913,15869218496.34,,8413594,0.48,27300,,,
1567958400000,3884859,7.19,7.1995,7.1429,7.19,0.0286,0.4,0.3,29540520.0,,,9.7472,1.7331,5.0314,7.4205,15931942680.12,,8505694,0.48,92100,,,
1568044800000,2496531,7.1995,7.1995,7.1429,7.19,0.0,0.0,0.19,18969510.0,,,9.7472,1.7331,5.0314,7.4205,15931942680.12,,8537420,0.49,31726,,,
1568131200000,2492336,7.19,7.1995,7.1429,7.1712,-0.0187,-0.26,0.19,18915674.0,,,9.7216,1.7286,5.0182,7.401,15890126557.6,,8570220,0.49,32800,,,
1568217600000,2134730,7.1523,7.1712,7.1334,7.1712,0.0,0.0,0.16,16180659.0,,,9.7216,1.7286,5.0182,7.401,15890126557.6,,8484220,0.48,-86000,,,
1568563200000,2042569,7.1712,7.1806,7.1523,7.1712,0.0,0.0,0.16,15525244.0,,,9.7216,1.7286,5.0182,7.401,15890126557.6,,8482420,0.48,-1800,,,
1568649600000,2299974,7.1712,7.1712,7.0957,7.1334,-0.038,-0.53,0.18,17377113.0,,,9.6705,1.7195,4.9918,7.3621,15806494312.56,,8521003,0.48,38583,,,
1568736000000,6032991,7.124,7.1806,7.0957,7.1806,0.0471,0.66,0.46,45736936.0,,,9.7344,1.7309,5.0248,7.4108,15911034618.86,,8701825,0.49,180822,,,
